Opponent,Location,Team Score,Opponent Score,Goal Differential
Chelsea,Away,1,1,0
Bournemouth,Home,3,1,2
Newcastle United,Away,2,1,1
Aston Villa,Home,3,0,3
Wolverhampton,Away,3,1,2
West Ham,Home,3,1,2
Tottenham,Away,1,2,-1
Brighton,Away,2,2,0
Everton,Home,2,0,2
Nottingham Forest,Home,3,0,3
Luton,Away,1,1,0
Brentford,Home,3,0,3
Manchester City,Away,1,1,0
Fulham,Home,4,3,1
Sheffield,Away,2,0,2
Crystal Palace,Away,2,1,1
Manchester United,Home,0,0,0
Arsenal,Home,1,1,0
Burnley,Away,2,0,2
Newcastle United,Home,4,2,2
Bournemouth,Away,4,0,4
Chelsea,Home,4,1,3
Arsenal,Away,1,3,-2
Burnley,Home,3,1,2
Brentford,Away,4,1,3
Luton,Home,4,1,3
Nottingham Forest,Away,1,0,1
Manchester City,Home,1,1,0
Brighton,Home,2,1,1
Sheffield,Home,3,1,2
Manchester United,Away,2,2,0
Crystal Palace,Home,0,1,-1
Fulham,Away,3,1,2
Everton,Away,0,2,-2
West Ham,Away,2,2,0
Tottenham,Home,4,2,2
Aston Villa,Away,3,3,0
Wolverhampton,Home,2,0,2
