name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,total_points,was_home
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-12-19,90,Newcastle United,0,0,1,6,False
Ederson Santana de Moraes,GK,Man City,0,0,3,2021-12-26,90,Leeds United,0,0,5,2,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-12-14,90,Leicester City,0,0,3,7,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2021-12-01,90,Aston Villa,0,0,2,2,False
Ederson Santana de Moraes,GK,Man City,0,0,1,2021-12-04,90,Watford,0,0,3,3,False
Ederson Santana de Moraes,GK,Man City,0,0,1,2021-11-28,90,West Ham,0,0,2,2,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-08-21,90,Norwich,0,0,0,6,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2021-08-15,90,Tottenham,0,0,1,2,False
Ederson Santana de Moraes,GK,Man City,2,1,0,2021-12-29,90,Brentford,0,0,3,9,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-02-09,90,Brentford,0,0,2,6,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-12-11,90,Wolverhampton,0,0,1,6,True
Ederson Santana de Moraes,GK,Man City,0,0,2,2021-10-30,90,Crystal Palace,0,0,1,0,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-11-06,90,Manchester United,0,0,1,6,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-11-21,90,Everton,0,0,1,6,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-08-28,90,Arsenal,0,0,0,6,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2022-01-22,90,Southampton,0,0,2,2,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-03-14,90,Crystal Palace,0,0,1,6,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-02-12,90,Norwich,0,0,3,7,False
Ederson Santana de Moraes,GK,Man City,0,0,3,2022-02-19,90,Tottenham,0,0,2,1,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-02-26,90,Everton,0,0,2,5,False
Ederson Santana de Moraes,GK,Man City,0,0,1,2022-03-06,90,Manchester United,0,0,2,2,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2022-01-01,90,Arsenal,0,0,1,2,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-01-15,90,Chelsea,0,0,1,6,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-04-02,90,Burnley,0,0,1,6,False
Ederson Santana de Moraes,GK,Man City,0,0,2,2022-04-10,90,Liverpool,0,0,2,1,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-04-20,90,Brighton,0,0,1,6,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-04-30,90,Leicester City,0,0,1,6,False
Ederson Santana de Moraes,GK,Man City,0,0,1,2022-04-23,90,Watford,0,0,1,2,True
Ederson Santana de Moraes,GK,Man City,0,0,2,2022-05-22,90,Aston Villa,0,0,0,1,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-09-11,90,Leeds United,0,0,2,6,False
Ederson Santana de Moraes,GK,Man City,0,1,0,2022-05-08,90,Newcastle United,0,0,3,7,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2022-05-11,90,Wolverhampton,0,0,2,2,False
Ederson Santana de Moraes,GK,Man City,2,1,0,2021-09-18,90,Southampton,0,0,2,8,True
Ederson Santana de Moraes,GK,Man City,0,1,0,2021-09-25,90,Chelsea,0,0,0,6,False
Ederson Santana de Moraes,GK,Man City,0,0,2,2021-10-03,90,Liverpool,0,0,1,1,False
Ederson Santana de Moraes,GK,Man City,0,0,0,2021-10-16,0,Burnley,0,0,0,0,True
Ederson Santana de Moraes,GK,Man City,0,0,1,2021-10-23,90,Brighton,0,0,4,2,False
Ederson Santana de Moraes,GKP,Man City,0,0,2,2022-05-15,90,West Ham,0,0,0,1,False
