name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,total_points,was_home,yellow_cards
Emil Krafth,DEF,Newcastle,0.7,0,0,0,9,4,0,1.5,84,West Ham,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,0.8,0,0,0,96,3,0,1.1,90,Chelsea,0,0,0,1,True,0
Emil Krafth,DEF,Newcastle,1.7,0,0,0,103,1,0,0.7,90,Brighton,0,0,0,2,False,0
Emil Krafth,DEF,Newcastle,1.7,0,0,0,116,0,0,0.0,0,Brentford,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,-0.2,0,0,0,121,2,0,2.2,90,Arsenal,0,0,0,0,False,1
Emil Krafth,DEF,Newcastle,0.5,0,0,0,138,0,0,0.0,0,Norwich,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,0.0,0,0,0,145,0,0,0.0,0,Burnley,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,157,0,0,0.0,0,Leeds United,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-1.5,0,0,0,169,0,0,0.0,0,Liverpool,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-1.5,0,0,0,175,0,0,0.0,0,Manchester City,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,-0.6,0,0,0,186,1,0,3.8,90,Manchester United,0,0,0,1,True,1
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,11,0,0,0.0,0,Aston Villa,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,0.5,0,0,0,216,0,0,0.0,0,Watford,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,226,0,0,0.0,0,Leicester City,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,239,0,0,0.0,0,Everton,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,0.3,0,0,0,247,0,0,1.3,42,Aston Villa,0,0,0,1,True,0
Emil Krafth,DEF,Newcastle,0.2,0,0,0,259,1,0,2.2,90,West Ham,0,0,0,1,False,1
Emil Krafth,DEF,Newcastle,2.5,0,0,1,262,0,0,3.5,90,Brentford,0,0,0,6,False,0
Emil Krafth,DEF,Newcastle,4.8,0,0,0,276,1,0,2.3,90,Brighton,0,0,0,2,True,0
Emil Krafth,DEF,Newcastle,4.8,0,0,0,209,1,0,1.1,90,Southampton,0,0,0,2,False,0
Emil Krafth,DEF,Newcastle,3.3,0,0,0,284,0,0,0.0,0,Chelsea,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,3.3,0,0,1,195,0,0,2.1,90,Everton,0,0,0,5,False,1
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,25,0,0,0.0,0,Southampton,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,1.3,0,0,0,308,0,0,0.0,0,Tottenham,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,2.8,0,0,1,317,0,0,1.5,90,Wolverhampton,0,0,0,6,True,0
Emil Krafth,DEF,Newcastle,7.0,0,0,0,325,1,0,2.0,90,Leeds United,0,0,0,1,True,1
Emil Krafth,DEF,Newcastle,7.0,0,1,1,296,0,0,2.4,90,Crystal Palace,0,0,0,7,True,0
Emil Krafth,DEF,Newcastle,4.5,0,0,1,340,0,0,1.4,90,Norwich,0,0,0,6,False,0
Emil Krafth,DEF,Newcastle,2.7,0,0,0,345,1,0,1.7,84,Liverpool,0,0,0,2,True,0
Emil Krafth,DEF,Newcastle,2.4,0,0,0,359,3,0,0.8,67,Manchester City,0,0,0,1,False,0
Emil Krafth,DEF,Newcastle,4.1,0,1,1,365,0,0,3.0,90,Arsenal,0,0,0,7,True,0
Emil Krafth,DEF,Newcastle,3.7,0,0,0,374,0,0,0.0,0,Burnley,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-1.0,0,0,0,38,0,0,0.0,0,Manchester United,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-0.3,0,0,0,46,0,0,0.2,9,Leicester City,0,0,0,1,True,0
Emil Krafth,DEF,Newcastle,0.3,0,0,0,60,0,0,0.0,0,Watford,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-0.3,0,0,0,70,0,0,0.0,0,Wolverhampton,0,0,0,0,False,0
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,77,0,0,0.0,0,Tottenham,0,0,0,0,True,0
Emil Krafth,DEF,Newcastle,1.0,1,1,0,85,1,0,8.1,90,Crystal Palace,0,0,0,6,False,0
