name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,total_points,was_home,yellow_cards
Fernando Marçal,DEF,Wolves,1.2,0,0,0,5,1,0,4.0,90,Leeds United,0,0,0,1,False,1
Fernando Marçal,DEF,Wolves,0.0,0,0,0,100,0,0,0.0,0,Everton,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,0.0,0,0,0,105,0,0,0.0,0,Crystal Palace,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,-0.5,0,0,0,120,0,0,0.0,0,West Ham,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,0.5,0,0,0,130,0,0,0.0,0,Norwich,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,0.5,0,0,0,137,0,0,0.0,0,Burnley,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,0.0,0,0,0,150,0,0,0.0,0,Liverpool,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,-1.0,0,0,0,159,0,0,0.0,0,Manchester City,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,1.0,0,0,1,163,0,0,1.9,90,Brighton,0,0,0,6,False,0
Fernando Marçal,DEF,Wolves,0.7,0,0,1,180,0,0,2.5,90,Chelsea,0,0,0,6,True,0
Fernando Marçal,DEF,Wolves,1.0,0,0,0,17,1,0,4.4,90,Tottenham,0,0,0,2,True,0
Fernando Marçal,DEF,Wolves,5.5,0,0,1,208,0,0,1.3,90,Manchester United,0,0,0,6,False,0
Fernando Marçal,DEF,Wolves,3.0,0,0,0,220,0,0,0.0,0,Southampton,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,0.0,0,0,0,222,0,0,0.0,0,Brentford,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,0.2,0,0,0,236,1,0,2.5,62,Arsenal,0,0,0,2,True,0
Fernando Marçal,DEF,Wolves,0.7,0,0,0,249,0,0,0.0,0,Tottenham,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,2.1,0,0,0,260,0,0,0.2,2,Leeds United,0,0,0,1,True,0
Fernando Marçal,DEF,Wolves,2.1,0,0,0,191,0,0,0.0,0,Arsenal,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,1.0,0,0,0,270,1,0,7.0,75,West Ham,0,0,0,2,False,0
Fernando Marçal,DEF,Wolves,3.3,0,0,0,280,2,0,8.7,90,Crystal Palace,0,0,0,1,True,0
Fernando Marçal,DEF,Wolves,3.3,0,0,0,190,0,0,0.0,0,Watford,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,2.3,0,1,1,286,0,0,3.4,90,Everton,0,0,0,7,False,0
Fernando Marçal,DEF,Wolves,1.2,0,0,0,30,1,0,2.1,90,Manchester United,0,0,0,2,True,0
Fernando Marçal,DEF,Wolves,2.1,0,0,0,300,0,0,0.0,0,Leicester City,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,3.0,1,1,0,310,1,0,3.9,90,Aston Villa,0,0,0,5,True,1
Fernando Marçal,DEF,Wolves,3.5,0,0,0,317,1,0,4.3,85,Newcastle United,0,0,0,2,False,0
Fernando Marçal,DEF,Wolves,2.8,0,0,0,334,0,0,0.0,0,Burnley,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,0.7,0,0,0,350,0,0,0.0,0,Brighton,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,-1.5,0,0,0,355,0,0,0.0,0,Chelsea,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,-1.5,0,0,0,330,0,0,0.0,0,Manchester City,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,0.5,0,0,0,370,0,0,0.0,0,Norwich,0,0,0,0,True,0
Fernando Marçal,DEF,Wolves,-1.0,0,0,0,378,0,0,0.0,0,Liverpool,0,0,0,0,False,0
Fernando Marçal,DEF,Wolves,6.2,2,2,1,40,0,0,4.4,90,Watford,0,0,0,13,False,1
Fernando Marçal,DEF,Wolves,5.0,0,0,0,50,2,0,0.2,71,Brentford,0,0,0,1,True,0
Fernando Marçal,DEF,Wolves,5.5,0,0,1,59,0,0,1.2,90,Southampton,0,0,0,6,False,0
Fernando Marçal,DEF,Wolves,6.3,0,1,0,70,1,0,3.5,90,Newcastle United,0,0,0,3,True,0
Fernando Marçal,DEF,Wolves,3.3,0,0,0,72,2,0,0.8,73,Aston Villa,0,0,0,1,False,0
Fernando Marçal,DEF,Wolves,2.5,0,0,0,87,0,0,0.0,0,Leicester City,0,0,0,0,False,0
