name,position,team,xP,assists,bonus,fixture,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,total_points,was_home,yellow_cards
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,8,0,0.0,0,Aston Villa,0,0,0,True,0
João Pedro Junqueira de Jesus,FWD,Watford,1.2,0,0,99,0,1.5,45,Southampton,0,0,0,True,1
João Pedro Junqueira de Jesus,FWD,Watford,0.5,0,0,101,0,1.8,28,Arsenal,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,2.0,0,2,119,1,7.7,13,Manchester United,0,0,7,True,0
João Pedro Junqueira de Jesus,FWD,Watford,1.7,0,0,127,0,2.6,45,Leeds United,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,1.3,0,0,135,0,7.1,90,Chelsea,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,1.5,0,0,148,0,3.3,90,Manchester City,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,2.1,0,0,152,0,0.7,32,Brentford,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,12,0,0.0,0,Brighton,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.5,0,0,200,0,7.7,45,West Ham,0,0,1,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,210,0,2.3,45,Tottenham,0,0,1,True,0
João Pedro Junqueira de Jesus,FWD,Watford,3.3,0,2,216,1,14.8,90,Newcastle United,0,0,8,False,0
João Pedro Junqueira de Jesus,FWD,Watford,8.0,0,0,230,0,7.7,90,Norwich,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,8.0,0,0,164,0,9.7,82,Burnley,0,0,2,False,0
João Pedro Junqueira de Jesus,FWD,Watford,2.2,0,0,235,0,1.2,13,West Ham,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,1.0,0,0,250,0,0.6,20,Brighton,0,0,1,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.6,0,0,252,0,0.0,0,Aston Villa,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.6,0,0,178,0,0.0,0,Crystal Palace,0,0,0,True,0
João Pedro Junqueira de Jesus,FWD,Watford,-0.3,0,0,268,0,0.0,0,Manchester United,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,-1.0,0,0,279,0,3.8,90,Arsenal,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,-1.0,0,0,190,0,0.0,0,Wolverhampton,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.1,0,0,289,0,4.9,90,Southampton,0,0,2,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,27,0,0.0,0,Tottenham,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,-0.2,0,0,306,0,1.9,77,Liverpool,0,0,2,False,0
João Pedro Junqueira de Jesus,FWD,Watford,1.5,0,0,320,0,3.1,80,Leicester City,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,2.0,0,0,328,0,3.6,83,Brentford,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.3,0,0,339,0,0.6,22,Manchester City,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,1.8,0,0,348,0,6.3,90,Burnley,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,2.3,0,0,356,0,0.0,0,Crystal Palace,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,2.3,0,0,299,0,1.9,90,Everton,0,0,2,True,0
João Pedro Junqueira de Jesus,FWD,Watford,1.3,0,0,368,1,15.1,90,Leeds United,0,0,6,True,0
João Pedro Junqueira de Jesus,FWD,Watford,1.2,0,0,375,0,0.0,90,Chelsea,0,0,2,False,0
João Pedro Junqueira de Jesus,FWD,Watford,-0.4,0,0,40,0,0.0,0,Wolverhampton,0,0,0,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,47,0,0.0,0,Norwich,0,0,0,False,0
João Pedro Junqueira de Jesus,FWD,Watford,0.2,0,0,60,0,1.8,26,Newcastle United,0,0,1,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.0,0,0,65,0,0.9,31,Leicester City,0,0,1,False,0
João Pedro Junqueira de Jesus,FWD,Watford,-0.5,0,0,80,0,2.2,21,Liverpool,0,0,1,True,0
João Pedro Junqueira de Jesus,FWD,Watford,0.8,1,0,86,0,4.0,26,Everton,0,0,4,False,0
