name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Nemanja Matic,MID,Man Utd,0,0,0,0.8,2021-08-14,21,Leicester City,1,True
Nemanja Matic,MID,Man Utd,0,0,0,3.4,2021-10-30,14,Tottenham,4,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-11-06,0,Manchester City,0,True
Nemanja Matic,MID,Man Utd,0,0,4,1.8,2021-11-20,90,Watford,2,False
Nemanja Matic,MID,Man Utd,0,0,1,1.3,2021-11-28,90,Chelsea,2,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-12-02,0,Arsenal,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-12-05,0,Crystal Palace,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-12-11,0,Norwich,0,False
Nemanja Matic,MID,Man Utd,0,0,0,0.8,2021-12-27,12,Newcastle United,1,False
Nemanja Matic,MID,Man Utd,0,0,1,3.6,2021-08-22,85,Southampton,2,False
Nemanja Matic,MID,Man Utd,0,0,1,1.9,2021-12-30,90,Burnley,2,True
Nemanja Matic,MID,Man Utd,0,0,1,4.7,2022-01-03,90,Wolverhampton,1,True
Nemanja Matic,MID,Man Utd,0,0,2,1.4,2022-01-15,90,Aston Villa,1,False
Nemanja Matic,MID,Man Utd,0,0,1,0.2,2022-01-19,6,Brentford,1,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-01-22,0,West Ham,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-02-08,0,Burnley,0,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-02-12,0,Southampton,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-02-15,0,Brighton,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-02-20,0,Leicester City,0,False
Nemanja Matic,MID,Man Utd,0,1,0,3.6,2022-02-26,73,Watford,3,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-03-06,0,Manchester City,0,False
Nemanja Matic,MID,Man Utd,0,0,2,1.8,2022-03-12,79,Tottenham,2,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-08-29,0,Wolverhampton,0,False
Nemanja Matic,MID,Man Utd,0,0,0,0.6,2022-04-02,15,Leeds United,1,True
Nemanja Matic,MID,Man Utd,0,0,1,1.0,2022-04-09,63,Everton,2,False
Nemanja Matic,MID,Man Utd,0,0,0,0.6,2022-04-16,27,Norwich,1,True
Nemanja Matic,MID,Man Utd,0,0,4,1.4,2022-04-19,90,Liverpool,2,False
Nemanja Matic,MID,Man Utd,0,0,3,4.0,2022-04-23,76,Arsenal,5,False
Nemanja Matic,MID,Man Utd,3,0,1,6.0,2022-04-28,78,Chelsea,8,True
Nemanja Matic,MID,Man Utd,0,1,0,3.0,2022-05-02,70,Brentford,2,True
Nemanja Matic,MID,Man Utd,0,0,1,3.2,2022-05-07,45,Brighton,1,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2022-05-22,0,Crystal Palace,0,False
Nemanja Matic,MID,Man Utd,0,0,1,5.5,2021-09-11,90,Newcastle United,2,True
Nemanja Matic,MID,Man Utd,0,0,0,3.0,2021-09-19,2,West Ham,4,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-09-25,0,Aston Villa,0,True
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-10-02,0,Everton,0,True
Nemanja Matic,MID,Man Utd,0,0,2,2.9,2021-10-16,79,Leeds United,2,False
Nemanja Matic,MID,Man Utd,0,0,0,0.0,2021-10-24,0,Liverpool,0,True
