name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,total_points,was_home,yellow_cards
Takehiro Tomiyasu,DEF,Arsenal,3.5,0,0,1,93,0,0,2.1,90,Leeds United,0,0,0,6,False,0
Takehiro Tomiyasu,DEF,Arsenal,4.5,0,0,1,101,0,0,6.4,90,Watford,0,0,0,5,True,1
Takehiro Tomiyasu,DEF,Arsenal,3.2,0,0,0,114,4,0,2.5,90,Liverpool,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,6.8,1,3,1,121,0,0,8.6,90,Newcastle United,0,0,0,12,True,0
Takehiro Tomiyasu,DEF,Arsenal,4.5,0,0,0,134,3,0,3.2,90,Manchester United,0,0,0,1,False,0
Takehiro Tomiyasu,DEF,Arsenal,4.0,0,0,0,142,2,0,3.7,90,Everton,0,0,0,1,False,0
Takehiro Tomiyasu,DEF,Arsenal,4.5,0,0,1,151,0,0,7.4,90,Southampton,0,0,0,6,True,0
Takehiro Tomiyasu,DEF,Arsenal,4.7,0,2,1,161,0,0,4.8,90,West Ham,0,0,0,8,True,0
Takehiro Tomiyasu,DEF,Arsenal,5.4,0,0,1,173,0,0,0.6,63,Leicester City,0,0,0,6,False,0
Takehiro Tomiyasu,DEF,Arsenal,3.5,0,0,0,187,0,0,0.0,0,Norwich,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.8,0,0,0,201,2,0,2.0,90,Manchester City,0,0,0,1,True,0
Takehiro Tomiyasu,DEF,Arsenal,1.0,0,0,0,221,0,0,0.0,0,Burnley,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,0.2,0,0,0,236,0,0,0.0,0,Wolverhampton,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,1.0,0,0,0,251,0,0,0.0,0,Brentford,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,1.0,0,0,0,191,0,0,0.0,0,Wolverhampton,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,0.5,0,0,0,279,0,0,0.0,0,Watford,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.0,0,0,0,281,0,0,0.0,0,Leeds United,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,0.0,0,0,0,261,0,0,0.0,0,Liverpool,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,0.2,0,0,0,291,0,0,0.0,0,Aston Villa,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.4,0,0,0,304,0,0,0.0,0,Crystal Palace,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.0,0,0,0,311,0,0,0.0,0,Brighton,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,0.1,0,0,0,326,0,0,0.0,0,Southampton,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.1,0,0,0,243,0,0,0.0,0,Chelsea,0,0,0,0,False,0
Takehiro Tomiyasu,DEF,Arsenal,0.2,0,0,0,331,0,0,0.0,1,Manchester United,0,0,0,1,True,0
Takehiro Tomiyasu,DEF,Arsenal,1.0,0,0,0,349,1,0,1.4,77,West Ham,0,0,0,2,False,0
Takehiro Tomiyasu,DEF,Arsenal,2.1,0,0,0,351,1,0,6.7,90,Leicester City,0,0,0,1,True,1
Takehiro Tomiyasu,DEF,Arsenal,2.1,0,0,0,218,3,0,1.6,90,Tottenham,0,0,0,1,False,0
Takehiro Tomiyasu,DEF,Arsenal,1.5,0,0,0,365,0,0,1.0,38,Newcastle United,0,0,0,1,False,0
Takehiro Tomiyasu,DEF,Arsenal,1.0,0,0,0,371,0,0,0.0,0,Everton,0,0,0,0,True,0
Takehiro Tomiyasu,DEF,Arsenal,2.8,0,0,1,31,0,0,2.7,61,Norwich,0,0,0,6,True,0
Takehiro Tomiyasu,DEF,Arsenal,7.0,0,0,1,43,0,0,2.0,90,Burnley,0,0,0,6,False,0
Takehiro Tomiyasu,DEF,Arsenal,5.2,0,0,0,51,1,0,3.2,90,Tottenham,0,0,0,2,True,0
Takehiro Tomiyasu,DEF,Arsenal,5.5,0,0,1,61,0,0,0.9,90,Brighton,0,0,0,6,False,0
Takehiro Tomiyasu,DEF,Arsenal,3.5,0,0,0,71,2,0,3.6,90,Crystal Palace,0,0,0,1,True,0
Takehiro Tomiyasu,DEF,Arsenal,3.3,0,0,0,81,1,0,2.0,90,Aston Villa,0,0,0,2,True,0
