name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Wilfred Ndidi,MID,Leicester,0,1,0,2.1,2022-03-01,90,Burnley,3,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-01-19,0,Tottenham,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-03-20,0,Brentford,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-04-02,0,Manchester United,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2021-12-26,0,Manchester City,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-04-10,0,Crystal Palace,0,True
Wilfred Ndidi,MID,Leicester,0,1,0,2.3,2021-12-28,90,Liverpool,3,True
Wilfred Ndidi,MID,Leicester,0,1,0,6.2,2021-12-12,90,Newcastle United,3,True
Wilfred Ndidi,MID,Leicester,0,0,4,1.9,2021-08-23,90,West Ham,2,False
Wilfred Ndidi,MID,Leicester,0,1,0,2.0,2021-08-14,90,Wolverhampton,3,True
Wilfred Ndidi,MID,Leicester,0,0,2,7.7,2021-11-28,90,Watford,2,True
Wilfred Ndidi,MID,Leicester,0,0,1,2.4,2021-08-28,90,Norwich,2,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-04-17,0,Newcastle United,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-04-20,0,Everton,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2021-10-30,0,Arsenal,0,True
Wilfred Ndidi,MID,Leicester,0,0,2,3.0,2022-02-10,90,Liverpool,2,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-01,0,Tottenham,0,False
Wilfred Ndidi,MID,Leicester,0,0,2,1.9,2021-12-05,90,Aston Villa,2,False
Wilfred Ndidi,MID,Leicester,0,0,2,2.9,2021-12-01,90,Southampton,4,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-04-23,0,Aston Villa,0,True
Wilfred Ndidi,MID,Leicester,0,0,3,1.3,2021-11-20,90,Chelsea,2,True
Wilfred Ndidi,MID,Leicester,0,0,1,3.1,2021-11-07,90,Leicester City,1,False
Wilfred Ndidi,MID,Leicester,0,0,2,2.0,2022-02-13,90,West Ham,2,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-15,0,Watford,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-19,0,Chelsea,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-01-23,0,Brighton,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,3.8,2022-03-13,29,Arsenal,1,False
Wilfred Ndidi,MID,Leicester,0,1,0,3.4,2022-03-05,75,Leicester City,2,True
Wilfred Ndidi,MID,Leicester,0,0,2,2.9,2022-02-20,73,Wolverhampton,2,False
Wilfred Ndidi,MID,Leicester,0,0,1,4.5,2021-09-11,90,Manchester City,2,True
Wilfred Ndidi,MID,Leicester,0,0,2,1.9,2021-09-19,90,Brighton,1,False
Wilfred Ndidi,MID,Leicester,0,0,2,1.7,2021-09-25,90,Burnley,2,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2021-10-03,0,Crystal Palace,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2021-10-16,0,Manchester United,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2021-10-24,0,Brentford,0,False
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-22,0,Southampton,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-08,0,Everton,0,True
Wilfred Ndidi,MID,Leicester,0,0,0,0.0,2022-05-11,0,Norwich,0,True
