name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Bruno Borges Fernandes,MID,Man Utd,3,1,0,21.9,2022-10-19,90,Tottenham,0,11,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,4.8,2022-10-30,90,West Ham,0,2,True
Bruno Borges Fernandes,MID,Man Utd,0,0,2,5.4,2022-08-07,89,Brighton,0,2,True
Bruno Borges Fernandes,MID,Man Utd,0,0,4,5.6,2022-08-13,90,Brentford,0,1,False
Bruno Borges Fernandes,MID,Man Utd,0,0,1,6.5,2022-10-22,90,Chelsea,0,2,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,7.3,2022-10-16,90,Newcastle United,0,2,True
Bruno Borges Fernandes,MID,Man Utd,1,0,1,0.0,2022-11-13,90,Fulham,1,6,False
Bruno Borges Fernandes,MID,Man Utd,0,0,0,0.0,2022-11-06,0,Aston Villa,0,0,False
Bruno Borges Fernandes,MID,Man Utd,0,0,1,5.1,2022-10-09,90,Everton,0,2,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,10.5,2022-12-27,90,Nottingham Forest,1,3,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,11.7,2022-12-31,90,Wolverhampton,1,6,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,11.4,2023-01-03,90,Bournemouth,1,6,True
Bruno Borges Fernandes,MID,Man Utd,0,0,3,5.3,2023-01-22,90,Arsenal,1,5,False
Bruno Borges Fernandes,MID,Man Utd,2,0,1,5.5,2023-01-14,90,Manchester City,1,9,True
Bruno Borges Fernandes,MID,Man Utd,3,0,1,14.2,2023-01-18,90,Crystal Palace,1,10,False
Bruno Borges Fernandes,MID,Man Utd,3,0,1,13.4,2023-02-04,90,Crystal Palace,1,10,True
Bruno Borges Fernandes,MID,Man Utd,0,0,2,9.4,2023-02-08,90,Leicester City,1,2,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,9.5,2023-02-12,90,Leicester City,1,3,False
Bruno Borges Fernandes,MID,Man Utd,0,0,7,3.1,2023-03-05,90,Liverpool,1,2,False
Bruno Borges Fernandes,MID,Man Utd,3,1,0,20.9,2023-02-19,90,Leeds United,1,12,True
Bruno Borges Fernandes,MID,Man Utd,0,0,1,7.2,2022-08-22,90,Liverpool,0,1,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,6.2,2023-03-12,90,Southampton,1,3,True
Bruno Borges Fernandes,MID,Man Utd,0,0,2,4.4,2023-04-02,90,Newcastle United,1,2,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,7.1,2023-04-05,90,Brentford,1,2,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,13.7,2023-04-08,90,Everton,1,3,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,17.4,2023-04-16,90,Nottingham Forest,1,3,False
Bruno Borges Fernandes,MID,Man Utd,0,0,2,0.0,2023-04-27,90,Tottenham,1,5,False
Bruno Borges Fernandes,MID,Man Utd,0,0,1,8.7,2023-05-07,90,West Ham,1,2,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,14.4,2023-05-13,90,Wolverhampton,1,6,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,13.9,2022-08-27,90,Southampton,0,8,False
Bruno Borges Fernandes,MID,Man Utd,3,1,0,11.9,2023-04-30,90,Aston Villa,1,11,True
Bruno Borges Fernandes,MID,Man Utd,0,0,1,10.4,2023-05-04,90,Brighton,1,2,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,9.9,2023-05-20,90,Bournemouth,1,3,False
Bruno Borges Fernandes,MID,Man Utd,0,1,0,8.7,2023-05-25,85,Chelsea,1,8,True
Bruno Borges Fernandes,MID,Man Utd,3,0,1,0.0,2023-05-28,83,Fulham,1,10,True
Bruno Borges Fernandes,MID,Man Utd,0,1,0,6.4,2022-09-01,90,Leeds United,0,3,False
Bruno Borges Fernandes,MID,Man Utd,2,0,1,8.5,2022-09-04,90,Arsenal,0,7,True
Bruno Borges Fernandes,MID,Man Utd,0,0,6,2.6,2022-10-02,90,Manchester City,0,1,False
