name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Declan Rice,MID,West Ham,0.6,0,0,0,0.0,0.0,10,2,0,2.5,90,Manchester City,0,0,0,2,True,0
Declan Rice,MID,West Ham,2.0,0,0,0,0.0,0.0,100,1,0,2.4,90,Fulham,0,0,0,2,True,0
Declan Rice,MID,West Ham,4.0,0,3,0,0.0,0.0,108,1,1,9.3,90,Southampton,0,0,0,10,False,0
Declan Rice,MID,West Ham,0.0,0,0,0,0.0,0.0,118,1,0,4.6,90,Liverpool,0,0,0,2,False,0
Declan Rice,MID,West Ham,4.3,0,0,1,0.0,0.0,129,0,0,7.5,90,Bournemouth,0,0,0,3,True,0
Declan Rice,MID,West Ham,3.5,0,0,0,0.0,0.0,139,1,0,5.5,90,Manchester United,0,0,0,2,False,0
Declan Rice,MID,West Ham,3.8,0,0,0,0.0,0.0,149,2,0,2.6,90,Crystal Palace,0,0,0,2,True,0
Declan Rice,MID,West Ham,2.2,0,0,0,0.04807,0.1806,159,2,0,3.2,90,Leeds United,0,0,1,2,True,0
Declan Rice,MID,West Ham,1.5,0,0,0,0.01345,0.0,161,3,0,3.8,90,Arsenal,0,0,1,2,False,0
Declan Rice,MID,West Ham,2.0,0,0,0,0.11207,0.0168,179,2,0,3.0,90,Brentford,0,0,1,2,True,0
Declan Rice,MID,West Ham,2.0,0,0,0,0.00865,0.087,187,2,0,1.9,90,Leicester City,0,0,1,2,False,0
Declan Rice,MID,West Ham,1.0,0,0,0,0.0,0.0,18,1,0,4.1,90,Nottingham Forest,1,0,0,-1,False,1
Declan Rice,MID,West Ham,1.8,0,0,0,0.2279,0.1159,200,1,0,5.4,90,Wolverhampton,0,0,1,1,False,1
Declan Rice,MID,West Ham,2.0,0,0,1,0.0209,0.1356,210,0,0,3.9,90,Everton,0,0,1,3,True,0
Declan Rice,MID,West Ham,3.7,1,2,0,0.03,0.0,217,1,0,2.8,90,Newcastle United,0,0,1,7,False,0
Declan Rice,MID,West Ham,4.0,0,0,0,0.01,0.02,230,1,0,2.4,90,Chelsea,0,0,1,2,True,0
Declan Rice,MID,West Ham,3.7,0,0,0,0.06,0.0,239,2,0,2.1,90,Tottenham,0,0,1,2,False,0
Declan Rice,MID,West Ham,5.2,0,2,1,0.11,0.04,250,0,1,11.4,90,Nottingham Forest,0,0,1,10,True,0
Declan Rice,MID,West Ham,3.8,0,0,0,0.0,0.0,254,4,0,0.8,90,Brighton,0,0,1,1,False,1
Declan Rice,MID,West Ham,3.8,0,0,0,0.13,0.0,270,1,0,5.2,90,Aston Villa,0,0,1,2,True,0
Declan Rice,MID,West Ham,4.6,0,0,1,0.01,0.0,290,0,0,2.4,90,Southampton,0,0,1,3,True,0
Declan Rice,MID,West Ham,4.6,0,0,0,0.08,0.07,70,5,0,3.7,90,Newcastle United,0,0,1,2,True,0
Declan Rice,MID,West Ham,1.0,0,0,0,0.0,0.0,30,2,0,5.1,90,Brighton,0,0,0,2,True,0
Declan Rice,MID,West Ham,2.3,0,0,1,0.01,0.03,293,0,0,3.0,90,Fulham,0,0,1,2,False,1
Declan Rice,MID,West Ham,1.7,0,0,0,0.09,0.04,309,2,0,2.3,90,Arsenal,0,0,1,2,True,0
Declan Rice,MID,West Ham,4.1,0,1,1,0.04,0.13,312,0,1,8.3,90,Bournemouth,0,0,1,9,False,0
Declan Rice,MID,West Ham,2.8,0,0,0,0.16,0.0,326,2,0,5.1,90,Liverpool,0,0,1,2,True,0
Declan Rice,MID,West Ham,4.4,0,0,0,0.04,0.0,335,4,0,2.3,90,Crystal Palace,0,0,1,2,False,0
Declan Rice,MID,West Ham,4.4,0,0,0,0.0,0.0,277,0,0,0.0,0,Manchester City,0,0,0,0,False,0
Declan Rice,MID,West Ham,2.2,0,0,1,0.02,0.02,349,0,0,3.4,90,Manchester United,0,0,1,3,True,0
Declan Rice,MID,West Ham,0.0,0,0,0,0.01,0.0,353,0,0,0.7,32,Brentford,0,0,0,1,False,0
Declan Rice,MID,West Ham,3.0,0,2,0,0.02,0.28,369,1,1,8.8,90,Leicester City,0,0,1,9,True,0
Declan Rice,MID,West Ham,2.8,0,0,0,0.05,0.0,378,2,0,0.0,90,Leeds United,0,0,1,2,False,0
Declan Rice,MID,West Ham,2.2,1,0,1,0.0,0.0,32,0,0,5.3,90,Aston Villa,0,0,0,6,False,0
Declan Rice,MID,West Ham,1.9,0,1,0,0.0,0.0,47,1,0,5.3,90,Tottenham,0,0,0,3,True,0
Declan Rice,MID,West Ham,2.7,1,1,0,0.0,0.0,54,2,0,3.6,90,Chelsea,0,0,0,6,False,0
Declan Rice,MID,West Ham,4.2,0,0,0,0.0,0.0,75,1,0,3.4,90,Everton,0,0,0,2,False,0
Declan Rice,MID,West Ham,2.0,0,0,1,0.0,0.0,90,0,0,5.6,90,Wolverhampton,0,0,0,2,True,1
