name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,starts,total_points,was_home
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-03-18,0,Southampton,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,0,0.0,1,2022-08-06,90,Southampton,0,0,1,0,2,True
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-08-14,90,Chelsea,0,0,1,0,1,False
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-10-19,90,Manchester United,0,0,8,0,3,False
Hugo Lloris,GK,Spurs,2,1,0.0,0,2022-08-20,90,Wolverhampton,0,0,3,0,9,True
Hugo Lloris,GK,Spurs,3,1,0.0,0,2022-10-08,90,Brighton,0,0,4,0,10,False
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-10-23,90,Newcastle United,0,0,3,0,2,True
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-11-06,90,Liverpool,0,0,4,0,2,True
Hugo Lloris,GK,Spurs,0,0,1.2076,3,2022-11-12,90,Leicester City,0,0,2,1,1,True
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-10-29,90,Bournemouth,0,0,2,0,1,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2022-12-26,0,Brentford,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,1,0.0,0,2022-10-15,90,Everton,0,0,0,0,6,True
Hugo Lloris,GK,Spurs,0,0,1.0022,2,2023-01-01,90,Aston Villa,0,0,2,1,1,True
Hugo Lloris,GK,Spurs,2,1,1.1789,0,2023-01-23,90,Fulham,0,0,5,1,9,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-02-19,0,West Ham,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-02-26,0,Chelsea,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,1,0.7928,0,2023-01-04,90,Crystal Palace,0,0,4,1,7,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-03-04,0,Wolverhampton,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,0,1.43,1,2023-04-08,90,Brighton,0,0,3,1,3,True
Hugo Lloris,GK,Spurs,3,1,0.97,0,2023-02-05,90,Manchester City,0,0,5,1,10,True
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-02-11,0,Leeds United,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,0,1.6648,2,2023-01-15,90,Arsenal,1,0,4,1,0,True
Hugo Lloris,GK,Spurs,0,0,2.4469,4,2023-01-19,90,Manchester City,0,0,2,1,0,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-03-11,0,Nottingham Forest,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,0,0.0,2,2022-09-17,90,Leeds United,0,0,5,0,2,True
Hugo Lloris,GK,Spurs,0,0,2.23,5,2023-04-23,45,Newcastle United,0,0,1,1,-1,False
Hugo Lloris,GK,Spurs,0,0,0.88,1,2023-04-03,90,Everton,0,0,5,1,3,False
Hugo Lloris,GK,Spurs,2,0,0.0,1,2022-08-31,90,West Ham,0,0,3,0,5,False
Hugo Lloris,GK,Spurs,0,1,0.0,0,2022-08-28,90,Nottingham Forest,0,0,1,0,6,False
Hugo Lloris,GK,Spurs,0,0,0.0,1,2022-09-03,90,Fulham,0,0,2,0,2,True
Hugo Lloris,GK,Spurs,0,0,0.94,3,2023-04-15,90,Bournemouth,0,0,3,1,2,True
Hugo Lloris,GK,Spurs,0,0,0.0,3,2022-10-01,90,Arsenal,0,0,6,0,3,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-04-27,0,Manchester United,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-05-06,0,Crystal Palace,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-05-28,0,Leicester City,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-05-13,0,Aston Villa,0,0,0,0,0,False
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-05-20,0,Brentford,0,0,0,0,0,True
Hugo Lloris,GK,Spurs,0,0,0.0,0,2023-04-30,0,Liverpool,0,0,0,0,0,False
