name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
James Maddison,MID,Leicester,2.7,1,0,0,0.0,0.0,6,2,0,15.0,90,Brentford,0,0,0,5,True,0
James Maddison,MID,Leicester,9.2,0,0,0,0.0,0.0,92,2,0,7.1,90,Bournemouth,0,0,0,1,False,1
James Maddison,MID,Leicester,7.0,0,0,1,0.0,0.0,105,0,0,8.5,90,Crystal Palace,0,0,0,2,True,1
James Maddison,MID,Leicester,0.0,0,0,0,0.0,0.0,117,0,0,0.0,0,Leicester City,0,0,0,0,True,0
James Maddison,MID,Leicester,5.8,0,0,1,0.0,0.0,130,0,1,8.8,90,Wolverhampton,0,0,0,8,False,0
James Maddison,MID,Leicester,4.2,0,0,0,0.0,0.0,137,1,0,7.2,90,Manchester City,0,0,0,2,True,0
James Maddison,MID,Leicester,4.6,2,2,1,0.0,0.0,143,0,0,17.7,90,Everton,0,0,0,11,False,0
James Maddison,MID,Leicester,6.3,0,0,0,0.00135,0.2211,159,0,1,5.1,24,West Ham,0,0,1,6,False,0
James Maddison,MID,Leicester,0.0,0,0,0,0.0,0.0,168,0,0,0.0,0,Newcastle United,0,0,0,0,True,0
James Maddison,MID,Leicester,0.0,0,0,0,0.0,0.0,174,0,0,0.0,0,Liverpool,0,0,0,0,False,0
James Maddison,MID,Leicester,0.0,0,0,0,0.0,0.0,188,0,0,0.0,0,Fulham,0,0,0,0,True,0
James Maddison,MID,Leicester,5.5,0,0,0,0.0,0.0,11,4,1,8.1,90,Arsenal,0,0,0,7,False,0
James Maddison,MID,Leicester,0.0,0,0,0,0.0,0.0,198,0,0,0.0,0,Nottingham Forest,0,0,0,0,False,0
James Maddison,MID,Leicester,0.2,0,0,0,0.00138,0.0784,206,1,0,0.3,21,Brighton,0,0,0,1,True,0
James Maddison,MID,Leicester,2.7,0,0,0,0.02,0.37,211,2,1,8.2,66,Aston Villa,0,0,1,7,False,0
James Maddison,MID,Leicester,6.3,1,2,0,0.09,0.55,226,1,1,10.7,87,Tottenham,0,0,1,11,True,1
James Maddison,MID,Leicester,6.7,0,0,0,0.08,0.2,236,3,0,7.0,90,Manchester United,0,0,1,2,False,0
James Maddison,MID,Leicester,3.4,0,0,0,0.0,0.0,246,0,0,0.0,0,Arsenal,0,0,0,0,True,0
James Maddison,MID,Leicester,3.0,0,0,0,0.85,0.04,259,1,0,9.6,90,Southampton,0,0,1,1,False,1
James Maddison,MID,Leicester,1.2,0,0,0,0.24,0.27,266,3,0,9.2,89,Chelsea,0,0,1,2,True,0
James Maddison,MID,Leicester,1.8,1,0,0,0.25,0.02,273,1,0,6.5,89,Brentford,0,0,1,4,False,1
James Maddison,MID,Leicester,5.0,0,0,0,0.0,0.11,285,2,0,2.6,90,Crystal Palace,0,0,1,2,False,0
James Maddison,MID,Leicester,5.0,0,0,0,0.1,0.04,66,1,0,7.1,84,Aston Villa,0,0,1,2,True,0
James Maddison,MID,Leicester,6.3,0,1,0,0.0,0.0,26,2,1,8.0,90,Southampton,0,0,0,7,True,1
James Maddison,MID,Leicester,3.0,0,0,0,0.1,0.1,295,1,0,6.5,90,Bournemouth,0,0,1,2,True,0
James Maddison,MID,Leicester,1.0,0,0,0,0.17,0.53,305,3,0,8.0,90,Manchester City,0,0,1,2,False,0
James Maddison,MID,Leicester,1.6,0,0,0,0.0,0.0,317,0,0,0.0,0,Wolverhampton,0,0,0,0,True,0
James Maddison,MID,Leicester,1.7,1,1,0,0.51,0.57,323,1,0,10.0,90,Leicester City,0,0,1,6,False,0
James Maddison,MID,Leicester,2.4,1,0,0,0.04,1.01,337,2,0,14.7,90,Everton,1,0,1,2,True,1
James Maddison,MID,Leicester,3.8,1,0,0,0.15,1.5,343,5,1,17.5,90,Fulham,0,0,1,9,False,1
James Maddison,MID,Leicester,0.0,0,0,0,0.01,0.17,358,3,0,3.5,90,Liverpool,0,0,1,2,True,0
James Maddison,MID,Leicester,3.0,0,0,0,0.13,0.0,366,0,0,2.7,45,Newcastle United,0,0,0,1,False,0
James Maddison,MID,Leicester,3.2,0,0,0,0.1,0.39,378,1,0,0.0,90,West Ham,0,0,1,2,True,0
James Maddison,MID,Leicester,3.2,0,0,0,0.0,0.0,35,0,0,0.0,0,Chelsea,0,0,0,0,False,0
James Maddison,MID,Leicester,2.6,0,0,0,0.0,0.0,46,1,0,5.9,90,Manchester United,0,0,0,1,True,1
James Maddison,MID,Leicester,3.4,0,0,0,0.0,0.0,53,5,0,1.7,90,Brighton,0,0,0,2,False,0
James Maddison,MID,Leicester,2.0,0,0,0,0.0,0.0,79,6,1,18.8,90,Tottenham,0,0,0,7,False,0
James Maddison,MID,Leicester,9.5,1,3,1,0.0,0.0,86,0,2,16.9,84,Nottingham Forest,0,0,0,18,True,1
