name,position,team,xP,assists,bonus,expected_assists,expected_goals,fixture,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Jamie Vardy,FWD,Leicester,3.2,1,0,0.0,0.0,6,0,4.1,90,Brentford,0,0,0,5,True,0
Jamie Vardy,FWD,Leicester,2.8,0,0,0.0,0.0,92,0,0.5,23,Bournemouth,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.8,0,0,0.0,0.0,105,0,0.7,25,Crystal Palace,0,0,0,0,True,1
Jamie Vardy,FWD,Leicester,0.0,0,0,0.0,0.0,117,0,0.5,63,Leicester City,0,0,0,2,True,0
Jamie Vardy,FWD,Leicester,3.6,1,2,0.0,0.0,130,1,8.6,29,Wolverhampton,0,0,0,10,False,0
Jamie Vardy,FWD,Leicester,2.3,0,0,0.0,0.0,137,0,1.5,70,Manchester City,0,0,0,2,True,0
Jamie Vardy,FWD,Leicester,3.0,0,0,0.0,0.0,143,0,0.2,20,Everton,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.3,0,0,0.01443,0.0738,159,0,2.7,21,West Ham,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.0,0,0,0.12899,0.0,168,0,1.3,45,Newcastle United,0,0,0,1,True,0
Jamie Vardy,FWD,Leicester,0.5,0,0,0.12584,0.0451,174,0,3.1,75,Liverpool,0,0,0,2,False,0
Jamie Vardy,FWD,Leicester,1.7,0,0,0.03732,0.2758,188,0,8.2,90,Fulham,0,0,1,2,True,0
Jamie Vardy,FWD,Leicester,3.0,0,0,0.0,0.0,11,0,2.4,69,Arsenal,0,0,0,2,False,0
Jamie Vardy,FWD,Leicester,2.3,0,0,0.01513,0.0,198,0,1.9,90,Nottingham Forest,0,0,1,2,False,0
Jamie Vardy,FWD,Leicester,1.8,0,0,0.04413,0.0403,206,0,1.2,85,Brighton,0,0,1,2,True,0
Jamie Vardy,FWD,Leicester,1.3,0,0,0.0,0.0,211,0,1.3,23,Aston Villa,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.3,0,0,0.0,0.0,226,0,0.0,13,Tottenham,0,0,0,1,True,0
Jamie Vardy,FWD,Leicester,1.0,0,0,0.01,0.0,236,0,2.5,15,Manchester United,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,0.5,0,0,0.0,0.0,246,0,0.7,28,Arsenal,0,0,0,1,True,0
Jamie Vardy,FWD,Leicester,1.5,0,0,0.02,0.0,259,0,0.2,22,Southampton,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.0,0,0,0.0,0.2,266,0,0.3,14,Chelsea,0,0,0,1,True,0
Jamie Vardy,FWD,Leicester,1.0,0,0,0.0,0.0,273,0,0.2,24,Brentford,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,2.0,0,0,0.0,0.0,285,0,0.0,0,Crystal Palace,0,0,0,0,False,0
Jamie Vardy,FWD,Leicester,2.0,0,0,0.0,0.05,66,0,0.7,75,Aston Villa,0,0,1,2,True,0
Jamie Vardy,FWD,Leicester,3.0,0,0,0.0,0.0,26,0,0.3,64,Southampton,0,0,0,2,True,0
Jamie Vardy,FWD,Leicester,1.5,0,0,0.0,0.13,295,0,0.9,57,Bournemouth,0,0,1,1,True,0
Jamie Vardy,FWD,Leicester,0.0,0,0,0.03,0.0,305,0,0.5,45,Manchester City,0,0,1,1,False,0
Jamie Vardy,FWD,Leicester,1.6,1,0,0.09,0.0,317,0,2.0,45,Wolverhampton,0,0,1,4,True,0
Jamie Vardy,FWD,Leicester,2.5,0,2,0.03,0.34,323,1,6.7,20,Leicester City,0,0,0,7,False,0
Jamie Vardy,FWD,Leicester,3.8,0,0,0.03,2.11,337,1,9.2,90,Everton,0,0,1,6,True,0
Jamie Vardy,FWD,Leicester,3.6,0,0,0.0,1.13,343,0,5.6,75,Fulham,1,0,1,0,False,0
Jamie Vardy,FWD,Leicester,0.0,0,0,0.02,0.34,358,0,6.3,90,Liverpool,0,0,1,2,True,0
Jamie Vardy,FWD,Leicester,2.0,0,0,0.0,0.0,366,0,0.5,62,Newcastle United,0,0,1,2,False,0
Jamie Vardy,FWD,Leicester,2.2,0,0,0.0,0.0,378,0,0.0,13,West Ham,0,0,0,1,True,0
Jamie Vardy,FWD,Leicester,3.0,1,0,0.0,0.0,35,0,7.5,90,Chelsea,0,0,0,5,False,0
Jamie Vardy,FWD,Leicester,2.7,0,0,0.0,0.0,46,0,0.0,86,Manchester United,0,0,0,2,True,0
Jamie Vardy,FWD,Leicester,2.4,0,0,0.0,0.0,53,0,0.7,18,Brighton,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,1.7,0,0,0.0,0.0,79,0,0.0,16,Tottenham,0,0,0,1,False,0
Jamie Vardy,FWD,Leicester,2.8,1,0,0.0,0.0,86,0,7.6,61,Nottingham Forest,0,0,0,5,True,0
