name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals_conceded,fixture,goals_conceded,minutes,opponent_team,own_goals,penalties_saved,red_cards,saves,starts,total_points,was_home,yellow_cards
Jordan Smith,GK,Nott'm Forest,0.9,0,0,0,0.0,0.0,169,0,0,Manchester United,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,-1.0,0,0,0,0.0,0.0,177,0,0,Chelsea,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,-0.5,0,0,0,0.0,0.0,190,0,0,Southampton,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,-0.5,0,0,0,0.0,0.0,198,0,0,Leeds United,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,-0.5,0,0,0,0.0,0.0,202,0,0,Bournemouth,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,218,0,0,Leicester City,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,224,0,0,Fulham,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,238,0,0,Manchester City,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,250,0,0,West Ham,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,258,0,0,Everton,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,269,0,0,Tottenham,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,278,0,0,Newcastle United,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,289,0,0,Wolverhampton,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,65,0,0,Leicester City,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,291,0,0,Aston Villa,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,306,0,0,Manchester United,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,318,0,0,Liverpool,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,324,0,0,Brighton,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,333,0,0,Brentford,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,347,0,0,Southampton,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,354,0,0,Chelsea,0,0,0,0,0,0,False,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,367,0,0,Arsenal,0,0,0,0,0,0,True,0
Jordan Smith,GK,Nott'm Forest,0.0,0,0,0,0.0,0.0,375,0,0,Crystal Palace,0,0,0,0,0,0,False,0
