name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Pascal Groß,MID,Brighton,3,0,1,16.7,2022-08-07,90,Manchester United,0,15,False
Pascal Groß,MID,Brighton,0,1,0,7.4,2022-08-13,90,Newcastle United,0,3,True
Pascal Groß,MID,Brighton,0,1,0,9.9,2022-10-18,84,Nottingham Forest,0,3,True
Pascal Groß,MID,Brighton,0,0,3,5.1,2022-10-22,86,Manchester City,0,1,False
Pascal Groß,MID,Brighton,0,0,1,7.3,2022-10-29,90,Chelsea,0,7,True
Pascal Groß,MID,Brighton,0,0,1,7.0,2022-10-08,81,Tottenham,0,2,True
Pascal Groß,MID,Brighton,0,0,2,6.2,2022-10-14,67,Brentford,0,2,False
Pascal Groß,MID,Brighton,0,0,1,2.4,2022-12-26,90,Southampton,1,2,False
Pascal Groß,MID,Brighton,2,0,2,7.1,2022-11-05,90,Wolverhampton,0,9,False
Pascal Groß,MID,Brighton,0,0,2,0.0,2022-11-13,90,Aston Villa,1,1,True
Pascal Groß,MID,Brighton,1,0,4,9.0,2022-12-31,90,Arsenal,1,6,True
Pascal Groß,MID,Brighton,1,0,1,13.8,2023-01-03,90,Everton,1,8,False
Pascal Groß,MID,Brighton,0,0,2,5.6,2023-01-21,90,Leeds United,1,2,False
Pascal Groß,MID,Brighton,0,1,0,7.2,2022-08-21,90,West Ham,0,6,False
Pascal Groß,MID,Brighton,0,1,0,5.5,2023-02-04,90,Bournemouth,1,3,True
Pascal Groß,MID,Brighton,0,0,1,6.4,2023-02-18,90,Fulham,1,2,True
Pascal Groß,MID,Brighton,0,1,0,4.9,2023-01-14,90,Liverpool,1,3,True
Pascal Groß,MID,Brighton,0,1,0,8.1,2023-03-04,90,West Ham,1,6,True
Pascal Groß,MID,Brighton,0,0,1,5.2,2023-02-11,90,Crystal Palace,1,2,False
Pascal Groß,MID,Brighton,0,0,2,5.0,2023-03-11,90,Leicester City,1,2,False
Pascal Groß,MID,Brighton,0,1,0,6.2,2023-03-15,90,Crystal Palace,1,3,True
Pascal Groß,MID,Brighton,0,0,2,5.0,2023-04-08,90,Tottenham,1,1,False
Pascal Groß,MID,Brighton,0,0,3,14.4,2023-04-01,90,Brentford,1,1,True
Pascal Groß,MID,Brighton,0,1,0,8.4,2023-04-04,90,Bournemouth,1,6,False
Pascal Groß,MID,Brighton,0,0,1,8.7,2023-04-15,90,Chelsea,1,5,False
Pascal Groß,MID,Brighton,0,0,3,5.7,2023-04-26,90,Nottingham Forest,1,0,False
Pascal Groß,MID,Brighton,3,1,0,10.7,2022-08-27,90,Leicester City,0,11,True
Pascal Groß,MID,Brighton,0,0,5,11.6,2023-05-08,90,Everton,1,2,True
Pascal Groß,MID,Brighton,0,0,2,2.9,2022-08-30,90,Fulham,0,2,False
Pascal Groß,MID,Brighton,0,1,0,3.3,2023-05-14,90,Arsenal,1,5,False
Pascal Groß,MID,Brighton,0,0,2,1.3,2023-05-18,68,Newcastle United,1,1,False
Pascal Groß,MID,Brighton,0,0,2,12.7,2022-09-04,90,Leeds United,0,5,True
Pascal Groß,MID,Brighton,1,0,2,0.0,2023-05-28,90,Aston Villa,1,5,False
Pascal Groß,MID,Brighton,2,0,1,14.2,2023-05-21,90,Southampton,1,9,True
Pascal Groß,MID,Brighton,0,0,1,10.4,2023-05-24,90,Manchester City,1,2,True
Pascal Groß,MID,Brighton,1,1,0,10.8,2023-04-29,90,Wolverhampton,1,14,True
Pascal Groß,MID,Brighton,0,0,0,0.0,2023-05-04,0,Manchester United,0,0,True
Pascal Groß,MID,Brighton,0,0,3,0.9,2022-10-01,64,Liverpool,0,2,False
