name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Paul Onuachu,FWD,Southampton,0,0.0,2023-03-18,0,Tottenham,0,0,True
Paul Onuachu,FWD,Southampton,0,1.5,2023-02-25,62,Leicester City,1,2,False
Paul Onuachu,FWD,Southampton,0,0.0,2023-04-08,0,Manchester City,0,0,True
Paul Onuachu,FWD,Southampton,0,3.1,2023-02-18,58,Chelsea,1,1,False
Paul Onuachu,FWD,Southampton,0,0.0,2023-03-04,0,Leeds United,0,0,True
Paul Onuachu,FWD,Southampton,0,6.3,2023-02-04,45,Brentford,0,1,False
Paul Onuachu,FWD,Southampton,0,1.6,2023-02-11,73,Wolverhampton,1,2,True
Paul Onuachu,FWD,Southampton,0,0.0,2023-03-12,5,Manchester United,0,1,False
Paul Onuachu,FWD,Southampton,0,0.1,2023-03-15,24,Brentford,0,1,True
Paul Onuachu,FWD,Southampton,0,1.8,2023-04-02,18,West Ham,0,1,False
Paul Onuachu,FWD,Southampton,0,0.3,2023-04-21,13,Arsenal,0,1,False
Paul Onuachu,FWD,Southampton,0,2.2,2023-04-15,28,Crystal Palace,0,1,True
Paul Onuachu,FWD,Southampton,0,0.0,2023-04-27,0,Bournemouth,0,0,True
Paul Onuachu,FWD,Southampton,0,1.5,2023-05-08,14,Nottingham Forest,0,1,False
Paul Onuachu,FWD,Southampton,0,0.0,2023-05-28,0,Liverpool,0,0,True
Paul Onuachu,FWD,Southampton,0,2.2,2023-05-13,61,Fulham,1,2,True
Paul Onuachu,FWD,Southampton,0,0.0,2023-04-30,0,Newcastle United,0,0,False
Paul Onuachu,FWD,Southampton,0,0.0,2023-05-21,0,Brighton,0,0,False
