name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Trent Alexander-Arnold,DEF,Liverpool,5.5,0,0,0,0.0,0.0,0.0,4,2,0,3.5,90,Fulham,0,0,0,0,1,False,0
Trent Alexander-Arnold,DEF,Liverpool,0.5,0,0,0,0.0,0.0,0.0,91,2,0,1.8,45,Arsenal,0,0,0,0,0,False,0
Trent Alexander-Arnold,DEF,Liverpool,0.0,0,0,0,0.0,0.0,0.0,106,0,0,0.5,1,Manchester City,0,0,0,0,1,True,0
Trent Alexander-Arnold,DEF,Liverpool,0.0,0,2,1,0.0,0.0,0.0,118,0,0,7.1,90,West Ham,0,0,0,0,8,True,0
Trent Alexander-Arnold,DEF,Liverpool,3.5,0,0,0,0.0,0.0,0.0,126,0,0,5.6,28,Nottingham Forest,0,0,0,0,1,False,0
Trent Alexander-Arnold,DEF,Liverpool,3.0,0,0,0,0.0,0.0,0.0,138,1,0,7.4,78,Leicester City,0,0,0,0,2,True,0
Trent Alexander-Arnold,DEF,Liverpool,3.3,0,0,0,0.0,0.0,0.0,148,1,0,3.6,90,Tottenham,0,0,0,0,2,False,0
Trent Alexander-Arnold,DEF,Liverpool,3.0,0,0,0,0.29997,0.0442,1.0531,154,1,0,5.2,86,Southampton,0,0,0,1,2,True,0
Trent Alexander-Arnold,DEF,Liverpool,2.2,0,0,0,0.60133,0.0,1.1617,162,1,0,5.1,78,Aston Villa,0,0,0,1,2,False,0
Trent Alexander-Arnold,DEF,Liverpool,6.0,1,3,0,0.04566,0.1222,0.9925,174,1,0,7.0,85,Leeds United,0,0,0,1,8,True,0
Trent Alexander-Arnold,DEF,Liverpool,6.0,1,1,0,0.27686,0.0,1.9671,183,3,0,9.2,90,Brentford,0,0,0,1,5,False,0
Trent Alexander-Arnold,DEF,Liverpool,3.0,0,1,0,0.0,0.0,0.0,16,1,0,14.0,90,Crystal Palace,0,0,0,0,3,True,0
Trent Alexander-Arnold,DEF,Liverpool,4.8,0,0,0,0.64886,0.0,2.238,193,3,0,5.3,90,Brighton,0,0,0,1,0,False,1
Trent Alexander-Arnold,DEF,Liverpool,3.7,0,0,0,0.00629,0.132,0.0677,207,0,0,0.4,18,Chelsea,0,0,0,0,1,True,0
Trent Alexander-Arnold,DEF,Liverpool,1.7,0,0,0,0.06,0.14,2.09,220,3,0,5.9,90,Wolverhampton,0,0,0,1,1,False,0
