name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-08-12,0,Aston Villa,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-10-28,0,Wolverhampton,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-11-04,0,Arsenal,0,0,True
Lewis Miley,MID,Newcastle,0,0,1,1.1,2023-11-11,65,Bournemouth,1,2,False
Lewis Miley,MID,Newcastle,1,0,1,4.5,2023-11-25,90,Chelsea,1,6,True
Lewis Miley,MID,Newcastle,0,1,0,2.7,2023-12-02,90,Manchester United,1,3,True
Lewis Miley,MID,Newcastle,0,0,2,4.7,2023-12-07,89,Everton,1,2,False
Lewis Miley,MID,Newcastle,0,0,4,2.2,2023-12-10,90,Tottenham,1,2,False
Lewis Miley,MID,Newcastle,0,0,0,10.3,2023-12-16,54,Fulham,0,6,True
Lewis Miley,MID,Newcastle,0,0,1,0.8,2023-12-23,37,Luton,1,1,False
Lewis Miley,MID,Newcastle,0,0,3,6.5,2023-12-26,90,Nottingham Forest,1,2,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-08-19,0,Manchester City,0,0,False
Lewis Miley,MID,Newcastle,0,0,1,1.1,2024-01-01,53,Liverpool,1,0,False
Lewis Miley,MID,Newcastle,0,0,3,3.4,2024-01-13,90,Manchester City,1,2,True
Lewis Miley,MID,Newcastle,0,0,1,2.6,2024-01-30,74,Aston Villa,1,2,False
Lewis Miley,MID,Newcastle,0,0,4,5.9,2024-02-03,90,Luton,1,5,True
Lewis Miley,MID,Newcastle,0,0,2,1.8,2024-02-10,81,Nottingham Forest,1,2,False
Lewis Miley,MID,Newcastle,0,0,2,3.9,2024-02-17,90,Bournemouth,1,2,True
Lewis Miley,MID,Newcastle,0,0,4,1.6,2024-02-24,90,Arsenal,1,2,False
Lewis Miley,MID,Newcastle,0,0,0,0.6,2024-03-02,20,Wolverhampton,0,1,True
Lewis Miley,MID,Newcastle,0,0,0,3.0,2024-03-11,10,Chelsea,0,4,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-08-27,0,Liverpool,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-03-30,0,West Ham,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-04-02,0,Everton,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-04-06,0,Fulham,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-04-13,0,Tottenham,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-04-24,0,Crystal Palace,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-04-27,0,Sheffield,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-05-04,0,Burnley,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-05-11,0,Brighton,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-05-15,0,Manchester United,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2024-05-19,0,Brentford,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-09-02,0,Brighton,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-09-16,0,Brentford,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-09-24,0,Sheffield,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-09-30,0,Burnley,0,0,True
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-10-08,0,West Ham,0,0,False
Lewis Miley,MID,Newcastle,0,0,0,0.0,2023-10-21,0,Crystal Palace,0,0,True
