name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Matt Doherty,DEF,Wolves,1.5,0,0,0,0.0,0.0,0.0,10,0,0,0.0,0,Manchester United,0,0,0,0,0,False,0
Matt Doherty,DEF,Wolves,0.5,0,0,0,0.0,0.0,0.0,100,0,0,0.0,0,Newcastle United,0,0,0,0,0,True,0
Matt Doherty,DEF,Wolves,1.2,0,0,0,0.0,0.0,0.0,109,0,0,0.0,0,Sheffield,0,0,0,0,0,False,0
Matt Doherty,DEF,Wolves,0.0,0,0,0,0.0,0.0,0.24,120,0,0,0.0,23,Tottenham,0,0,0,0,0,True,1
Matt Doherty,DEF,Wolves,0.3,0,0,0,0.11,0.13,1.98,124,2,0,4.0,71,Fulham,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,0.0,0,0,0,0.01,0.0,1.31,131,0,0,1.5,28,Arsenal,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,1.3,0,0,0,0.0,0.0,0.0,149,0,0,0.1,1,Burnley,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,0.8,0,0,0,0.01,0.0,0.48,160,0,0,0.2,21,Nottingham Forest,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,1.0,0,0,0,0.01,0.0,0.09,170,0,0,0.3,10,West Ham,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,2.2,0,1,0,0.0,0.3,0.54,180,1,1,5.2,4,Chelsea,0,0,0,0,8,True,0
Matt Doherty,DEF,Wolves,2.2,0,0,0,0.0,0.0,0.05,183,0,0,0.9,26,Brentford,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,0.0,0,0,0,0.0,0.0,0.0,20,0,0,0.0,0,Brighton,0,0,0,0,0,True,0
Matt Doherty,DEF,Wolves,2.2,0,0,0,0.01,0.0,0.06,200,0,0,0.4,5,Everton,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,4.0,0,0,1,0.0,0.0,1.25,204,0,0,2.0,90,Brighton,0,0,0,1,6,False,0
Matt Doherty,DEF,Wolves,3.0,0,0,0,0.01,0.0,1.25,218,2,0,2.8,53,Manchester United,0,0,0,1,0,True,0
Matt Doherty,DEF,Wolves,2.3,0,0,0,0.0,0.0,0.21,226,0,0,0.2,1,Chelsea,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,2.0,0,0,0,0.03,0.04,0.0,240,0,0,0.5,7,Brentford,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,0.8,0,0,0,0.0,0.0,0.59,250,0,0,0.0,1,Tottenham,0,0,0,0,1,False,0
Matt Doherty,DEF,Wolves,0.0,0,0,0,0.0,0.0,0.02,260,0,0,0.2,1,Sheffield,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,0.8,0,0,0,0.0,0.0,0.0,267,0,0,0.0,0,Newcastle United,0,0,0,0,0,False,0
Matt Doherty,DEF,Wolves,0.8,0,0,0,0.0,0.0,1.51,280,1,0,0.5,13,Fulham,0,0,0,0,1,True,0
Matt Doherty,DEF,Wolves,0.0,0,0,0,0.0,0.0,0.0,27,0,0,0.0,0,Everton,0,0,0,0,0,False,0
Matt Doherty,DEF,Wolves,0.2,0,0,0,0.01,0.07,0.02,291,0,0,2.3,6,Aston Villa,0,0,0,0,1,False,0
