name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-08-11,1,Manchester City,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-10-28,9,Bournemouth,0,1,False
Nathan Redmond,MID,Burnley,0,0,1,1.7,2023-11-04,12,Crystal Palace,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-11-11,0,Arsenal,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-11-25,0,West Ham,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,2.3,2023-12-02,13,Sheffield,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.1,2023-12-05,1,Wolverhampton,0,1,False
Nathan Redmond,MID,Burnley,0,0,0,1.4,2023-12-09,12,Brighton,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-12-16,3,Everton,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.2,2023-12-23,10,Fulham,0,1,False
Nathan Redmond,MID,Burnley,0,0,1,0.3,2023-12-26,5,Liverpool,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-12-30,0,Aston Villa,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-01-12,0,Luton,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-01-31,0,Manchester City,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-02-03,0,Fulham,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-02-10,0,Liverpool,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-02-17,0,Arsenal,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-02-24,0,Crystal Palace,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-03-03,0,Bournemouth,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-03-10,0,West Ham,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-03-16,0,Brentford,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.5,2023-08-27,22,Aston Villa,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-03-30,0,Chelsea,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-04-02,0,Wolverhampton,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-04-06,0,Everton,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-04-13,0,Brighton,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-04-20,0,Sheffield,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-04-27,0,Manchester United,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-05-04,0,Newcastle United,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-05-11,0,Tottenham,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2024-05-19,0,Nottingham Forest,0,0,True
Nathan Redmond,MID,Burnley,0,0,2,2.4,2023-09-02,30,Tottenham,0,1,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-09-18,0,Nottingham Forest,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-09-23,0,Manchester United,0,0,True
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-09-30,0,Newcastle United,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-10-03,0,Luton,0,0,False
Nathan Redmond,MID,Burnley,0,0,0,0.0,2023-10-07,0,Chelsea,0,0,True
Nathan Redmond,MID,Burnley,0,0,1,0.5,2023-10-21,14,Brentford,0,1,False
