name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Nayef Aguerd,DEF,West Ham,2.0,0,0,0,0.0,0.0,1.37,3,1,0,1.4,90,Bournemouth,0,0,0,1,2,False,0
Nayef Aguerd,DEF,West Ham,1.0,0,0,0,0.01,0.09,0.82,99,1,0,3.1,90,Everton,0,0,0,1,2,True,0
Nayef Aguerd,DEF,West Ham,1.0,0,0,0,0.01,0.0,1.4,101,3,0,2.5,90,Brentford,0,0,0,1,1,False,0
Nayef Aguerd,DEF,West Ham,1.3,0,0,0,0.04,0.0,1.68,119,2,0,3.2,90,Nottingham Forest,0,0,0,1,1,True,0
Nayef Aguerd,DEF,West Ham,1.5,0,0,0,0.0,0.0,1.27,122,1,0,1.4,90,Burnley,0,0,0,1,1,False,1
Nayef Aguerd,DEF,West Ham,1.2,0,0,0,0.22,0.0,0.88,140,1,0,3.5,90,Crystal Palace,0,0,0,1,2,True,0
Nayef Aguerd,DEF,West Ham,1.5,0,0,0,0.0,0.22,1.74,148,1,0,5.3,90,Tottenham,0,0,0,1,2,False,0
Nayef Aguerd,DEF,West Ham,1.2,0,0,0,0.01,0.0,2.34,155,5,0,1.7,90,Fulham,0,0,0,1,0,False,0
Nayef Aguerd,DEF,West Ham,2.2,0,0,1,0.01,0.07,0.65,170,0,0,2.1,90,Wolverhampton,0,0,0,1,6,True,0
Nayef Aguerd,DEF,West Ham,1.0,0,0,0,0.0,0.0,0.0,179,0,0,0.0,0,Manchester United,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.9,0,0,0,0.0,0.0,0.0,181,0,0,0.0,0,Arsenal,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,3.5,0,0,0,0.0,0.13,2.63,19,1,1,7.1,66,Chelsea,0,0,1,1,5,True,0
Nayef Aguerd,DEF,West Ham,1.0,0,0,0,0.0,0.0,0.0,199,0,0,0.0,0,Brighton,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,210,0,0,0.0,0,Sheffield,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,217,0,0,0.0,0,Bournemouth,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.02,0.19,0.8,228,3,0,3.6,90,Manchester United,0,0,0,1,1,False,0
Nayef Aguerd,DEF,West Ham,-0.5,0,0,0,0.0,0.0,3.66,239,6,0,1.6,90,Arsenal,0,0,0,1,-1,True,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.01,0.02,2.79,248,2,0,3.1,90,Nottingham Forest,0,0,0,1,1,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,259,0,0,0.0,0,Brentford,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,263,0,0,0.0,0,Everton,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.8,0,0,0,0.03,0.0,0.31,279,2,0,2.3,81,Burnley,0,0,0,1,1,True,0
Nayef Aguerd,DEF,West Ham,-0.3,0,0,0,0.0,0.0,0.0,289,0,0,0.0,0,Aston Villa,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,24,0,0,0.0,0,Brighton,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.0,0.0,0.0,297,0,0,0.0,0,Newcastle United,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,-0.3,0,0,0,0.0,0.0,0.0,306,0,0,0.0,0,Tottenham,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.0,0.0,0.0,320,0,0,0.0,0,Wolverhampton,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.01,0.0,3.29,330,2,0,4.2,90,Fulham,0,0,0,1,1,True,0
Nayef Aguerd,DEF,West Ham,0.2,0,0,0,0.0,0.0,0.0,333,0,0,0.0,0,Crystal Palace,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,349,0,0,0.0,0,Liverpool,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,0.1,0,0,0,0.0,0.0,0.0,355,0,0,0.0,0,Chelsea,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.0,0.0,369,0,0,0.0,0,Luton,0,0,0,0,0,True,0
Nayef Aguerd,DEF,West Ham,-0.2,0,0,0,0.0,0.0,0.0,379,0,0,0.0,0,Manchester City,0,0,0,0,0,False,0
Nayef Aguerd,DEF,West Ham,2.7,0,0,0,0.01,0.0,1.43,38,1,0,3.9,90,Luton,0,0,0,1,2,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0.0,0.25,3.63,49,3,0,5.0,90,Manchester City,0,0,0,1,1,True,0
Nayef Aguerd,DEF,West Ham,0.5,0,0,0,0.01,0.04,3.06,57,3,0,2.4,90,Liverpool,0,0,0,1,1,False,0
Nayef Aguerd,DEF,West Ham,3.2,0,0,1,0.0,0.31,1.07,69,0,0,4.9,90,Sheffield,0,0,0,1,6,True,0
Nayef Aguerd,DEF,West Ham,2.2,0,0,0,0.01,0.0,1.95,79,2,0,0.5,90,Newcastle United,0,0,0,1,1,True,0
Nayef Aguerd,DEF,West Ham,2.3,0,0,0,0.01,0.05,2.02,81,4,0,1.6,90,Aston Villa,0,0,0,1,0,False,0
