name,position,team,xP,assists,bonus,clean_sheets,expected_assists,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,starts,total_points,was_home,yellow_cards
Valentín Barco,DEF,Brighton,1.9,0,0,0,0.0,0.0,0.0,249,0,0,0.0,0,Sheffield,0,0,0,0,0,False,0
Valentín Barco,DEF,Brighton,0.0,0,0,0,0.0,0.0,0.0,254,0,0,0.0,0,Everton,0,0,0,0,0,True,0
Valentín Barco,DEF,Brighton,0.0,0,0,0,0.0,0.0,0.0,264,0,0,0.0,0,Fulham,0,0,0,0,0,False,0
Valentín Barco,DEF,Brighton,0.0,0,0,0,0.0,0.0,0.0,274,0,0,0.0,0,Nottingham Forest,0,0,0,0,0,True,0
Valentín Barco,DEF,Brighton,-0.2,0,0,0,0.0,0.0,0.04,295,0,0,0.0,1,Liverpool,0,0,0,0,1,False,0
Valentín Barco,DEF,Brighton,0.3,0,0,0,0.0,0.0,0.0,303,0,0,0.0,0,Brentford,0,0,0,0,0,False,0
Valentín Barco,DEF,Brighton,-0.8,0,0,0,0.0,0.0,0.0,312,0,0,0.0,0,Arsenal,0,0,0,0,0,True,0
Valentín Barco,DEF,Brighton,0.7,0,0,0,0.0,0.0,0.0,324,0,0,0.0,0,Burnley,0,0,0,0,0,False,0
Valentín Barco,DEF,Brighton,-0.8,0,0,0,0.21,0.04,1.3,282,4,0,3.3,90,Manchester City,0,0,0,1,0,True,0
Valentín Barco,DEF,Brighton,0.0,0,0,0,0.06,0.02,2.26,342,3,0,2.7,90,Bournemouth,0,0,0,1,0,False,1
Valentín Barco,DEF,Brighton,-0.3,0,0,0,0.0,0.0,0.0,353,0,0,0.5,1,Aston Villa,0,0,0,0,1,True,0
Valentín Barco,DEF,Brighton,0.8,0,0,0,0.0,0.0,0.0,366,0,0,0.0,0,Newcastle United,0,0,0,0,0,False,0
Valentín Barco,DEF,Brighton,0.8,0,0,0,0.02,0.02,0.48,332,1,0,3.7,45,Chelsea,0,0,0,0,1,True,0
Valentín Barco,DEF,Brighton,0.7,0,0,0,0.09,0.12,1.02,373,1,0,5.3,80,Manchester United,0,0,0,1,2,True,0
