team_a,team_a_score,team_h,team_h_score
Arsenal,2,Crystal Palace,0
Liverpool,2,Fulham,2
Aston Villa,0,Bournemouth,2
Wolverhampton,1,Leicester City,2
Nottingham Forest,0,Newcastle United,2
Southampton,1,Tottenham,4
Chelsea,1,Everton,0
Brentford,2,Leeds United,2
Brighton,2,Manchester United,1
Manchester City,2,West Ham,0
Everton,1,Aston Villa,2
Leeds United,2,Arsenal,4
Newcastle United,0,Brighton,0
Bournemouth,0,Manchester City,4
Leicester City,2,Southampton,2
Fulham,0,Wolverhampton,0
Manchester United,0,Brentford,4
West Ham,0,Nottingham Forest,1
Tottenham,2,Chelsea,2
Crystal Palace,1,Liverpool,1
Wolverhampton,0,Tottenham,1
Aston Villa,1,Crystal Palace,3
Nottingham Forest,1,Everton,1
Brentford,2,Fulham,3
Southampton,2,Leeds United,1
Arsenal,3,Bournemouth,0
Chelsea,0,Leicester City,3
Brighton,2,West Ham,0
Manchester City,3,Newcastle United,3
Liverpool,1,Manchester United,2
Manchester United,1,Southampton,0
Everton,1,Brentford,1
Leicester City,0,Brighton,1
Leeds United,1,Chelsea,2
Bournemouth,0,Liverpool,9
Crystal Palace,2,Manchester City,4
Fulham,1,Arsenal,2
West Ham,1,Aston Villa,0
Newcastle United,1,Wolverhampton,1
Tottenham,2,Nottingham Forest,0
Brentford,1,Crystal Palace,1
Brighton,1,Fulham,2
Chelsea,1,Southampton,2
Everton,1,Leicester City,1
Aston Villa,1,Arsenal,2
Wolverhampton,0,Bournemouth,0
Nottingham Forest,0,Manchester City,6
Tottenham,1,West Ham,1
Newcastle United,1,Liverpool,2
Manchester United,1,Leeds United,0
Liverpool,0,Everton,0
Leicester City,2,Brentford,5
West Ham,1,Chelsea,2
Crystal Palace,0,Newcastle United,0
Bournemouth,3,Nottingham Forest,2
Fulham,1,Tottenham,2
Southampton,0,Wolverhampton,1
Manchester City,1,Aston Villa,1
Leeds United,2,Brighton,5
Arsenal,1,Manchester United,3
Southampton,0,Aston Villa,1
Fulham,3,Nottingham Forest,2
Manchester City,3,Wolverhampton,0
Bournemouth,1,Newcastle United,1
Leeds United,2,Tottenham,6
Arsenal,3,Brentford,0
West Ham,0,Everton,1
Tottenham,1,Arsenal,3
Brentford,0,Bournemouth,0
Chelsea,2,Crystal Palace,1
Newcastle United,4,Fulham,1
Brighton,3,Liverpool,3
Everton,2,Southampton,1
Wolverhampton,0,West Ham,2
Manchester United,3,Manchester City,6
Aston Villa,0,Leicester City,0
Nottingham Forest,0,Leeds United,4
Leeds United,1,Bournemouth,2
Wolverhampton,0,Chelsea,3
Southampton,0,Manchester City,4
Brentford,1,Newcastle United,5
Tottenham,1,Brighton,0
Leicester City,1,Crystal Palace,2
Fulham,1,West Ham,3
Liverpool,2,Arsenal,3
Manchester United,2,Everton,1
Aston Villa,1,Nottingham Forest,1
Brighton,0,Brentford,2
Crystal Palace,0,Leeds United,0
Bournemouth,2,Fulham,2
Nottingham Forest,0,Wolverhampton,1
Everton,0,Tottenham,2
Chelsea,2,Aston Villa,0
Arsenal,1,Leicester City,0
Newcastle United,0,Manchester United,0
West Ham,1,Southampton,1
Manchester City,0,Liverpool,1
Nottingham Forest,0,Brighton,0
Wolverhampton,1,Crystal Palace,2
Southampton,1,Bournemouth,0
Chelsea,0,Brentford,0
West Ham,0,Liverpool,1
Everton,0,Newcastle United,1
Tottenham,0,Manchester United,2
Aston Villa,0,Fulham,3
Leicester City,0,Leeds United,2
Liverpool,0,Nottingham Forest,1
Crystal Palace,0,Everton,3
Brighton,1,Manchester City,3
Manchester United,1,Chelsea,1
Brentford,0,Aston Villa,4
Fulham,3,Leicester City,2
Arsenal,1,Southampton,1
Leeds United,4,Wolverhampton,0
Newcastle United,2,Tottenham,1
Bournemouth,0,West Ham,2
Manchester City,1,Leeds United,0
Tottenham,3,Bournemouth,2
Wolverhampton,1,Brentford,1
Chelsea,1,Brighton,4
Southampton,0,Crystal Palace,1
Aston Villa,0,Newcastle United,4
Everton,0,Fulham,0
Leicester City,2,Liverpool,1
Nottingham Forest,0,Arsenal,5
West Ham,0,Manchester United,1
Bournemouth,3,Leicester City,4
Fulham,1,Manchester City,2
Brentford,2,Nottingham Forest,2
Brighton,3,Wolverhampton,2
Leeds United,2,Everton,0
Arsenal,1,Chelsea,0
Manchester United,1,Aston Villa,3
Newcastle United,4,Southampton,1
Crystal Palace,2,West Ham,1
Liverpool,2,Tottenham,1
Brentford,2,Manchester City,1
Everton,0,Bournemouth,3
Southampton,1,Liverpool,3
Crystal Palace,0,Nottingham Forest,1
Leicester City,3,Tottenham,4
Leeds United,2,West Ham,0
Chelsea,0,Newcastle United,1
Arsenal,2,Wolverhampton,0
Aston Villa,2,Brighton,1
Manchester United,2,Fulham,1
Tottenham,2,Brentford,2
Fulham,3,Crystal Palace,0
Wolverhampton,2,Everton,1
Newcastle United,3,Leeds United,0
Brighton,3,Southampton,1
Liverpool,3,Aston Villa,1
West Ham,1,Arsenal,3
Bournemouth,0,Chelsea,2
Nottingham Forest,0,Manchester United,3
Manchester City,3,Leicester City,1
Brentford,2,West Ham,0
Leeds United,1,Liverpool,2
Manchester United,1,Wolverhampton,0
Crystal Palace,2,Bournemouth,0
Southampton,1,Fulham,2
Everton,1,Manchester City,1
Leicester City,0,Newcastle United,0
Arsenal,4,Brighton,2
Aston Villa,2,Tottenham,0
Chelsea,1,Nottingham Forest,1
Liverpool,1,Brentford,3
Newcastle United,0,Arsenal,0
Brighton,4,Everton,1
Fulham,1,Leeds United,0
Bournemouth,0,Manchester United,3
Nottingham Forest,1,Southampton,0
West Ham,2,Leicester City,2
Wolverhampton,1,Aston Villa,1
Tottenham,4,Crystal Palace,0
Manchester City,1,Chelsea,0
Chelsea,1,Fulham,2
Leicester City,1,Aston Villa,2
