name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Davinson Sánchez,Spurs,Manchester City,2021-08-15,True,DC,90,0,0.0543193370103836,0,0.0,5,1,0,2.5,0,1,0
Davinson Sánchez,Spurs,Leicester City,2021-11-21,True,Sub,22,0,0.0,0,0.0261756051331758,1,0,1,2.2,0,0,0
Davinson Sánchez,Spurs,Brentford,2021-12-02,True,DC,90,0,0.0902751311659812,0,0.0,6,1,0,1.7,0,1,0
Davinson Sánchez,Spurs,Norwich,2021-12-05,True,DC,90,1,0.5610527396202087,0,0.0,12,1,0,8.2,0,1,0
Davinson Sánchez,Spurs,Liverpool,2021-12-19,True,DC,90,0,0.0876248404383659,0,0.0,1,1,0,5.7,0,0,2
Davinson Sánchez,Spurs,Crystal Palace,2021-12-26,True,DC,90,0,0.1221064776182174,0,0.0,5,1,0,2.5,0,1,0
Davinson Sánchez,Spurs,Wolverhampton,2021-08-22,False,DC,90,0,0.0,0,0.0,8,0,0,3.6,2,1,0
Davinson Sánchez,Spurs,Southampton,2021-12-28,False,DC,90,0,0.0485415644943714,0,0.0,2,1,0,5.0,0,0,1
Davinson Sánchez,Spurs,Watford,2022-01-01,False,DC,90,1,0.6931530237197876,0,0.0,15,2,0,9.1,3,1,0
Davinson Sánchez,Spurs,Leeds United,2022-01-19,False,DC,90,0,0.1633171588182449,0,0.1461575478315353,0,1,2,6.6,0,0,2
Davinson Sánchez,Spurs,Chelsea,2022-01-23,False,DC,90,0,0.0,0,0.0,1,0,0,2.7,0,0,2
Davinson Sánchez,Spurs,Southampton,2022-02-09,True,DC,90,0,0.0,0,0.0,0,0,0,2.4,0,0,3
Davinson Sánchez,Spurs,Wolverhampton,2022-02-13,True,DC,90,0,0.0,0,0.0,1,0,0,2.4,0,0,2
Davinson Sánchez,Spurs,Manchester City,2022-02-19,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0
Davinson Sánchez,Spurs,Everton,2022-03-07,True,Sub,38,0,0.064452439546585,0,0.0,1,1,0,1.3,0,0,0
Davinson Sánchez,Spurs,Watford,2021-08-29,True,DC,90,0,0.103381872177124,0,0.0,6,2,0,2.4,0,1,0
Davinson Sánchez,Spurs,Brentford,2022-04-23,False,Sub,16,0,0.0,0,0.0,1,0,0,0.7,0,0,0
Davinson Sánchez,Spurs,Liverpool,2022-05-07,False,Sub,12,0,0.0,0,0.0,1,0,0,0.7,0,0,0
Davinson Sánchez,Spurs,Arsenal,2022-05-12,True,DC,90,0,0.0,0,0.0935622975230217,6,0,1,2.8,0,1,0
Davinson Sánchez,Spurs,Burnley,2022-05-15,True,DC,90,0,0.0160226784646511,0,0.0261019151657819,12,1,1,4.7,3,1,0
Davinson Sánchez,Spurs,Norwich,2022-05-22,False,DC,90,0,0.0,0,0.0,6,0,0,0.0,0,1,0
Davinson Sánchez,Spurs,Chelsea,2021-09-19,True,Sub,7,0,0.0,0,0.0,1,0,0,0.6,0,0,1
Davinson Sánchez,Spurs,Arsenal,2021-09-26,False,DC,90,0,0.0,0,0.0,1,0,0,1.0,0,0,3
