name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability
Kristoffer Ajer,Brentford,Arsenal,2021-08-13,True,DC,70,0,0.0,0,0.08,6,0,1,2.3,0,1,0,0.0,0.0,70.0,1.0
Kristoffer Ajer,Brentford,Crystal Palace,2021-08-21,False,DC,90,0,0.1,0,0.0,6,1,0,2.7,0,1,0,6.0,0.0,80.0,1.0
Kristoffer Ajer,Brentford,Southampton,2022-01-11,False,DC,90,0,0.0,0,0.0,0,0,0,1.4,0,0,4,6.0,0.05,83.33,0.67
Kristoffer Ajer,Brentford,Liverpool,2022-01-16,False,DC,90,0,0.0,0,0.1,0,0,1,3.2,0,0,3,4.0,0.03,85.0,0.5
Kristoffer Ajer,Brentford,Wolverhampton,2022-01-22,True,DC,90,0,0.05,0,0.0,1,1,0,3.9,0,0,2,3.0,0.03,86.0,0.4
Kristoffer Ajer,Brentford,Manchester City,2022-02-09,False,DC,90,0,0.0,0,0.0,1,0,0,1.1,0,0,2,2.6,0.03,86.67,0.33
Kristoffer Ajer,Brentford,Crystal Palace,2022-02-12,True,DC,90,0,0.0,0,0.0,6,0,0,2.2,0,1,0,1.6,0.03,87.14,0.43
Kristoffer Ajer,Brentford,Arsenal,2022-02-19,False,DC,90,0,0.0,1,0.44,5,0,1,6.1,1,0,2,1.6,0.01,87.5,0.38
Kristoffer Ajer,Brentford,Newcastle United,2022-02-26,True,DR,71,0,0.0,0,0.0,0,0,0,0.3,0,0,2,2.6,0.21,85.67,0.33
Kristoffer Ajer,Brentford,Norwich,2022-03-05,False,DR,74,0,0.0,1,0.36,9,0,1,3.9,1,1,0,2.6,0.21,84.5,0.4
Kristoffer Ajer,Brentford,Burnley,2022-03-12,True,DR,90,0,0.0,0,0.0,6,0,0,1.4,0,1,0,4.2,0.4,85.0,0.45
Kristoffer Ajer,Brentford,Aston Villa,2021-08-28,False,DC,90,0,0.0,0,0.0,2,0,0,2.2,0,0,1,5.2,0.4,85.42,0.42
Kristoffer Ajer,Brentford,Leeds United,2022-03-20,False,DR,65,0,0.0,0,0.47,1,0,1,3.0,0,0,2,4.4,0.4,83.85,0.38
Kristoffer Ajer,Brentford,Chelsea,2022-04-02,False,DC,90,0,0.12,0,0.0,2,2,0,6.6,0,0,1,3.6,0.2,84.29,0.36
Kristoffer Ajer,Brentford,West Ham,2022-04-10,True,DR,82,0,0.07,0,0.0,6,1,0,3.3,0,1,0,4.0,0.22,84.13,0.4
Kristoffer Ajer,Brentford,Watford,2022-04-16,False,DR,90,0,0.0,1,0.62,5,0,2,6.3,0,0,1,3.4,0.04,84.5,0.38
Kristoffer Ajer,Brentford,Manchester United,2022-05-02,False,DC,90,0,0.0,0,0.0,1,0,0,1.1,0,0,3,3.2,0.24,84.82,0.35
Kristoffer Ajer,Brentford,Southampton,2022-05-07,True,DR,90,1,0.65,0,0.14,14,1,1,8.4,2,1,0,3.0,0.24,85.11,0.39
Kristoffer Ajer,Brentford,Everton,2022-05-15,False,DR,58,0,0.0,0,0.0,-1,0,0,0.7,0,0,2,5.6,0.37,83.68,0.39
Kristoffer Ajer,Brentford,Leicester City,2022-05-22,True,DR,90,0,0.0,0,0.0,1,0,0,0.0,0,0,2,5.0,0.34,84.0,0.37
Kristoffer Ajer,Brentford,Brighton,2021-09-11,True,DC,90,0,0.0,0,0.0,1,0,0,1.3,0,0,1,4.0,0.33,84.29,0.35
Kristoffer Ajer,Brentford,Wolverhampton,2021-09-18,False,DC,90,0,0.0,0,0.0,7,0,0,1.8,1,1,0,3.2,0.13,84.55,0.38
Kristoffer Ajer,Brentford,Liverpool,2021-09-25,True,DC,90,0,0.0,0,0.0,1,0,0,2.8,0,0,3,4.4,0.13,84.78,0.36
Kristoffer Ajer,Brentford,Leeds United,2021-10-24,True,Sub,45,0,0.07,0,0.0,1,1,0,3.0,0,0,1,1.8,0.0,83.12,0.36
