name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability
Kurt Zouma,West Ham,Aston Villa,2021-10-31,False,DC,90,0,0.0,0,0.0,2,0,0,1.2,0,0,1,0.0,0.0,90.0,0.0
Kurt Zouma,West Ham,Liverpool,2021-11-07,True,DC,90,1,0.41,0,0.0,7,1,0,9.4,0,0,2,2.0,0.0,90.0,0.0
Kurt Zouma,West Ham,Wolverhampton,2021-11-20,False,DC,90,0,0.0,0,0.0,2,0,0,1.8,0,0,1,4.5,0.2,90.0,0.0
Kurt Zouma,West Ham,Manchester City,2021-11-28,False,DC,90,0,0.0,0,0.0,1,0,0,1.2,0,0,2,3.67,0.14,90.0,0.0
Kurt Zouma,West Ham,Brighton,2021-12-01,True,DC,90,0,0.05,0,0.0,2,1,0,3.1,0,0,1,3.0,0.1,90.0,0.0
Kurt Zouma,West Ham,Chelsea,2021-12-04,True,DC,70,0,0.0,0,0.06,1,0,1,2.7,0,0,2,2.8,0.09,86.67,0.0
Kurt Zouma,West Ham,Manchester United,2022-01-22,False,DC,90,0,0.0,0,0.02,2,0,1,3.0,0,0,1,2.6,0.09,87.14,0.0
Kurt Zouma,West Ham,Watford,2022-02-08,True,DC,90,0,0.0,0,0.0,7,0,0,2.5,1,1,0,1.6,0.01,87.5,0.12
Kurt Zouma,West Ham,Newcastle United,2022-02-19,True,DC,90,0,0.0,0,0.0,2,0,0,3.8,0,0,1,2.6,0.01,87.78,0.11
Kurt Zouma,West Ham,Wolverhampton,2022-02-27,True,DC,90,0,0.11,0,0.0,8,1,0,4.8,2,1,0,2.8,0.01,88.0,0.2
Kurt Zouma,West Ham,Liverpool,2022-03-05,False,DC,90,0,0.0,0,0.0,2,0,0,3.1,0,0,1,4.0,0.02,88.18,0.18
Kurt Zouma,West Ham,Aston Villa,2022-03-13,True,DC,90,0,0.11,0,0.0,2,1,0,5.8,0,0,1,4.2,0.02,88.33,0.17
Kurt Zouma,West Ham,Tottenham,2022-03-20,False,DC,90,0,0.0,0,0.0,-1,0,0,0.2,0,0,3,4.2,0.04,88.46,0.15
Kurt Zouma,West Ham,Everton,2022-04-03,True,DC,90,0,0.0,0,0.0,2,0,0,2.4,0,0,1,2.6,0.04,88.57,0.14
Kurt Zouma,West Ham,Brentford,2022-04-10,False,DC,28,0,0.0,0,0.0,1,0,0,0.7,0,0,0,2.6,0.04,84.53,0.14
Kurt Zouma,West Ham,Arsenal,2022-05-01,True,DC,90,0,0.07,0,0.0,1,1,0,2.8,0,0,2,1.2,0.02,84.88,0.13
Kurt Zouma,West Ham,Norwich,2022-05-08,False,DC,90,0,0.0,0,0.0,6,0,0,2.4,0,1,0,1.0,0.03,85.18,0.19
Kurt Zouma,West Ham,Manchester City,2022-05-15,True,DC,90,0,0.0,0,0.0,1,0,0,3.3,0,0,2,1.8,0.01,85.44,0.18
Kurt Zouma,West Ham,Brighton,2022-05-22,False,DC,90,0,0.0,0,0.0,1,0,0,0.0,0,0,3,2.2,0.01,85.68,0.17
Kurt Zouma,West Ham,Manchester United,2021-09-19,True,DC,90,0,0.0,0,0.0,1,0,0,3.1,0,0,2,2.0,0.01,85.9,0.16
Kurt Zouma,West Ham,Leicester City,2021-09-25,False,DC,90,0,0.0,0,0.0,2,0,0,2.6,0,0,1,2.0,0.01,86.1,0.15
Kurt Zouma,West Ham,Brentford,2021-10-03,True,DC,90,0,0.07,0,0.0,0,1,0,1.9,0,0,2,2.2,0.0,86.27,0.14
Kurt Zouma,West Ham,Everton,2021-10-17,False,DC,90,0,0.0,0,0.0,8,0,0,2.4,2,1,0,1.0,0.01,86.43,0.18
Kurt Zouma,West Ham,Tottenham,2021-10-24,True,DC,90,0,0.0,0,0.0,6,0,0,2.0,0,1,0,2.4,0.01,86.58,0.22
