name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability
Pablo Marí,Arsenal,Brentford,2021-08-13,False,DC,90,0.0,0.03,0.0,0.0,1,1.0,0.0,2.5,0,0,2,0.0,0.0,90.0,0.0
Pablo Marí,Arsenal,Leeds United,,False,,0,,,,,0,,,0.0,0,0,0,1.0,0.03,45.0,0.0
Pablo Marí,Arsenal,Watford,,True,,0,,,,,0,,,0.0,0,0,0,0.5,0.02,30.0,0.0
Pablo Marí,Arsenal,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,0.33,0.01,22.5,0.0
Pablo Marí,Arsenal,Newcastle United,,True,,0,,,,,0,,,0.0,0,0,0,0.25,0.01,18.0,0.0
Pablo Marí,Arsenal,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.2,0.01,15.0,0.0
Pablo Marí,Arsenal,Everton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,12.86,0.0
Pablo Marí,Arsenal,Southampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,11.25,0.0
Pablo Marí,Arsenal,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,10.0,0.0
Pablo Marí,Arsenal,Leicester City,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,9.0,0.0
Pablo Marí,Arsenal,Norwich,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,8.18,0.0
Pablo Marí,Arsenal,Chelsea,2021-08-22,True,DC,90,0.0,0.0,0.0,0.43,0,0.0,1.0,5.4,0,0,2,0.0,0.0,15.0,0.0
Pablo Marí,Arsenal,Manchester City,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,13.85,0.0
Pablo Marí,Arsenal,Burnley,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,12.86,0.0
Pablo Marí,Arsenal,Wolverhampton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,12.0,0.0
Pablo Marí,Arsenal,Brentford,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,11.25,0.0
Pablo Marí,Arsenal,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,10.59,0.0
Pablo Marí,Arsenal,Watford,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,10.0,0.0
Pablo Marí,Arsenal,Leeds United,2022-03-13,True,DC,0,0.0,0.03,0.0,0.0,0,2.0,0.0,0.0,0,0,0,0.0,0.0,9.47,0.0
Pablo Marí,Arsenal,Liverpool,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.01,9.0,0.0
Pablo Marí,Arsenal,Manchester City,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.01,8.57,0.0
Pablo Marí,Arsenal,Aston Villa,2022-03-19,False,DC,0,0.0,0.02,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.01,8.18,0.0
Pablo Marí,Arsenal,Crystal Palace,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.01,7.83,0.0
Pablo Marí,Arsenal,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.01,7.5,0.0
Pablo Marí,Arsenal,Southampton,2022-04-16,False,DC,0,0.0,0.0,0.0,0.14,0,0.0,1.0,0.0,0,0,0,0.0,0.0,7.2,0.0
Pablo Marí,Arsenal,Chelsea,2022-04-20,False,DC,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,6.92,0.0
Pablo Marí,Arsenal,Manchester United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,6.67,0.0
Pablo Marí,Arsenal,West Ham,2022-05-01,False,DC,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,6.43,0.0
Pablo Marí,Arsenal,Leicester City,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,6.21,0.0
Pablo Marí,Arsenal,Tottenham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,6.0,0.0
Pablo Marí,Arsenal,Newcastle United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.81,0.0
Pablo Marí,Arsenal,Everton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.62,0.0
Pablo Marí,Arsenal,Norwich,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.45,0.0
Pablo Marí,Arsenal,Burnley,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.29,0.0
Pablo Marí,Arsenal,Tottenham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.14,0.0
Pablo Marí,Arsenal,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,5.0,0.0
Pablo Marí,Arsenal,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,4.86,0.0
Pablo Marí,Arsenal,Aston Villa,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,4.74,0.0
