name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability
Sergio Reguilón,Spurs,Manchester City,2021-08-15,True,DL,90,0,0.0,0,0.04,7,0,2,3.8,1,1,0,0.0,0.0,90.0,1.0
Sergio Reguilón,Spurs,Everton,2021-11-07,False,DML,70,0,0.38,0,0.11,5,2,1,4.7,0,1,0,7.0,0.0,80.0,1.0
Sergio Reguilón,Spurs,Leicester City,2021-11-21,True,DML,78,1,0.74,0,0.12,9,2,1,12.3,1,0,1,6.0,0.19,79.33,0.67
Sergio Reguilón,Spurs,Brentford,2021-12-02,True,DML,90,0,0.07,1,0.84,12,1,2,6.3,3,1,0,7.0,0.37,82.0,0.75
Sergio Reguilón,Spurs,Norwich,2021-12-05,True,DML,21,0,0.0,0,0.0,0,0,0,0.2,0,0,0,8.25,0.55,69.8,0.75
Sergio Reguilón,Spurs,Liverpool,2021-12-19,True,Sub,4,0,0.0,0,0.0,1,0,0,0.0,0,0,0,6.6,0.44,58.83,0.75
Sergio Reguilón,Spurs,Crystal Palace,2021-12-26,True,DML,90,0,0.05,0,0.55,7,1,3,11.6,1,1,0,5.4,0.44,63.29,0.8
Sergio Reguilón,Spurs,Wolverhampton,2021-08-22,False,DL,90,0,0.0,0,0.0,6,0,0,2.4,0,1,0,5.8,0.37,66.62,0.83
Sergio Reguilón,Spurs,Southampton,2021-12-28,False,DML,45,0,0.0,0,0.0,0,0,0,0.4,0,0,1,5.2,0.22,64.22,0.83
Sergio Reguilón,Spurs,Watford,2022-01-01,False,DML,82,0,0.13,0,0.02,6,2,1,6.1,0,1,0,2.8,0.01,66.0,0.86
Sergio Reguilón,Spurs,Leeds United,2022-01-19,False,DL,78,0,0.11,0,0.24,1,2,3,9.9,0,0,2,4.0,0.04,67.09,0.75
Sergio Reguilón,Spurs,Southampton,2022-02-09,True,DML,82,0,0.46,0,0.71,1,2,2,10.6,0,0,3,4.0,0.06,68.33,0.67
Sergio Reguilón,Spurs,Everton,2022-03-07,True,Sub,45,1,0.5,0,0.09,7,1,2,8.7,0,0,0,2.8,0.14,66.54,0.67
Sergio Reguilón,Spurs,Manchester United,2022-03-12,False,DML,90,0,0.0,0,0.07,4,0,1,3.6,0,0,3,3.0,0.24,68.21,0.6
Sergio Reguilón,Spurs,Brighton,2022-03-16,False,DML,90,0,0.28,0,0.07,5,2,1,7.0,0,1,0,3.8,0.24,69.67,0.64
Sergio Reguilón,Spurs,Watford,2021-08-29,True,DL,90,0,0.02,0,0.04,9,1,1,4.1,3,1,0,3.6,0.27,70.94,0.67
Sergio Reguilón,Spurs,West Ham,2022-03-20,True,DML,87,0,0.18,0,0.05,2,3,2,5.6,0,0,1,5.2,0.25,71.88,0.62
Sergio Reguilón,Spurs,Aston Villa,2022-04-09,False,Sub,69,0,0.05,0,0.0,6,1,0,3.3,0,1,0,5.4,0.19,71.72,0.64
Sergio Reguilón,Spurs,Brighton,2022-04-16,True,DML,90,0,0.0,0,0.0,2,0,0,0.8,0,0,1,5.2,0.1,72.68,0.6
Sergio Reguilón,Spurs,Crystal Palace,2021-09-11,False,DL,90,0,0.0,0,0.03,1,0,1,4.3,0,0,3,4.8,0.1,73.55,0.56
Sergio Reguilón,Spurs,Chelsea,2021-09-19,True,DL,90,0,0.0,0,0.0,1,0,0,2.9,0,0,3,4.0,0.05,74.33,0.53
Sergio Reguilón,Spurs,Arsenal,2021-09-26,False,DL,90,0,0.0,1,0.34,4,0,2,6.9,0,0,3,2.4,0.05,75.05,0.5
Sergio Reguilón,Spurs,Aston Villa,2021-10-03,True,DL,90,0,0.0,0,0.0,2,0,0,4.0,0,0,1,2.8,0.21,75.7,0.47
Sergio Reguilón,Spurs,Newcastle United,2021-10-17,False,DL,90,0,0.0,1,0.07,4,0,1,4.2,0,0,2,2.0,0.2,76.29,0.45
Sergio Reguilón,Spurs,West Ham,2021-10-24,False,DL,83,0,0.02,0,0.14,2,1,2,5.6,0,0,1,2.4,0.4,76.56,0.43
