name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game
Jay Rodriguez,Burnley,Brighton,2021-08-14,True,FW,69,0,0.09,0,0.0,2,1,0,2.6,0,0.0,0.0,69.0
Jay Rodriguez,Burnley,Chelsea,2021-11-06,False,Sub,29,0,0.04,1,0.5,4,1,1,3.3,0,2.0,0.09,49.0
Jay Rodriguez,Burnley,Crystal Palace,2021-11-20,True,Sub,11,0,0.0,0,0.0,1,0,0,0.1,0,3.0,0.57,36.33
Jay Rodriguez,Burnley,Wolverhampton,2021-12-01,False,Sub,31,0,0.03,0,0.05,0,1,1,1.4,0,2.33,0.38,35.0
Jay Rodriguez,Burnley,Newcastle United,2021-12-04,False,Sub,10,0,0.0,0,0.0,1,0,0,0.1,0,1.75,0.29,30.0
Jay Rodriguez,Burnley,West Ham,2021-12-12,True,FW,90,0,0.32,0,0.06,2,3,1,4.4,0,1.6,0.23,40.0
Jay Rodriguez,Burnley,Liverpool,2021-08-21,False,Sub,15,0,0.09,0,0.32,1,1,1,3.2,0,1.6,0.28,36.43
Jay Rodriguez,Burnley,Leicester City,2022-01-02,False,Sub,10,0,0.0,0,0.0,1,0,0,0.0,0,1.0,0.09,33.12
Jay Rodriguez,Burnley,Arsenal,2022-01-23,False,FW,82,0,0.01,0,0.02,2,1,1,2.5,0,1.0,0.09,38.56
Jay Rodriguez,Burnley,Watford,2022-02-05,True,Sub,24,0,0.03,0,0.04,1,1,1,1.3,0,1.4,0.09,37.1
Jay Rodriguez,Burnley,Manchester United,2022-02-08,True,FW,87,1,0.52,0,0.0,9,1,0,6.2,3,1.4,0.09,41.64
Jay Rodriguez,Burnley,Liverpool,2022-02-13,True,FW,61,0,0.48,0,0.43,2,1,1,3.7,0,2.8,0.13,43.25
Jay Rodriguez,Burnley,Brighton,2022-02-19,False,Sub,35,0,0.06,1,0.37,4,2,2,5.0,0,3.0,0.21,42.62
Jay Rodriguez,Burnley,Tottenham,2022-02-23,True,FW,90,0,1.08,0,0.0,2,3,0,5.3,0,3.6,0.42,46.0
Jay Rodriguez,Burnley,Crystal Palace,2022-02-26,False,FW,87,0,0.0,0,0.0,2,0,0,0.1,0,3.6,0.63,48.73
Jay Rodriguez,Burnley,Leeds United,2022-03-01,True,Sub,19,0,0.06,0,0.0,1,1,0,0.3,0,3.8,0.63,46.88
Jay Rodriguez,Burnley,Chelsea,2022-03-05,True,FW,62,0,0.02,0,0.0,2,1,0,1.2,0,2.2,0.53,47.76
Jay Rodriguez,Burnley,Brentford,2022-03-12,False,Sub,23,0,0.01,0,0.0,1,1,0,0.2,0,2.2,0.44,46.39
Jay Rodriguez,Burnley,Manchester City,2022-04-02,True,Sub,19,0,0.03,0,0.0,1,1,0,0.8,0,1.6,0.23,44.95
Jay Rodriguez,Burnley,Everton,2022-04-06,True,FW,90,1,0.83,0,0.04,7,2,1,11.4,1,1.4,0.02,47.2
Jay Rodriguez,Burnley,Norwich,2022-04-10,False,FW,83,0,0.19,0,0.06,2,3,1,4.6,0,2.4,0.19,48.9
Jay Rodriguez,Burnley,West Ham,2022-04-17,False,FW,90,0,0.32,0,0.0,5,3,0,4.4,0,2.6,0.22,50.77
Jay Rodriguez,Burnley,Southampton,2022-04-21,True,FW,90,0,0.35,0,0.02,2,4,1,7.9,0,3.2,0.28,52.48
Jay Rodriguez,Burnley,Wolverhampton,2022-04-24,True,ML,63,0,0.03,0,0.0,2,1,0,0.7,0,3.4,0.34,52.92
Jay Rodriguez,Burnley,Everton,2021-09-13,False,Sub,4,0,0.05,0,0.0,1,2,0,1.0,0,3.6,0.34,50.96
Jay Rodriguez,Burnley,Arsenal,2021-09-18,True,Sub,8,0,0.06,0,0.0,1,1,0,0.2,0,2.4,0.19,49.31
Jay Rodriguez,Burnley,Norwich,2021-10-02,True,Sub,55,0,0.11,0,0.0,0,3,0,4.8,0,2.2,0.16,49.52
Jay Rodriguez,Burnley,Manchester City,2021-10-16,False,Sub,8,0,0.0,0,0.0,1,0,0,0.0,0,1.2,0.12,48.04
Jay Rodriguez,Burnley,Southampton,2021-10-23,False,Sub,20,0,0.05,0,0.0,0,2,0,1.7,0,1.0,0.05,47.07
