name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Anthony Gordon,Everton,Southampton,2021-08-14,True,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0,0.0,0.0,1.0
Anthony Gordon,Everton,Wolverhampton,2021-11-01,False,Sub,12,0.0,0.05,0.0,0.0,1,1.0,0.0,4.7,0,0,0,1.0,0.0,6.5
Anthony Gordon,Everton,Tottenham,2021-11-07,True,MR,90,0.0,0.08,0.0,0.12,3,2.0,1.0,5.0,0,1,0,1.0,0.03,34.33
Anthony Gordon,Everton,Manchester City,2021-11-21,False,MR,90,0.0,0.07,0.0,0.0,2,1.0,0.0,3.9,0,0,3,1.67,0.04,48.25
Anthony Gordon,Everton,Brentford,2021-11-28,False,ML,90,0.0,0.05,0.0,0.0,2,1.0,0.0,4.4,0,0,1,1.75,0.05,56.6
Anthony Gordon,Everton,Liverpool,2021-12-01,True,Sub,31,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,2,1.8,0.05,52.33
Anthony Gordon,Everton,Arsenal,2021-12-06,True,MR,86,0.0,0.08,0.0,0.0,2,1.0,0.0,2.9,0,0,1,1.8,0.05,57.14
Anthony Gordon,Everton,Crystal Palace,2021-12-12,False,Sub,32,0.0,0.31,0.0,0.0,1,1.0,0.0,2.1,0,0,2,2.0,0.05,54.0
Anthony Gordon,Everton,Chelsea,2021-12-16,False,ML,90,0.0,0.01,1.0,0.56,5,1.0,1.0,5.6,0,0,1,1.6,0.1,58.0
Anthony Gordon,Everton,Leicester City,,False,,0,,,,,0,,,0.0,0,0,0,2.2,0.29,52.2
Anthony Gordon,Everton,Brighton,2022-01-02,True,MR,90,2.0,0.28,0.0,0.03,14,5.0,1.0,14.8,2,0,3,1.8,0.28,55.64
Anthony Gordon,Everton,Norwich,2022-01-15,False,MR,90,0.0,0.11,0.0,0.04,2,1.0,1.0,4.7,0,0,2,4.4,0.34,58.5
Anthony Gordon,Everton,Aston Villa,2022-01-22,True,Sub,34,0.0,0.05,0.0,0.66,1,1.0,4.0,8.2,0,0,0,4.4,0.34,56.62
Anthony Gordon,Everton,Newcastle United,2022-02-08,False,AMC,90,0.0,0.05,0.0,0.04,2,2.0,1.0,5.0,0,0,3,4.4,0.29,59.0
Anthony Gordon,Everton,Leicester City,2022-02-12,True,MR,80,1.0,0.54,1.0,0.09,14,5.0,2.0,17.2,3,1,0,3.8,0.1,60.4
Anthony Gordon,Everton,Southampton,2022-02-19,False,ML,74,0.0,0.0,0.0,0.02,2,0.0,1.0,3.2,0,0,1,6.6,0.41,61.25
Anthony Gordon,Everton,Manchester City,2022-02-26,True,AML,76,0.0,0.15,0.0,0.0,3,3.0,0.0,1.6,0,1,0,4.2,0.35,62.12
Anthony Gordon,Everton,Tottenham,2022-03-07,False,DMR,90,0.0,0.04,0.0,0.06,2,1.0,2.0,6.1,0,0,5,4.4,0.36,63.67
Anthony Gordon,Everton,Wolverhampton,2022-03-13,True,FWR,90,0.0,0.0,0.0,0.09,2,0.0,2.0,3.0,0,0,1,4.6,0.36,65.05
Anthony Gordon,Everton,Newcastle United,2022-03-17,True,AMC,90,0.0,0.11,0.0,0.04,2,2.0,1.0,4.5,0,1,0,4.6,0.35,66.3
Anthony Gordon,Everton,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,2.2,0.06,63.14
Anthony Gordon,Everton,West Ham,2022-04-03,False,Sub,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0,1.8,0.06,60.82
Anthony Gordon,Everton,Burnley,2022-04-06,False,FWR,72,0.0,0.18,0.0,0.11,5,3.0,2.0,9.4,0,0,2,1.4,0.03,61.3
Anthony Gordon,Everton,Manchester United,2022-04-09,True,FWR,90,1.0,0.14,0.0,0.12,10,2.0,2.0,10.1,3,1,0,2.0,0.06,62.5
Anthony Gordon,Everton,Leeds United,2022-04-20,True,FWR,90,0.0,0.0,0.0,1.13,3,0.0,4.0,7.4,1,0,1,3.6,0.09,63.6
Anthony Gordon,Everton,Liverpool,2022-04-24,False,FWL,90,0.0,0.04,0.0,0.0,1,1.0,0.0,1.6,0,0,2,3.8,0.06,64.62
Anthony Gordon,Everton,Chelsea,2022-05-01,True,MR,90,0.0,0.19,0.0,0.0,3,3.0,0.0,3.6,0,1,0,4.0,0.07,65.56
Anthony Gordon,Everton,Leeds United,2022-05-08,False,MR,90,0.0,0.12,0.0,0.17,2,1.0,2.0,5.3,0,0,1,4.4,0.11,66.43
Anthony Gordon,Everton,Watford,2022-05-11,False,MR,90,0.0,0.11,0.0,0.0,3,2.0,0.0,3.7,0,1,0,3.8,0.1,67.24
Anthony Gordon,Everton,Brentford,2022-05-15,True,FWR,71,0.0,0.36,0.0,0.09,2,1.0,2.0,6.0,0,0,3,2.4,0.09,67.37
Anthony Gordon,Everton,Crystal Palace,2022-05-19,True,AMC,60,0.0,0.0,0.0,0.06,2,0.0,2.0,4.1,0,0,2,2.2,0.16,67.13
Anthony Gordon,Everton,Arsenal,2022-05-22,False,Sub,23,0.0,0.0,0.0,0.02,1,0.0,1.0,0.0,0,0,1,2.4,0.16,65.75
