name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Curtis Jones,Liverpool,Brighton,2021-10-30,True,MC,86,0,0.0,0,0.0,2,0,0,1.8,0,0,2,0.0,0.0,86.0
Curtis Jones,Liverpool,Chelsea,2022-01-02,False,Sub,1,0,0.0,0,0.0,1,0,0,0.1,0,0,0,2.0,0.0,43.5
Curtis Jones,Liverpool,Brentford,2022-01-16,True,MC,90,0,0.07,0,0.0,3,2,0,3.6,0,1,0,1.5,0.0,59.0
Curtis Jones,Liverpool,Crystal Palace,2022-01-23,False,MC,90,0,0.0,0,0.09,2,0,3,3.8,0,0,1,2.0,0.02,66.75
Curtis Jones,Liverpool,Leeds United,2022-02-10,True,MC,58,0,0.01,0,0.07,1,1,1,3.3,0,0,0,2.0,0.02,65.0
Curtis Jones,Liverpool,Leicester City,2022-02-23,True,MC,76,0,0.24,0,0.13,3,4,1,8.2,0,1,0,1.8,0.02,66.83
Curtis Jones,Liverpool,West Ham,2022-03-05,True,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,2.0,0.06,57.43
Curtis Jones,Liverpool,Arsenal,2022-03-16,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,2.0,0.06,50.38
Curtis Jones,Liverpool,Watford,2022-04-02,True,MC,61,0,0.04,0,0.13,3,2,3,4.5,0,1,0,1.6,0.05,51.56
Curtis Jones,Liverpool,Aston Villa,2022-05-10,False,MC,61,0,0.06,0,0.0,2,2,0,2.1,0,0,1,1.8,0.06,52.5
Curtis Jones,Liverpool,Southampton,2022-05-17,False,MC,90,0,0.14,0,0.07,2,3,1,4.4,0,0,1,2.0,0.07,55.91
Curtis Jones,Liverpool,Crystal Palace,2021-09-18,True,Sub,14,0,0.03,0,0.0,1,1,0,1.0,0,0,0,1.8,0.05,52.42
Curtis Jones,Liverpool,Brentford,2021-09-25,False,MC,67,1,0.09,0,0.0,8,4,0,9.7,1,0,2,1.8,0.05,53.54
Curtis Jones,Liverpool,Manchester City,2021-10-03,True,MC,90,0,0.0,1,0.16,7,0,1,3.6,2,0,2,3.2,0.07,56.14
Curtis Jones,Liverpool,Manchester United,2021-10-24,False,Sub,63,0,0.15,0,0.03,3,1,1,4.7,0,1,0,4.0,0.26,56.6
