name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Przemyslaw Placheta,Norwich,Leicester City,2021-10-31,True,Sub,2,0,0.0,0,0.0,1,0,0,0.2,0,0,0,0.0,0.0,2.0
Przemyslaw Placheta,Norwich,Manchester United,2021-12-11,True,FWR,69,0,0.05,0,0.0,3,1,0,3.7,0,1,0,1.0,0.0,35.5
Przemyslaw Placheta,Norwich,Aston Villa,2021-12-14,True,FWR,74,0,0.0,0,0.02,2,0,1,3.5,0,0,1,2.0,0.03,48.33
Przemyslaw Placheta,Norwich,Arsenal,2021-12-26,True,ML,74,0,0.1,0,0.0,1,2,0,4.3,0,0,3,2.0,0.02,54.75
Przemyslaw Placheta,Norwich,Crystal Palace,2021-12-28,False,AMR,80,0,0.16,0,0.05,2,3,1,7.8,0,0,3,1.75,0.04,59.8
Przemyslaw Placheta,Norwich,West Ham,2022-01-12,False,AMR,64,0,0.01,0,0.0,2,1,0,1.7,0,0,1,1.8,0.06,60.5
Przemyslaw Placheta,Norwich,Watford,2022-01-21,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,2.0,0.07,52.0
Przemyslaw Placheta,Norwich,Crystal Palace,2022-02-09,True,MR,63,0,0.0,0,0.0,2,0,0,0.4,0,0,1,1.6,0.06,53.38
Przemyslaw Placheta,Norwich,Liverpool,2022-02-19,False,Sub,14,0,0.0,0,0.0,1,0,0,0.1,0,0,1,1.6,0.06,49.0
Przemyslaw Placheta,Norwich,Manchester United,2022-04-16,False,Sub,16,0,0.0,0,0.0,1,0,0,0.6,0,0,1,1.6,0.04,45.7
Przemyslaw Placheta,Norwich,West Ham,2022-05-08,True,Sub,19,0,0.07,0,0.52,1,1,2,5.2,0,0,0,1.4,0.0,43.27
Przemyslaw Placheta,Norwich,Leeds United,2022-05-11,False,Sub,23,0,0.0,0,0.0,1,0,0,0.4,0,0,1,1.2,0.01,41.58
