name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Vladimir Coufal,West Ham,Manchester City,2022-08-07,True,DR,90,0.0,0.0,0.0,0.02,1,0.0,1.0,2.6,0,0,2,0.0,False,0.0,0.0,90.0,0.0,0,0,0,0,0.0,West Ham,True,Fulham,
Vladimir Coufal,West Ham,Fulham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,45.0,0.0,0,0,0,0,1.0,West Ham,False,Southampton,0.96
Vladimir Coufal,West Ham,Southampton,2022-10-16,False,DMR,90,0.0,0.0,0.0,0.14,1,0.0,3.0,6.4,0,0,1,0.0,False,0.5,0.0,60.0,0.0,0,0,0,0,0.0,West Ham,False,Liverpool,0.66
Vladimir Coufal,West Ham,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.67,0.0,45.0,0.0,0,0,0,0,4.0,West Ham,True,Bournemouth,
Vladimir Coufal,West Ham,Bournemouth,2022-10-24,True,Sub,2,0.0,0.0,0.0,0.0,4,0.0,0.0,0.1,0,0,0,0.0,False,0.5,0.0,36.4,0.0,0,0,0,0,0.0,West Ham,False,Manchester United,2.8
Vladimir Coufal,West Ham,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,30.33,0.0,0,0,0,0,0.0,West Ham,True,Crystal Palace,2.25
Vladimir Coufal,West Ham,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,26.0,0.0,0,0,0,0,0.0,West Ham,True,Leeds United,-5.24
Vladimir Coufal,West Ham,Leeds United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,22.75,0.0,0,0,0,0,0.0,West Ham,False,Arsenal,4.81
Vladimir Coufal,West Ham,Arsenal,2022-12-26,False,DR,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,3,2.1,True,0.8,0.0,30.22,0.0,0,0,0,0,0.0,West Ham,True,Brentford,3.83
Vladimir Coufal,West Ham,Brentford,2022-12-30,True,DMR,90,0.0,0.0,0.0,0.15,0,0.0,3.0,6.6,0,0,2,1.63,True,0.8,0.0,36.2,0.0,0,0,0,0,2.0,West Ham,False,Leicester City,-1.82
Vladimir Coufal,West Ham,Leicester City,2023-01-04,False,DR,67,0.0,0.01,0.0,0.0,2,1.0,0.0,2.3,0,0,1,0.8,True,0.0,0.0,39.0,0.0,0,0,0,0,2.0,West Ham,False,Nottingham Forest,
Vladimir Coufal,West Ham,Nottingham Forest,2022-08-14,False,DR,90,0.0,0.05,0.0,0.0,2,2.0,0.0,1.6,0,0,1,0.0,False,0.4,0.0,43.25,0.0,0,0,0,0,2.0,West Ham,False,Wolverhampton,4.02
Vladimir Coufal,West Ham,Wolverhampton,2023-01-14,False,DR,90,0.0,0.11,0.0,0.11,2,2.0,2.0,5.4,0,0,1,0.84,True,0.8,0.01,46.85,0.0,0,0,0,0,6.0,West Ham,True,Everton,-1.75
Vladimir Coufal,West Ham,Everton,2023-01-21,True,DMR,90,0.0,0.0,0.0,0.0,6,0.0,0.0,2.0,0,1,0,0.67,True,1.2,0.03,49.93,0.12,0,0,0,0,2.0,West Ham,False,Newcastle United,-0.75
Vladimir Coufal,West Ham,Newcastle United,2023-02-04,False,DMR,90,0.0,0.0,0.0,0.29,2,0.0,1.0,4.2,0,0,1,0.82,True,2.4,0.03,52.6,0.11,0,0,0,0,1.0,West Ham,True,Chelsea,-1.67
Vladimir Coufal,West Ham,Chelsea,2023-02-11,True,DMR,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.1,0,0,1,1.15,True,2.8,0.03,54.94,0.1,0,0,0,0,1.0,West Ham,False,Tottenham,5.86
