name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts
Brennan Johnson,Nott'm Forest,Newcastle United,2022-08-06,False,FW,90,0,0.0,0,0.0,2,0,0,0.6,0,False
Brennan Johnson,Nott'm Forest,Aston Villa,2022-10-10,True,FWR,90,0,0.0346329994499683,0,0.0334399007260799,2,1,1,3.0,0,False
Brennan Johnson,Nott'm Forest,Wolverhampton,2022-10-15,False,FWR,90,0,0.7980509996414185,0,0.0,0,2,0,4.5,0,False
Brennan Johnson,Nott'm Forest,Brighton,2022-10-18,False,FW,85,0,0.1068900004029274,0,0.0,2,1,0,0.3,0,False
Brennan Johnson,Nott'm Forest,Liverpool,2022-10-22,True,Sub,26,0,0.5581650137901306,0,0.0,1,1,0,2.0,0,False
Brennan Johnson,Nott'm Forest,Arsenal,2022-10-30,False,Sub,34,0,0.0,0,0.0,1,0,0,0.0,0,False
Brennan Johnson,Nott'm Forest,Brentford,2022-11-05,True,FW,90,0,0.4037860035896301,0,0.0918515026569366,2,2,1,6.1,0,False
Brennan Johnson,Nott'm Forest,Crystal Palace,2022-11-12,True,FWR,90,0,0.1489190012216568,0,0.1254120022058487,5,2,1,4.5,0,True
Brennan Johnson,Nott'm Forest,Manchester United,2022-12-27,False,FWR,90,0,0.1378650069236755,0,0.0,2,1,0,3.9,0,True
Brennan Johnson,Nott'm Forest,Chelsea,2023-01-01,True,FWR,81,0,0.3524709939956665,0,0.0849075019359588,2,4,1,7.0,0,True
Brennan Johnson,Nott'm Forest,Southampton,2023-01-04,False,FW,83,0,0.3810290098190307,1,0.689507007598877,4,1,3,6.5,0,True
Brennan Johnson,Nott'm Forest,West Ham,2022-08-14,True,FW,90,0,0.1107209995388984,0,0.574491024017334,1,2,1,3.3,0,False
Brennan Johnson,Nott'm Forest,Leeds United,2023-01-14,True,FW,85,2,0.6318420171737671,0,0.0090555995702743,12,2,1,11.6,3,True
Brennan Johnson,Nott'm Forest,Bournemouth,2023-01-21,False,FW,90,0,0.2533699870109558,1,0.7816100120544434,5,5,2,9.5,0,True
Brennan Johnson,Nott'm Forest,Leicester City,2023-02-05,True,FW,90,1,0.0531013011932373,0,0.1458429992198944,9,1,2,8.8,3,True
Brennan Johnson,Nott'm Forest,Fulham,2023-02-11,False,AMR,90,0,0.019352700561285,0,0.0927691981196403,2,1,1,2.4,0,True
Brennan Johnson,Nott'm Forest,Manchester City,2023-02-18,True,FW,90,0,0.1905850023031234,0,0.0227594003081321,2,2,1,3.0,0,True
Brennan Johnson,Nott'm Forest,West Ham,2023-02-25,False,AMC,85,0,0.0628696978092193,0,0.0588545985519886,2,1,2,3.5,0,True
Brennan Johnson,Nott'm Forest,Everton,2023-03-05,True,AMC,90,2,0.5961660146713257,0,0.0,13,4,0,13.8,3,True
Brennan Johnson,Nott'm Forest,Tottenham,2023-03-11,False,FW,66,0,0.054831501096487,0,0.0267079006880521,2,1,1,5.4,0,True
Brennan Johnson,Nott'm Forest,Newcastle United,2023-03-17,True,AMR,90,0,0.1572449952363968,0,0.0,2,2,0,3.7,0,True
Brennan Johnson,Nott'm Forest,Wolverhampton,2023-04-01,True,AMC,90,1,0.3557290136814117,0,0.0,7,5,0,10.0,2,True
Brennan Johnson,Nott'm Forest,Leicester City,2023-04-04,False,AMC,90,0,0.0,0,0.0469336993992328,1,0,1,1.8,0,True
Brennan Johnson,Nott'm Forest,Everton,2022-08-20,False,FW,90,1,0.3309859931468963,0,0.0701247975230217,9,2,1,7.6,3,False
Brennan Johnson,Nott'm Forest,Aston Villa,2023-04-08,False,FW,90,0,0.0,0,0.0,2,0,0,0.2,0,True
Brennan Johnson,Nott'm Forest,Manchester United,2023-04-16,True,FW,90,0,0.0,0,0.0,2,0,0,0.3,0,True
Brennan Johnson,Nott'm Forest,Liverpool,2023-04-22,False,Sub,14,0,0.3836882412433624,0,0.0224025435745716,1,2,1,2.2,0,False
Brennan Johnson,Nott'm Forest,Brighton,2023-04-26,True,AMC,85,0,0.9791587591171264,0,0.1585510224103927,0,2,2,6.2,0,True
Brennan Johnson,Nott'm Forest,Brentford,2023-04-29,False,AMC,65,0,0.0,0,0.2653422355651855,2,0,1,2.6,0,True
Brennan Johnson,Nott'm Forest,Southampton,2023-05-08,True,FWR,80,0,0.0724999830126762,1,0.1188240051269531,8,1,1,4.9,0,True
Brennan Johnson,Nott'm Forest,Chelsea,2023-05-13,False,Sub,9,0,0.0,0,0.0,1,0,0,0.0,0,False
Brennan Johnson,Nott'm Forest,Arsenal,2023-05-20,True,Sub,11,0,0.0,0,0.0,1,0,0,0.0,0,False
Brennan Johnson,Nott'm Forest,Crystal Palace,2023-05-28,False,AMC,90,0,0.0269482098519802,0,0.0,2,1,0,0.0,0,True
Brennan Johnson,Nott'm Forest,Tottenham,2022-08-28,True,AMC,90,0,0.1087929978966713,0,0.0,1,2,0,3.1,0,False
Brennan Johnson,Nott'm Forest,Manchester City,2022-08-31,False,FW,57,0,0.0607552006840705,0,0.0,1,1,0,0.0,0,False
Brennan Johnson,Nott'm Forest,Bournemouth,2022-09-03,True,FW,84,1,0.8096299767494202,0,0.1364330053329467,7,2,1,8.7,1,False
Brennan Johnson,Nott'm Forest,Fulham,2022-09-16,True,FW,90,0,0.0,0,0.0770971998572349,2,0,1,1.5,0,False
Brennan Johnson,Nott'm Forest,Leeds United,2022-10-03,False,AMR,90,0,0.0864368006587028,0,0.1103790029883384,2,1,1,4.9,0,False
