name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty,saves_per_game,last_season_total_saves
George Shelvey,Nott'm Forest,Tottenham,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Newcastle United,0.52,0.0,0
George Shelvey,Nott'm Forest,Newcastle United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Wolverhampton,-0.63,0.0,0
George Shelvey,Nott'm Forest,Wolverhampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Leicester City,1.63,0.0,0
George Shelvey,Nott'm Forest,Leicester City,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Aston Villa,2.52,0.0,0
George Shelvey,Nott'm Forest,Aston Villa,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Manchester United,0.67,0.0,0
George Shelvey,Nott'm Forest,Manchester United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Liverpool,2.76,0.0,0
George Shelvey,Nott'm Forest,Liverpool,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Brighton,-1.91,0.0,0
George Shelvey,Nott'm Forest,Brighton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Brentford,1.33,0.0,0
George Shelvey,Nott'm Forest,Brentford,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Southampton,-0.97,0.0,0
George Shelvey,Nott'm Forest,Southampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Chelsea,-2.46,0.0,0
George Shelvey,Nott'm Forest,Chelsea,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,True,Arsenal,-1.92,0.0,0
George Shelvey,Nott'm Forest,Arsenal,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0.0,Nott'm Forest,False,Crystal Palace,0.85,0.0,0
George Shelvey,Nott'm Forest,Crystal Palace,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,,Aston Villa,False,Newcastle United,4.98,0.0,0
