name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Cheick Doucouré,Crystal Palace,Everton,2022-10-22,False,Sub,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Nottingham Forest,2022-11-12,False,Sub,84,0,0.0,0,0.0,2,0,0,2.7,0,0,1,True,0.0,0.0,42.0,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Fulham,2022-12-26,True,Sub,83,0,0.0,0,0.0,2,0,0,3.3,0,0,3,True,1.0,0.0,55.67,0,0,0,0,0,3
Cheick Doucouré,Crystal Palace,Bournemouth,2022-12-31,False,Sub,90,0,0.0,0,0.0,3,0,0,3.6,0,1,0,True,1.33,0.0,64.25,0,0,0,0,0,6
Cheick Doucouré,Crystal Palace,Manchester United,2023-02-04,False,MC,81,0,0.35,0,0.02,6,1,1,4.1,1,0,2,True,1.75,0.0,67.6,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Brentford,2023-02-18,False,MC,90,0,0.0,0,0.14,2,0,2,2.6,0,0,1,True,2.6,0.07,71.33,0,0,0,0,0,3
Cheick Doucouré,Crystal Palace,Liverpool,2023-02-25,True,MC,90,0,0.11,0,0.1,3,2,1,1.9,0,1,0,True,3.0,0.07,74.0,0,0,0,0,0,0
Cheick Doucouré,Crystal Palace,Manchester City,2023-03-11,True,MC,0,0,0.0,1,0.07,0,0,1,0.0,0,0,0,False,3.2,0.09,64.75,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Fulham,2023-05-20,False,AMC,90,0,0.05,0,0.58,2,1,1,1.2,0,0,2,True,2.8,0.29,67.56,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Nottingham Forest,2023-05-28,True,MC,67,1,0.12,0,0.05,2,2,2,0.0,0,0,1,True,2.6,0.3,67.5,0,0,0,0,0,2
Cheick Doucouré,Crystal Palace,Chelsea,2022-10-01,True,Sub,83,0,0.0,0,0.0,2,0,0,2.1,0,0,1,False,1.8,0.26,68.91,0,0,0,0,0,3
