name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Hannes Delcroix,Burnley,Everton,2023-12-16,True,DL,69,0,0.0,0,0.0537103228271007,1,0,1,2.5,0,0,2,1.07,True
Hannes Delcroix,Burnley,Fulham,2023-12-23,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.0,False
Hannes Delcroix,Burnley,Aston Villa,2023-12-30,False,Sub,73,0,0.0,0,0.0,1,0,0,0.7,0,0,3,3.03,False
Hannes Delcroix,Burnley,Liverpool,2024-02-10,False,DL,90,0,0.0,0,0.0,1,0,0,2.2,0,0,3,2.86,True
Hannes Delcroix,Burnley,Arsenal,2024-02-17,True,DL,90,0,0.0,0,0.0667940825223922,0,0,1,3.3,0,0,5,2.42,True
Hannes Delcroix,Burnley,West Ham,2024-03-10,False,Sub,22,0,0.0,0,0.0,0,0,0,1.1,0,0,1,0.92,False
Hannes Delcroix,Burnley,Aston Villa,2023-08-27,True,DL,90,0,0.0746039375662803,0,0.0830167606472969,1,2,2,6.5,0,0,3,2.51,True
Hannes Delcroix,Burnley,Tottenham,2023-09-02,True,Sub,45,0,0.1581903845071792,0,0.0,-1,2,0,2.7,0,0,3,1.21,False
Hannes Delcroix,Burnley,Nottingham Forest,2023-09-18,False,Sub,3,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.08,False
Hannes Delcroix,Burnley,Luton,2023-10-03,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.04,False
Hannes Delcroix,Burnley,Chelsea,2023-10-07,True,DC,90,0,0.0,0,0.0,0,0,0,1.5,0,0,4,1.58,True
Hannes Delcroix,Burnley,Brentford,2023-10-21,False,Sub,10,0,0.0,0,0.0,1,0,0,0.4,0,0,1,0.19,False
