name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Issa Diop,Fulham,Everton,2023-08-12,False,DC,90,0,0.0,0,0.0,8,0,0,3.2,2,1,0,2.73,True,0.0,0.0,90.0,1.0,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Newcastle United,2023-12-16,False,DC,90,0,0.0,0,0.0,1,0,0,2.8,0,0,3,3.97,True,8.0,0.0,90.0,0.5,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Brentford,2023-08-19,True,DC,90,0,0.13,0,0.0,1,2,0,1.6,0,0,3,3.8,True,4.5,0.0,90.0,0.33,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Arsenal,2023-12-31,True,Sub,10,0,0.0,0,0.0,1,0,0,0.9,0,0,0,0.06,False,3.33,0.04,70.0,0.33,0.2,0.53,26.69,0.32,2
Issa Diop,Fulham,Chelsea,2024-01-13,False,DC,90,0,0.0,0,0.0,2,0,0,2.0,0,0,1,2.19,True,2.75,0.03,74.0,0.25,0.2,0.53,26.69,0.32,7
Issa Diop,Fulham,Everton,2024-01-30,True,DC,74,0,0.0,0,0.0,7,0,0,2.6,1,1,0,0.96,True,2.6,0.03,74.0,0.4,0.2,0.53,26.69,0.32,2
Issa Diop,Fulham,Bournemouth,2024-02-10,True,DC,90,0,0.0,0,0.0,2,0,0,3.7,0,0,1,1.84,True,2.4,0.03,76.29,0.33,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Aston Villa,2024-02-17,True,DC,90,0,0.04,0,0.0,1,1,0,1.8,0,0,2,1.65,True,2.6,0.03,78.0,0.29,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Manchester United,2024-02-24,False,Sub,9,0,0.0,0,0.0,1,0,0,1.1,0,0,1,0.95,False,2.6,0.01,70.33,0.29,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Arsenal,2023-08-26,False,DC,90,0,0.0,0,0.0,1,0,0,2.9,0,0,2,3.25,True,2.6,0.01,72.3,0.25,0.2,0.53,26.69,0.32,2
Issa Diop,Fulham,Crystal Palace,2024-04-27,True,DC,90,0,0.07,0,0.0,2,1,0,3.1,0,0,1,1.01,True,2.4,0.01,73.91,0.22,0.2,0.53,26.69,0.32,6
Issa Diop,Fulham,Brentford,2024-05-04,False,DC,90,0,0.0,0,0.0,6,0,0,2.9,0,1,0,0.63,True,1.4,0.02,75.25,0.3,0.2,0.53,26.69,0.32,-3
Issa Diop,Fulham,Manchester City,2024-05-11,True,DC,90,0,0.0,0,0.0,-3,0,0,1.2,0,0,4,4.04,True,2.2,0.02,76.38,0.27,0.2,0.53,26.69,0.32,-1
Issa Diop,Fulham,Manchester City,2023-09-02,False,DC,90,0,0.0,0,0.0,-1,0,0,1.0,0,0,5,2.26,True,1.4,0.01,77.36,0.25,0.2,0.53,26.69,0.32,5
Issa Diop,Fulham,Luton,2023-09-16,True,DC,90,0,0.0,0,0.0,5,0,0,2.9,0,1,0,1.28,True,1.0,0.01,78.2,0.31,0.2,0.53,26.69,0.32,6
Issa Diop,Fulham,Crystal Palace,2023-09-23,False,DC,90,0,0.0,0,0.0,6,0,0,2.2,0,1,0,0.3,True,1.8,0.01,78.94,0.36,0.2,0.53,26.69,0.32,1
Issa Diop,Fulham,Chelsea,2023-10-02,True,DC,90,0,0.0,0,0.0,1,0,0,1.7,0,0,2,1.73,True,2.6,0.0,79.59,0.33,0.2,0.53,26.69,0.32,2
Issa Diop,Fulham,Sheffield,2023-10-07,True,DC,70,0,0.03,0,0.0,2,1,0,3.2,0,0,1,0.55,True,1.6,0.0,79.06,0.31,0.2,0.53,26.69,0.32,
