name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Levi Colwill,Chelsea,Liverpool,2023-08-13,True,DC,90,0,0.0478998906910419,0,0.3410254120826721,2,1,2,4.7,0,0,1,1.28,True
Levi Colwill,Chelsea,Brentford,2023-10-28,True,DC,90,0,0.0,0,0.0,1,0,0,2.3,0,0,2,2.16,True
Levi Colwill,Chelsea,Tottenham,2023-11-06,False,DL,45,0,0.0,0,0.0,0,0,0,0.6,0,0,1,0.15,True
Levi Colwill,Chelsea,Newcastle United,2023-11-25,False,Sub,15,0,0.0,0,0.0,0,0,0,0.2,0,0,1,0.35,False
Levi Colwill,Chelsea,Brighton,2023-12-03,True,DL,90,1,0.1308115124702453,0,0.0,7,1,0,7.8,0,0,2,1.02,True
Levi Colwill,Chelsea,Manchester United,2023-12-06,False,DL,90,0,0.0419924482703208,0,0.4306869804859161,1,2,1,3.1,0,0,2,4.07,True
Levi Colwill,Chelsea,Everton,2023-12-10,False,Sub,63,0,0.0962418615818023,0,0.0432841069996356,1,1,1,3.6,0,0,2,1.01,False
Levi Colwill,Chelsea,Sheffield,2023-12-16,True,DL,90,0,0.0,0,0.0,6,0,0,2.3,0,1,0,0.37,True
Levi Colwill,Chelsea,Wolverhampton,2023-12-24,False,DL,78,0,0.0,0,0.0,2,0,0,1.3,0,0,1,0.98,True
Levi Colwill,Chelsea,Crystal Palace,2023-12-27,True,DL,57,0,0.0,0,0.0,1,0,0,0.4,0,0,1,0.75,True
Levi Colwill,Chelsea,West Ham,2023-08-20,False,DC,90,0,0.0560822337865829,0,0.0,1,2,0,2.3,0,0,3,1.8,True
Levi Colwill,Chelsea,Luton,2023-12-30,False,DL,90,0,0.0,0,0.0,1,0,0,2.0,0,0,2,2.53,True
Levi Colwill,Chelsea,Fulham,2024-01-13,True,DL,90,0,0.0710407942533493,0,0.0573792681097984,7,1,1,5.1,1,1,0,0.86,True
Levi Colwill,Chelsea,Crystal Palace,2024-02-12,False,Sub,29,0,0.0,0,0.0,1,0,0,0.3,0,0,0,0.19,False
Levi Colwill,Chelsea,Manchester City,2024-02-17,False,DC,90,0,0.0,0,0.0,2,0,0,3.3,0,0,1,2.91,True
Levi Colwill,Chelsea,Brentford,2024-03-02,False,DC,78,0,0.0,0,0.0,1,0,0,2.9,0,0,2,1.83,True
Levi Colwill,Chelsea,Luton,2023-08-25,True,DC,90,0,0.0555191002786159,0,0.0574854984879493,6,1,1,3.7,0,1,0,0.43,True
Levi Colwill,Chelsea,Nottingham Forest,2023-09-02,True,DC,90,0,0.0,0,0.0,2,0,0,1.2,0,0,1,0.71,True
Levi Colwill,Chelsea,Bournemouth,2023-09-17,False,DL,79,0,0.2764377892017364,0,0.0,6,2,0,8.4,0,1,0,1.1,True
Levi Colwill,Chelsea,Aston Villa,2023-09-24,True,DL,90,0,0.0,0,0.0,2,0,0,2.5,0,0,1,1.04,True
Levi Colwill,Chelsea,Fulham,2023-10-02,False,DL,90,0,0.0,1,0.3081309795379638,12,0,1,4.8,3,1,0,1.08,True
Levi Colwill,Chelsea,Burnley,2023-10-07,False,DL,90,0,0.0,0,0.0,2,0,0,1.9,0,0,1,0.75,True
Levi Colwill,Chelsea,Arsenal,2023-10-21,True,DC,90,0,0.0,0,0.0,1,0,0,2.5,0,0,2,1.06,True
