name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Lewis Dunk,Brighton,Luton,2023-08-12,True,DC,90,0,0.1102182045578956,0,0.0,2,2,0,2.4,0,0,1,1.45,True
Lewis Dunk,Brighton,Fulham,2023-10-29,True,DC,90,0,0.0891882628202438,0,0.0,2,1,0,3.1,0,0,1,0.71,True
Lewis Dunk,Brighton,Everton,2023-11-04,False,DC,90,0,0.1451910585165023,0,0.0,1,1,0,4.5,0,0,1,0.71,True
Lewis Dunk,Brighton,Nottingham Forest,2023-11-25,False,DC,72,0,0.0884359031915664,0,0.0,-2,2,0,3.7,0,0,2,2.55,True
Lewis Dunk,Brighton,Burnley,2023-12-09,True,DC,84,0,0.0,0,0.1006307899951934,2,0,2,4.8,0,0,1,0.94,True
Lewis Dunk,Brighton,Arsenal,2023-12-17,False,DC,90,0,0.0091162137687206,0,0.0,1,1,0,3.9,0,0,2,2.26,True
Lewis Dunk,Brighton,Crystal Palace,2023-12-21,False,DC,90,0,0.3235600888729095,0,0.0,2,1,0,2.5,0,0,1,1.36,True
Lewis Dunk,Brighton,Tottenham,2023-12-28,True,DC,90,0,0.3045133352279663,0,0.0,0,3,0,7.2,0,0,2,2.48,True
Lewis Dunk,Brighton,Wolverhampton,2023-08-19,False,DC,90,0,0.0,0,0.0,2,0,0,1.8,0,0,1,2.06,True
Lewis Dunk,Brighton,Wolverhampton,2024-01-22,True,DC,90,0,0.0,0,0.0,6,0,0,2.3,0,1,0,1.38,True
Lewis Dunk,Brighton,Luton,2024-01-30,False,DC,90,0,0.0,0,0.0,0,0,0,3.2,0,0,4,2.89,True
Lewis Dunk,Brighton,Crystal Palace,2024-02-03,True,DC,90,1,0.35066619515419,0,0.1803985089063644,9,1,2,11.2,1,0,1,0.32,True
Lewis Dunk,Brighton,Tottenham,2024-02-10,False,DC,90,0,0.0,0,0.0,0,0,0,1.0,0,0,2,1.6,True
Lewis Dunk,Brighton,Sheffield,2024-02-18,False,DC,90,0,0.1222038567066192,1,0.6114662289619446,12,2,2,9.5,3,1,0,0.58,True
Lewis Dunk,Brighton,Everton,2024-02-24,True,DC,90,1,0.1730113625526428,0,0.0896405205130577,10,3,2,12.1,2,0,1,0.28,True
Lewis Dunk,Brighton,Fulham,2024-03-02,False,DC,58,0,0.0156277138739824,0,0.0,0,1,0,3.9,0,0,2,0.62,True
Lewis Dunk,Brighton,Nottingham Forest,2024-03-10,True,DC,90,0,0.0163512490689754,0,0.0,7,1,0,3.2,1,1,0,0.68,True
Lewis Dunk,Brighton,West Ham,2023-08-26,True,DC,90,0,0.184472382068634,0,0.032311026006937,1,5,1,7.6,0,0,3,3.33,True
Lewis Dunk,Brighton,Liverpool,2024-03-31,False,DC,90,0,0.0508447289466857,0,0.0,1,2,0,8.0,0,0,2,2.79,True
Lewis Dunk,Brighton,Brentford,2024-04-03,False,DC,90,0,0.0,0,0.0300660487264394,7,0,1,3.4,1,1,0,0.5,True
Lewis Dunk,Brighton,Arsenal,2024-04-06,True,DC,90,0,0.0,0,0.0464934185147285,1,0,1,3.8,0,0,3,3.23,True
Lewis Dunk,Brighton,Burnley,2024-04-13,False,DC,90,0,0.0,0,0.0,3,0,0,1.5,1,0,1,1.7,True
Lewis Dunk,Brighton,Manchester City,2024-04-25,True,DC,90,0,0.0767068266868591,0,0.0,0,1,0,3.6,0,0,4,1.3,True
Lewis Dunk,Brighton,Bournemouth,2024-04-28,False,DC,90,0,0.0,0,0.0,1,0,0,4.0,0,0,3,2.26,True
Lewis Dunk,Brighton,Aston Villa,2024-05-05,True,DC,90,0,0.0,0,0.0,7,0,0,1.6,1,1,0,0.06,True
Lewis Dunk,Brighton,Newcastle United,2024-05-11,False,DC,90,0,0.0356215089559555,0,0.0,2,1,0,1.9,0,0,1,2.27,True
Lewis Dunk,Brighton,Chelsea,2024-05-15,True,DC,45,0,0.0,0,0.0,0,0,0,1.1,0,0,1,1.0,True
Lewis Dunk,Brighton,Newcastle United,2023-09-02,True,DC,90,0,0.0128172021359205,0,0.0113869039341807,2,1,1,3.3,0,0,1,1.3,True
Lewis Dunk,Brighton,Manchester United,2023-09-16,False,DC,90,0,0.0,0,0.0,2,0,0,1.8,0,0,1,0.96,True
Lewis Dunk,Brighton,Bournemouth,2023-09-24,True,DC,90,0,0.1505170315504074,0,0.0,1,2,0,3.8,0,0,1,1.37,True
Lewis Dunk,Brighton,Aston Villa,2023-09-30,False,DC,90,0,0.0,0,0.0,-2,0,0,2.9,0,0,6,1.58,True
Lewis Dunk,Brighton,Liverpool,2023-10-08,True,DC,90,1,0.7058457732200623,0,0.0673437863588333,8,3,1,10.9,1,0,2,2.49,True
Lewis Dunk,Brighton,Manchester City,2023-10-21,False,DC,90,0,0.0,0,0.0,1,0,0,2.2,0,0,2,0.75,True
