name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Lewis Hall,Newcastle,Bournemouth,2023-11-11,False,DL,45,0,0.02,0,0.0,1,1,0,3.2,0,0,0,0.4,True,0.0,0.0,45.0,0.0,0,0,0,0,1
Lewis Hall,Newcastle,Tottenham,2023-12-10,False,Sub,16,0,0.0,0,0.0,1,0,0,0.5,0,0,1,1.44,False,1.0,0.02,30.5,0.0,0,0,0,0,1
Lewis Hall,Newcastle,Fulham,2023-12-16,True,Sub,6,0,0.0,0,0.0,1,0,0,0.4,0,0,0,0.09,False,1.0,0.01,22.33,0.0,0,0,0,0,0
Lewis Hall,Newcastle,Luton,2023-12-23,False,Sub,5,0,0.0,0,0.0,0,0,0,0.2,0,0,0,0.1,False,1.0,0.01,18.0,0.0,0,0,0,0,1
Lewis Hall,Newcastle,Nottingham Forest,2023-12-26,True,Sub,11,0,0.0,0,0.0,1,0,0,0.3,0,0,0,0.0,False,0.75,0.01,16.6,0.0,0,0,0,0,1
Lewis Hall,Newcastle,Liverpool,2024-01-01,False,Sub,8,0,0.0,0,0.0,1,0,0,0.1,0,0,1,1.23,False,0.8,0.0,15.17,0.0,0,0,0,0,1
Lewis Hall,Newcastle,Manchester City,2024-01-13,True,Sub,4,0,0.0,0,0.0,1,0,0,0.2,0,0,1,0.87,False,0.8,0.0,13.57,0.0,0,0,0,0,1
Lewis Hall,Newcastle,West Ham,2024-03-30,True,Sub,33,0,0.0,0,0.0,1,0,0,1.7,0,0,0,0.3,False,0.8,0.0,16.0,0.0,0,0,0,0,9
Lewis Hall,Newcastle,Everton,2024-04-02,True,DL,78,0,0.0,0,0.14,9,0,1,4.5,3,1,0,0.56,True,0.8,0.0,22.89,1.0,0,0,0,0,6
Lewis Hall,Newcastle,Fulham,2024-04-06,False,DL,90,0,0.0,0,0.0,6,0,0,1.9,0,1,0,1.23,True,2.6,0.0,29.6,1.0,0,0,0,0,1
Lewis Hall,Newcastle,Tottenham,2024-04-13,True,Sub,2,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.0,False,3.6,0.0,27.09,1.0,0,0,0,0,1
Lewis Hall,Newcastle,Crystal Palace,2024-04-24,False,Sub,25,0,0.03,0,0.0,1,1,0,0.2,0,0,1,0.34,False,3.6,0.0,26.92,1.0,0,0,0,0,2
Lewis Hall,Newcastle,Sheffield,2024-04-27,True,DL,81,0,0.1,0,0.0,2,2,0,3.2,0,0,1,1.39,True,3.6,0.01,31.08,0.67,0,0,0,0,2
Lewis Hall,Newcastle,Burnley,2024-05-04,False,DL,90,0,0.12,0,0.0,2,2,0,2.8,0,0,1,1.08,True,3.8,0.02,35.29,0.5,0,0,0,0,1
Lewis Hall,Newcastle,Brighton,2024-05-11,True,DL,90,0,0.11,0,0.0,1,3,0,3.1,0,0,1,1.32,True,2.4,0.05,38.93,0.4,0,0,0,0,7
Lewis Hall,Newcastle,Manchester United,2024-05-15,False,DL,90,1,0.04,0,0.16,7,2,2,10.4,0,0,3,1.44,True,1.4,0.07,42.12,0.33,0,0,0,0,1
Lewis Hall,Newcastle,Brentford,2024-05-19,False,DL,90,0,0.0,0,0.0,1,0,0,2.1,0,0,2,1.22,True,2.6,0.08,44.94,0.29,0,0,0,0,1
Lewis Hall,Newcastle,Sheffield,2023-09-24,False,Sub,9,0,0.0,0,0.0,1,0,0,0.1,0,0,0,0.09,False,2.6,0.07,42.94,0.29,0,0,0,0,
