name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Moussa Niakhaté,Nott'm Forest,Arsenal,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Liverpool,2.76
Moussa Niakhaté,Nott'm Forest,Liverpool,2023-10-29,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,3,2.95,True,0.0,0.0,45.0,0.0,1.26,0.07,20.46,0.15,7.0,Nott'm Forest,True,Aston Villa,-2.76
Moussa Niakhaté,Nott'm Forest,Aston Villa,2023-11-05,True,DC,90,0.0,0.0,0.0,0.0,7,0.0,0.0,3.0,1,1,0,1.26,True,0.5,0.0,60.0,0.5,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,West Ham,3.49
Moussa Niakhaté,Nott'm Forest,West Ham,2023-11-12,False,DC,90,0.0,0.0,0.0,0.0,0,0.0,0.0,1.8,0,0,3,1.54,True,2.67,0.0,67.5,0.33,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Brighton,-1.91
Moussa Niakhaté,Nott'm Forest,Brighton,2023-11-25,True,DC,90,0.0,0.1,0.0,0.0,0,3.0,0.0,2.3,0,0,3,1.46,True,2.0,0.0,72.0,0.25,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Everton,1.16
Moussa Niakhaté,Nott'm Forest,Everton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.6,0.02,60.0,0.25,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Fulham,5.33
Moussa Niakhaté,Nott'm Forest,Fulham,2023-12-06,False,Sub,14,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,1,0.33,False,1.6,0.02,53.43,0.25,1.26,0.07,20.46,0.15,2.0,Nott'm Forest,False,Wolverhampton,0.48
Moussa Niakhaté,Nott'm Forest,Wolverhampton,2023-12-09,False,DC,90,0.0,0.0,0.0,0.08,2,0.0,2.0,4.2,0,0,1,1.17,True,1.6,0.02,58.0,0.2,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,True,Tottenham,4.06
Moussa Niakhaté,Nott'm Forest,Tottenham,2023-12-15,True,DC,90,0.0,0.11,0.0,0.02,1,1.0,1.0,3.0,0,0,2,1.53,True,0.6,0.02,61.56,0.17,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,True,Bournemouth,0.52
Moussa Niakhaté,Nott'm Forest,Bournemouth,2023-12-23,True,Sub,64,0.0,0.0,0.0,0.0,1,0.0,0.0,2.2,0,0,3,1.4,False,0.8,0.04,61.8,0.14,1.26,0.07,20.46,0.15,2.0,Nott'm Forest,False,Newcastle United,-1.87
Moussa Niakhaté,Nott'm Forest,Newcastle United,2023-12-26,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.7,0,0,1,2.43,True,1.0,0.02,64.36,0.12,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,True,Sheffield,-1.91
Moussa Niakhaté,Nott'm Forest,Sheffield,2023-08-18,True,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,0.0,False,1.4,0.02,59.08,0.12,1.26,0.07,20.46,0.15,2.0,Nott'm Forest,True,Manchester United,0.67
Moussa Niakhaté,Nott'm Forest,Manchester United,2023-12-30,True,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.2,0,0,1,0.77,True,1.4,0.02,61.46,0.11,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Brentford,1.33
Moussa Niakhaté,Nott'm Forest,Brentford,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.02,57.07,0.11,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Arsenal,-1.92
Moussa Niakhaté,Nott'm Forest,Arsenal,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.2,0.0,53.27,0.11,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Bournemouth,0.9
Moussa Niakhaté,Nott'm Forest,Bournemouth,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.0,0.0,49.94,0.11,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,True,Newcastle United,0.52
Moussa Niakhaté,Nott'm Forest,Newcastle United,2024-02-10,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0,0,3,0.48,True,0.6,0.0,52.29,0.1,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,West Ham,-2.72
Moussa Niakhaté,Nott'm Forest,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.6,0.0,49.39,0.1,1.26,0.07,20.46,0.15,6.0,Nott'm Forest,False,Aston Villa,2.52
Moussa Niakhaté,Nott'm Forest,Aston Villa,2024-02-24,False,DL,90,1.0,0.95,0.0,0.0,6,1.0,0.0,8.2,0,0,4,3.57,True,0.2,0.0,51.53,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Liverpool,-1.05
Moussa Niakhaté,Nott'm Forest,Liverpool,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.19,48.95,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Brighton,1.21
Moussa Niakhaté,Nott'm Forest,Brighton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.19,46.62,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Luton,-1.05
Moussa Niakhaté,Nott'm Forest,Luton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.19,44.5,0.09,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Manchester United,1.16
Moussa Niakhaté,Nott'm Forest,Manchester United,2023-08-26,False,Sub,33,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,1,1.31,False,1.2,0.19,44.0,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Crystal Palace,-0.57
Moussa Niakhaté,Nott'm Forest,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.19,42.17,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Fulham,-2.25
Moussa Niakhaté,Nott'm Forest,Fulham,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,40.48,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Tottenham,0.66
Moussa Niakhaté,Nott'm Forest,Tottenham,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,38.92,0.09,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Wolverhampton,-0.63
Moussa Niakhaté,Nott'm Forest,Wolverhampton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.2,0.0,37.48,0.09,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Everton,2.01
Moussa Niakhaté,Nott'm Forest,Everton,2024-04-21,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.9,0,0,2,0.45,True,0.2,0.0,39.36,0.08,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,True,Manchester City,-0.22
Moussa Niakhaté,Nott'm Forest,Manchester City,2024-04-28,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.2,0,0,2,0.84,True,0.2,0.0,41.1,0.08,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Sheffield,-2.75
Moussa Niakhaté,Nott'm Forest,Sheffield,2024-05-04,False,Sub,23,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,0,0.13,False,0.4,0.0,40.5,0.08,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Chelsea,0.18
Moussa Niakhaté,Nott'm Forest,Chelsea,2024-05-11,True,DC,86,0.0,0.0,0.0,0.0,0,0.0,0.0,1.6,0,0,3,1.72,True,0.6,0.0,41.97,0.07,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Burnley,-4.0
Moussa Niakhaté,Nott'm Forest,Burnley,2024-05-19,False,Sub,10,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0,0,0,0.18,False,0.6,0.0,40.97,0.07,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Chelsea,-2.46
Moussa Niakhaté,Nott'm Forest,Chelsea,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.8,0.0,39.73,0.07,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Burnley,1.01
Moussa Niakhaté,Nott'm Forest,Burnley,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.6,0.0,38.56,0.07,1.26,0.07,20.46,0.15,1.0,Nott'm Forest,False,Manchester City,4.87
Moussa Niakhaté,Nott'm Forest,Manchester City,2023-09-23,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.4,0,0,2,1.33,True,0.4,0.0,40.03,0.07,1.26,0.07,20.46,0.15,-2.0,Nott'm Forest,True,Brentford,0.39
Moussa Niakhaté,Nott'm Forest,Brentford,2023-10-01,True,DL,55,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.7,0,0,1,2.75,True,0.4,0.0,40.44,0.07,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,False,Crystal Palace,0.85
Moussa Niakhaté,Nott'm Forest,Crystal Palace,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,39.35,0.07,1.26,0.07,20.46,0.15,0.0,Nott'm Forest,True,Luton,-1.73
Moussa Niakhaté,Nott'm Forest,Luton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,-0.2,0.0,38.32,0.07,1.26,0.07,20.46,0.15,,,,,
