name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Pedro Porro,Spurs,Brentford,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.0,0.0,0.0,0.0,1.41,2.51,19.42,0.15,2.0,Spurs,False,Crystal Palace,1.4
Pedro Porro,Spurs,Crystal Palace,2023-10-27,False,DR,90,0.0,0.03,0.0,0.0,2,1.0,0.0,3.0,0,0,1,0.64,True,0.0,0.0,45.0,0.0,1.41,2.51,19.42,0.15,0.0,Spurs,True,Chelsea,1.57
Pedro Porro,Spurs,Chelsea,2023-11-06,True,DR,90,0.0,0.07,0.0,0.55,0,1.0,1.0,5.3,0,0,4,4.04,True,1.0,0.01,60.0,0.0,1.41,2.51,19.42,0.15,5.0,Spurs,False,Wolverhampton,0.08
Pedro Porro,Spurs,Wolverhampton,2023-11-11,False,DR,90,0.0,0.0,1.0,0.22,5,0.0,2.0,7.7,1,0,2,2.15,True,0.67,0.03,67.5,0.0,1.41,2.51,19.42,0.15,5.0,Spurs,True,Aston Villa,1.17
Pedro Porro,Spurs,Aston Villa,2023-11-26,True,DR,90,0.0,0.14,1.0,0.44,5,3.0,4.0,11.9,1,0,2,1.77,True,1.75,0.27,72.0,0.0,1.41,2.51,19.42,0.15,0.0,Spurs,False,Manchester City,-0.49
Pedro Porro,Spurs,Manchester City,2023-12-03,False,DR,90,0.0,0.06,0.0,0.03,0,1.0,1.0,4.2,0,0,3,2.64,True,2.4,0.45,75.0,0.0,1.41,2.51,19.42,0.15,5.0,Spurs,True,West Ham,-1.74
Pedro Porro,Spurs,West Ham,2023-12-07,True,DR,90,0.0,0.21,1.0,0.51,5,5.0,5.0,13.9,2,0,2,2.07,True,2.4,0.46,77.14,0.0,1.41,2.51,19.42,0.15,5.0,Spurs,True,Newcastle United,-1.88
Pedro Porro,Spurs,Newcastle United,2023-12-10,True,DR,90,0.0,0.16,1.0,0.38,5,3.0,3.0,11.3,0,0,1,1.69,True,3.0,0.7,78.75,0.0,1.41,2.51,19.42,0.15,8.0,Spurs,False,Nottingham Forest,-5.2
Pedro Porro,Spurs,Nottingham Forest,2023-12-15,False,DR,90,0.0,0.25,0.0,0.42,8,2.0,3.0,7.3,2,1,0,1.5,True,4.0,0.92,80.0,0.12,1.41,2.51,19.42,0.15,2.0,Spurs,True,Everton,-3.67
Pedro Porro,Spurs,Everton,2023-12-23,True,DR,90,0.0,0.1,0.0,0.05,2,2.0,1.0,4.3,0,0,1,1.95,True,4.6,0.76,81.0,0.11,1.41,2.51,19.42,0.15,5.0,Spurs,False,Brighton,-2.31
Pedro Porro,Spurs,Brighton,2023-12-28,False,DR,90,0.0,0.08,1.0,0.74,5,2.0,3.0,9.6,2,0,4,3.7,True,4.0,0.56,81.82,0.1,1.41,2.51,19.42,0.15,6.0,Spurs,True,Manchester United,1.18
Pedro Porro,Spurs,Manchester United,2023-08-19,True,DR,87,0.0,0.07,0.0,0.1,6,1.0,1.0,3.6,0,1,0,1.73,True,5.0,0.76,82.25,0.18,1.41,2.51,19.42,0.15,2.0,Spurs,True,Bournemouth,-0.25
Pedro Porro,Spurs,Bournemouth,2023-12-31,True,DR,90,0.0,0.02,0.0,0.08,2,1.0,1.0,6.0,0,0,1,1.6,True,5.2,0.53,82.85,0.17,1.41,2.51,19.42,0.15,6.0,Spurs,False,Manchester United,3.47
Pedro Porro,Spurs,Manchester United,2024-01-14,False,DR,90,0.0,0.03,1.0,0.74,6,1.0,5.0,14.1,2,0,2,0.84,True,4.6,0.3,83.36,0.15,1.41,2.51,19.42,0.15,1.0,Spurs,True,Brentford,-1.06
