name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty,saves_per_game,last_season_total_saves
James Trafford,Burnley,Manchester City,2023-08-11,True,90,3,2.21,5,0,2,0,False,0.0,True,0.0,0.0,0,0,0,2.0,Burnley,False,Bournemouth,0.12,5.0,0
James Trafford,Burnley,Bournemouth,2023-10-28,False,90,2,1.08,4,0,2,0,False,0.0,True,2.0,0.0,0,0,0,1.0,Burnley,True,Crystal Palace,1.35,4.5,0
James Trafford,Burnley,Crystal Palace,2023-11-04,True,90,2,1.32,1,0,1,0,False,0.0,True,2.0,0.0,0,0,0,2.0,Burnley,False,Arsenal,0.24,3.33,0
James Trafford,Burnley,Arsenal,2023-11-11,False,90,3,2.03,3,0,2,0,False,0.0,True,1.67,0.0,0,0,0,1.0,Burnley,True,West Ham,-0.08,3.25,0
James Trafford,Burnley,West Ham,2023-11-25,True,90,2,1.03,2,0,1,0,False,0.0,True,1.75,0.0,0,0,0,7.0,Burnley,True,Sheffield,-6.23,3.0,0
James Trafford,Burnley,Sheffield,2023-12-02,True,90,0,0.39,3,0,7,0,True,0.0,True,1.6,0.17,0,0,0,3.0,Burnley,False,Wolverhampton,0.3,3.0,0
James Trafford,Burnley,Wolverhampton,2023-12-05,False,90,1,0.83,3,0,3,0,False,0.0,True,2.6,0.14,0,0,0,7.0,Burnley,False,Brighton,-4.46,3.0,0
James Trafford,Burnley,Brighton,2023-12-09,False,90,1,2.72,10,0,7,2,False,0.0,True,2.8,0.12,0,0,0,2.0,Burnley,True,Everton,1.09,3.88,0
James Trafford,Burnley,Everton,2023-12-16,True,90,2,1.34,4,0,2,0,False,0.0,True,4.0,0.11,0,0,0,9.0,Burnley,False,Fulham,-2.75,3.89,0
James Trafford,Burnley,Fulham,2023-12-23,False,90,0,1.38,5,0,9,2,True,0.0,True,4.0,0.2,0,0,0,3.0,Burnley,True,Liverpool,0.6,4.0,0
James Trafford,Burnley,Liverpool,2023-12-26,True,90,2,1.69,8,0,3,0,False,0.0,True,5.6,0.18,0,0,0,2.0,Burnley,False,Aston Villa,-1.62,4.36,0
James Trafford,Burnley,Aston Villa,2023-12-30,False,90,3,3.15,4,0,2,0,False,0.0,True,4.8,0.17,0,0,0,2.0,Burnley,True,Luton,-2.04,4.33,0
James Trafford,Burnley,Luton,2024-01-12,True,90,1,0.85,4,0,2,0,False,0.0,True,4.6,0.15,0,0,0,1.0,Burnley,False,Manchester City,0.91,4.31,0
James Trafford,Burnley,Manchester City,2024-01-31,False,90,3,1.75,1,0,1,0,False,0.0,True,3.6,0.14,0,0,0,2.0,Burnley,True,Fulham,-1.12,4.07,0
James Trafford,Burnley,Fulham,2024-02-03,True,90,2,1.28,5,0,2,0,False,0.0,True,3.4,0.13,0,0,0,4.0,Burnley,False,Liverpool,2.65,4.13,0
James Trafford,Burnley,Liverpool,2024-02-10,False,90,3,2.86,7,0,4,1,False,0.0,True,2.0,0.12,0,0,0,0.0,Burnley,True,Arsenal,3.02,4.31,0
James Trafford,Burnley,Arsenal,2024-02-17,True,90,5,2.42,2,0,0,0,False,0.0,True,2.2,0.12,0,0,0,2.0,Burnley,False,Crystal Palace,2.27,4.18,0
James Trafford,Burnley,Crystal Palace,2024-02-24,False,90,3,2.39,3,0,2,0,False,0.0,True,1.8,0.11,0,0,0,1.0,Burnley,True,Bournemouth,2.12,4.11,0
James Trafford,Burnley,Bournemouth,2024-03-03,True,90,2,1.1,1,0,1,0,False,0.0,True,1.8,0.11,0,0,0,1.0,Burnley,False,West Ham,0.48,3.95,0
James Trafford,Burnley,West Ham,2024-03-10,False,90,2,1.82,2,0,1,0,False,0.0,True,1.8,0.1,0,0,0,0.0,Burnley,True,Brentford,-4.37,3.85,0
James Trafford,Burnley,Brentford,,True,0,0,0.0,0,0,0,0,False,,False,1.6,0.1,0,0,0,2.0,Burnley,True,Aston Villa,3.55,3.67,0
James Trafford,Burnley,Aston Villa,2023-08-27,True,90,3,2.51,3,0,2,0,False,0.0,True,0.8,0.1,0,0,0,0.0,Burnley,False,Chelsea,-0.08,3.64,0
James Trafford,Burnley,Chelsea,,False,0,0,0.0,0,0,0,0,False,,False,1.2,0.1,0,0,0,0.0,Burnley,True,Wolverhampton,-1.75,3.48,0
James Trafford,Burnley,Wolverhampton,,True,0,0,0.0,0,0,0,0,False,,False,0.8,0.1,0,0,0,0.0,Burnley,False,Everton,1.47,3.33,0
James Trafford,Burnley,Everton,,False,0,0,0.0,0,0,0,0,False,,False,0.6,0.1,0,0,0,0.0,Burnley,True,Brighton,-1.01,3.2,0
James Trafford,Burnley,Brighton,,True,0,0,0.0,0,0,0,0,False,,False,0.4,0.1,0,0,0,0.0,Burnley,False,Sheffield,-4.75,3.08,0
