name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Odysseas Vlachodimos,Nott'm Forest,Liverpool,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,7.0,Nott'm Forest,True,Aston Villa,-1.24
Odysseas Vlachodimos,Nott'm Forest,Aston Villa,2023-11-05,True,90,0,1.26,3,0,7,0,True,0.0,True,0.0,1.0,1.5,0,0,0,0,2.0,Nott'm Forest,False,West Ham,5.53
Odysseas Vlachodimos,Nott'm Forest,West Ham,2023-11-12,False,90,3,1.54,3,0,2,0,False,0.03,True,3.5,0.5,2.0,0,0,0,0,1.0,Nott'm Forest,True,Brighton,-4.68
Odysseas Vlachodimos,Nott'm Forest,Brighton,2023-11-25,True,90,3,1.46,2,0,1,0,False,0.0,True,3.0,0.33,2.0,0,0,0,0,2.0,Nott'm Forest,True,Everton,0.17
Odysseas Vlachodimos,Nott'm Forest,Everton,2023-12-02,True,90,1,0.7,1,0,2,0,False,0.0,True,2.5,0.25,1.8,0,0,0,0,0.0,Nott'm Forest,False,Fulham,3.69
Odysseas Vlachodimos,Nott'm Forest,Fulham,2023-12-06,False,90,5,2.52,1,0,0,0,False,0.0,True,2.4,0.2,1.67,0,0,0,0,0.0,Nott'm Forest,False,Wolverhampton,1.27
Odysseas Vlachodimos,Nott'm Forest,Wolverhampton,,False,0,0,0.0,0,0,0,0,False,,False,2.4,0.2,1.43,0,0,0,0,0.0,Nott'm Forest,True,Tottenham,5.64
Odysseas Vlachodimos,Nott'm Forest,Tottenham,,True,0,0,0.0,0,0,0,0,False,,False,1.0,0.2,1.25,0,0,0,0,0.0,Nott'm Forest,True,Bournemouth,0.55
Odysseas Vlachodimos,Nott'm Forest,Bournemouth,,True,0,0,0.0,0,0,0,0,False,,False,0.6,0.2,1.11,0,0,0,0,0.0,Nott'm Forest,False,Newcastle United,1.35
Odysseas Vlachodimos,Nott'm Forest,Newcastle United,,False,0,0,0.0,0,0,0,0,False,,False,0.4,0.2,1.0,0,0,0,0,0.0,Nott'm Forest,True,Manchester United,2.69
Odysseas Vlachodimos,Nott'm Forest,Manchester United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.91,0,0,0,0,0.0,Nott'm Forest,False,Brentford,1.0
Odysseas Vlachodimos,Nott'm Forest,Brentford,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.83,0,0,0,0,0.0,Nott'm Forest,True,Arsenal,-2.77
Odysseas Vlachodimos,Nott'm Forest,Arsenal,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.77,0,0,0,0,0.0,Nott'm Forest,False,Bournemouth,1.05
Odysseas Vlachodimos,Nott'm Forest,Bournemouth,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.71,0,0,0,0,0.0,Nott'm Forest,True,Newcastle United,1.26
Odysseas Vlachodimos,Nott'm Forest,Newcastle United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.67,0,0,0,0,0.0,Nott'm Forest,True,West Ham,-1.34
Odysseas Vlachodimos,Nott'm Forest,West Ham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.62,0,0,0,0,0.0,Nott'm Forest,False,Aston Villa,2.3
Odysseas Vlachodimos,Nott'm Forest,Aston Villa,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.59,0,0,0,0,0.0,Nott'm Forest,True,Liverpool,-3.15
Odysseas Vlachodimos,Nott'm Forest,Liverpool,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.56,0,0,0,0,0.0,Nott'm Forest,False,Brighton,0.45
Odysseas Vlachodimos,Nott'm Forest,Brighton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.53,0,0,0,0,0.0,Nott'm Forest,False,Luton,
Odysseas Vlachodimos,Nott'm Forest,Luton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.5,0,0,0,0,0.0,Nott'm Forest,True,Crystal Palace,-1.59
Odysseas Vlachodimos,Nott'm Forest,Crystal Palace,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.48,0,0,0,0,0.0,Nott'm Forest,True,Fulham,0.28
Odysseas Vlachodimos,Nott'm Forest,Fulham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.45,0,0,0,0,0.0,Nott'm Forest,False,Tottenham,
Odysseas Vlachodimos,Nott'm Forest,Tottenham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.43,0,0,0,0,0.0,Nott'm Forest,True,Wolverhampton,
Odysseas Vlachodimos,Nott'm Forest,Wolverhampton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.42,0,0,0,0,0.0,Nott'm Forest,False,Everton,0.64
Odysseas Vlachodimos,Nott'm Forest,Everton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.2,0.4,0,0,0,0,0.0,Nott'm Forest,True,Manchester City,
