name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts
Anthony Gordon,Newcastle,Aston Villa,2023-08-12,True,FWL,67,0,0.0941830053925514,1,0.841463565826416,4,1,2,5.6,0,0,1,True
Anthony Gordon,Newcastle,Wolverhampton,2023-10-28,False,FWL,90,0,0.1633986532688141,0,0.0,2,1,0,1.6,0,0,2,True
Anthony Gordon,Newcastle,Arsenal,2023-11-04,True,FWL,90,1,0.8940771818161011,0,0.0222424883395433,7,2,1,9.7,0,1,0,True
Anthony Gordon,Newcastle,Bournemouth,2023-11-11,False,FW,90,0,0.0209371000528335,0,0.0,2,1,0,2.9,0,0,2,True
Anthony Gordon,Newcastle,Chelsea,2023-11-25,True,FWL,90,1,0.1464738249778747,1,0.3657829761505127,13,3,1,9.4,3,0,1,True
Anthony Gordon,Newcastle,Manchester United,2023-12-02,True,FWL,90,1,0.8268346786499023,0,0.0487252101302146,10,3,2,13.1,2,1,0,True
Anthony Gordon,Newcastle,Everton,2023-12-07,False,FWL,90,0,0.1366040110588073,0,0.0301128476858139,2,3,1,4.6,0,0,3,True
Anthony Gordon,Newcastle,Tottenham,2023-12-10,False,FWL,73,0,0.0455011315643787,0,0.3496411442756653,2,1,2,3.6,0,0,3,True
Anthony Gordon,Newcastle,Fulham,2023-12-16,True,FWL,83,0,0.3867418169975281,1,0.9596775770187378,6,4,4,13.1,0,1,0,True
Anthony Gordon,Newcastle,Luton,2023-12-23,False,FWL,90,0,0.1041925176978111,0,0.4218896925449371,2,2,1,3.6,0,0,1,True
Anthony Gordon,Newcastle,Nottingham Forest,2023-12-26,True,FWL,90,0,0.6858025193214417,0,0.0,1,3,0,3.8,0,0,3,True
Anthony Gordon,Newcastle,Manchester City,2023-08-19,False,FWL,55,0,0.1028999015688896,0,0.0,0,2,0,1.2,0,0,1,True
Anthony Gordon,Newcastle,Liverpool,2024-01-01,False,FWR,90,0,0.0115104727447032,1,0.3190677165985107,5,1,1,5.8,0,0,4,True
Anthony Gordon,Newcastle,Manchester City,2024-01-13,True,FWL,85,1,0.1956871449947357,0,0.1106784716248512,7,3,1,7.7,0,0,2,True
Anthony Gordon,Newcastle,Aston Villa,2024-01-30,False,FWL,90,0,0.4479889273643493,0,0.0,1,3,0,3.8,0,0,1,True
Anthony Gordon,Newcastle,Luton,2024-02-03,True,FW,45,0,0.2384352833032608,0,0.0,4,2,0,2.4,0,0,2,True
Anthony Gordon,Newcastle,Nottingham Forest,2024-02-10,False,FWL,90,0,0.0426999442279338,0,0.0190574396401643,2,2,1,2.9,0,0,2,True
Anthony Gordon,Newcastle,Bournemouth,2024-02-17,True,FW,90,1,0.9709866046905518,0,0.0596883259713649,8,4,3,12.1,1,0,2,True
Anthony Gordon,Newcastle,Arsenal,2024-02-24,False,FWL,90,0,0.0676773115992546,0,0.0,2,1,0,2.6,0,0,4,True
Anthony Gordon,Newcastle,Wolverhampton,2024-03-02,True,FWL,90,1,0.5384580492973328,0,0.2464861571788787,8,1,3,10.6,0,1,0,True
Anthony Gordon,Newcastle,Chelsea,2024-03-11,False,FWL,35,0,0.0636559799313545,0,0.0,1,1,0,2.4,0,0,1,True
Anthony Gordon,Newcastle,Liverpool,2023-08-27,True,FWL,71,1,0.4800443947315216,0,0.1675527393817901,10,4,2,11.6,2,1,0,True
Anthony Gordon,Newcastle,West Ham,2024-03-30,True,FWL,90,0,0.5451900959014893,1,0.3965325355529785,8,6,3,11.0,0,0,3,True
Anthony Gordon,Newcastle,Fulham,2024-04-06,False,FWL,90,0,0.2911796867847442,0,0.0,3,5,0,5.1,0,1,0,True
Anthony Gordon,Newcastle,Tottenham,2024-04-13,True,FWR,90,1,0.8762570023536682,2,1.03131902217865,17,2,8,22.3,3,1,0,True
Anthony Gordon,Newcastle,Crystal Palace,2024-04-24,False,AMC,90,0,0.3021957576274872,0,0.0329635702073574,1,1,1,6.8,0,0,2,True
Anthony Gordon,Newcastle,Sheffield,2024-04-27,True,FWL,81,0,0.0,1,0.5269284248352051,10,0,3,8.4,2,0,1,True
Anthony Gordon,Newcastle,Burnley,2024-05-04,False,ML,84,0,0.1323643326759338,1,0.3317547142505646,6,4,4,10.2,0,1,0,True
Anthony Gordon,Newcastle,Brighton,2024-05-11,True,FWL,90,0,0.1157518252730369,0,0.5637174844741821,2,2,3,9.1,0,0,1,True
Anthony Gordon,Newcastle,Manchester United,2024-05-15,False,FWL,90,1,0.5522643327713013,0,0.6272367238998413,6,3,5,15.5,0,0,3,True
Anthony Gordon,Newcastle,Brighton,2023-09-02,False,FWL,90,0,0.1027524173259735,0,0.0816878080368042,1,1,1,2.7,0,0,3,True
Anthony Gordon,Newcastle,Brentford,2023-09-16,True,FWR,90,0,0.0,0,0.0,5,0,0,2.0,0,1,0,True
Anthony Gordon,Newcastle,Sheffield,2023-09-24,False,Sub,78,1,0.5109280943870544,1,1.278839349746704,12,4,3,16.4,1,1,0,False
Anthony Gordon,Newcastle,Burnley,2023-09-30,True,FWL,90,0,0.0731983631849289,0,0.0,5,3,0,4.6,0,1,0,True
Anthony Gordon,Newcastle,Crystal Palace,2023-10-21,True,FWL,69,1,1.1269068717956543,0,0.0,8,2,0,8.5,0,1,0,True
