name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Jean-Ricner Bellegarde,Wolves,Sheffield,2023-11-04,False,Sub,29,1,0.07,0,0.09,7,1,1,7.3,1,0,2,False,0.0,0.0,29.0,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Tottenham,2023-11-11,True,MC,72,0,0.04,0,0.03,2,1,1,2.7,0,0,1,True,7.0,0.07,50.5,0,0,0,0,0,5
Jean-Ricner Bellegarde,Wolves,Fulham,2023-11-27,False,MC,61,0,0.0,1,0.39,5,0,2,6.2,0,0,2,True,4.5,0.06,54.0,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Arsenal,2023-12-02,False,MC,62,0,0.0,0,0.0,2,0,0,0.5,0,0,2,True,4.67,0.37,56.0,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Burnley,2023-12-05,True,Sub,11,0,0.0,0,0.0,1,0,0,0.4,0,0,0,False,4.0,0.28,47.0,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Nottingham Forest,2023-12-09,True,Sub,21,0,0.0,0,0.0,1,0,0,0.1,0,0,0,False,3.4,0.22,42.67,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,West Ham,2023-12-17,False,DML,90,0,0.11,0,0.09,2,3,1,4.5,0,0,3,True,2.2,0.21,49.43,0,0,0,0,0,6
Jean-Ricner Bellegarde,Wolves,Brentford,2023-12-27,False,Sub,45,1,0.41,0,0.0,6,2,0,7.6,0,0,0,False,2.2,0.22,48.88,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Everton,2023-12-30,True,Sub,10,0,0.0,0,0.0,1,0,0,0.6,0,0,0,False,2.4,0.11,44.56,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Brighton,2024-01-22,False,Sub,20,0,0.0,0,0.0,1,0,0,0.3,0,0,0,False,2.2,0.11,42.1,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Manchester United,2024-02-01,True,FW,62,0,0.0,0,0.04,2,0,1,2.2,0,0,2,True,2.2,0.11,43.91,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Chelsea,2024-02-04,False,Sub,18,0,0.14,0,0.0,1,1,0,2.5,0,0,1,False,2.4,0.11,41.75,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Brentford,2024-02-10,True,Sub,70,0,0.03,0,0.0,2,1,0,1.2,0,0,2,False,2.2,0.11,43.92,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Tottenham,2024-02-17,False,Sub,17,0,0.15,0,0.12,1,1,2,3.9,0,0,0,False,1.4,0.03,42.0,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Sheffield,2024-02-25,True,Sub,4,0,0.0,0,0.0,1,0,0,0.5,0,0,0,False,1.4,0.06,39.47,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Newcastle United,2024-03-02,False,AMC,80,0,0.18,0,0.09,2,3,2,5.4,0,0,2,True,1.4,0.06,42.0,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Fulham,2024-03-09,True,AMC,10,0,0.0,0,0.0,1,0,0,0.0,0,0,0,True,1.4,0.1,40.12,0,0,0,0,0,4
Jean-Ricner Bellegarde,Wolves,Manchester City,2024-05-04,False,Sub,45,0,0.14,0,0.0,4,1,0,0.9,0,0,2,False,1.4,0.07,40.39,0,0,0,0,0,1
Jean-Ricner Bellegarde,Wolves,Crystal Palace,2024-05-11,True,Sub,45,0,0.0,0,0.06,1,0,1,1.5,0,0,1,False,1.8,0.09,40.63,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Liverpool,2024-05-19,False,MC,62,0,0.0,0,0.0,2,0,0,0.7,0,0,2,True,1.8,0.06,41.7,0,0,0,0,0,2
Jean-Ricner Bellegarde,Wolves,Liverpool,2023-09-16,True,AMC,76,0,0.09,0,0.04,2,1,1,2.6,0,0,1,True,2.0,0.06,43.33,0,0,0,0,0,-2
Jean-Ricner Bellegarde,Wolves,Luton,2023-09-23,False,AMC,38,0,0.0,0,0.0,-2,0,0,0.6,0,0,1,True,2.0,0.05,43.09,0,0,0,0,0,
