name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts
Nicolás Domínguez,Nott'm Forest,Liverpool,2023-10-29,False,ML,68,0,0.0582463406026363,0,0.0,1,1,0,1.3,0,0,2,True
Nicolás Domínguez,Nott'm Forest,Aston Villa,2023-11-05,True,MC,86,0,0.5403291583061218,0,0.0,3,3,0,4.1,0,1,0,True
Nicolás Domínguez,Nott'm Forest,West Ham,2023-11-12,False,MC,45,0,0.0303679332137107,0,0.0,1,1,0,1.3,0,0,1,True
Nicolás Domínguez,Nott'm Forest,Brighton,2023-11-25,True,MC,68,0,0.0,0,0.0162234436720609,2,0,1,3.0,0,0,3,True
Nicolás Domínguez,Nott'm Forest,Fulham,2023-12-06,False,AMC,45,0,0.0,0,0.0233141835778951,1,0,1,1.7,0,0,2,True
Nicolás Domínguez,Nott'm Forest,Newcastle United,2023-12-26,False,Sub,11,0,0.0,0,0.0,1,0,0,0.3,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Manchester United,2023-12-30,True,AML,78,1,0.4550440907478332,0,0.0,9,3,0,7.5,2,0,1,True
Nicolás Domínguez,Nott'm Forest,Brentford,2024-01-20,False,AMR,90,0,0.0,0,0.0732565447688102,2,0,1,4.5,0,0,3,True
Nicolás Domínguez,Nott'm Forest,Arsenal,2024-01-30,True,AML,63,0,0.0,0,0.0,3,0,0,1.4,0,1,0,True
Nicolás Domínguez,Nott'm Forest,Bournemouth,2024-02-04,False,DMC,71,0,0.0,0,0.1541122049093246,2,0,1,4.0,0,0,1,True
Nicolás Domínguez,Nott'm Forest,Newcastle United,2024-02-10,True,DMC,77,0,0.0563492588698864,1,0.0893079712986946,6,2,2,6.2,1,0,3,True
Nicolás Domínguez,Nott'm Forest,West Ham,2024-02-17,True,DMC,85,0,0.0704806223511695,1,0.4546020627021789,5,1,1,4.9,0,1,0,True
Nicolás Domínguez,Nott'm Forest,Aston Villa,2024-02-24,False,DMC,72,0,0.011981813237071,0,0.0,2,1,0,1.1,0,0,4,True
Nicolás Domínguez,Nott'm Forest,Liverpool,2024-03-02,True,DMC,78,0,0.1560104191303253,0,0.0372490473091602,3,2,1,4.0,0,1,0,True
Nicolás Domínguez,Nott'm Forest,Brighton,2024-03-10,False,MC,71,0,0.0,0,0.0201187189668416,1,0,1,1.5,0,0,1,True
Nicolás Domínguez,Nott'm Forest,Luton,2024-03-16,False,Sub,8,0,0.0741218104958534,0,0.0407853424549102,1,1,1,2.4,0,0,1,False
Nicolás Domínguez,Nott'm Forest,Fulham,2024-04-02,True,Sub,7,0,0.0,0,0.0,1,0,0,0.4,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Tottenham,2024-04-07,False,Sub,22,0,0.0290907956659793,0,0.0,1,1,0,1.9,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Wolverhampton,2024-04-13,True,Sub,24,0,0.0523869395256042,0,0.0,1,1,0,0.8,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Everton,2024-04-21,False,DMC,79,0,0.0,0,0.0,2,0,0,1.2,0,0,2,True
Nicolás Domínguez,Nott'm Forest,Sheffield,2024-05-04,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Chelsea,2024-05-11,True,Sub,4,0,0.0,0,0.0,0,0,0,0.2,0,0,0,False
Nicolás Domínguez,Nott'm Forest,Manchester City,2023-09-23,False,ML,90,0,0.0380759015679359,0,0.0,2,1,0,1.8,0,0,2,True
Nicolás Domínguez,Nott'm Forest,Brentford,2023-10-01,True,MC,79,1,0.0223525967448949,0,0.0,10,1,0,7.5,3,0,1,True
Nicolás Domínguez,Nott'm Forest,Crystal Palace,2023-10-07,False,MC,90,0,0.0316261798143386,0,0.0,3,1,0,4.1,0,1,0,True
Nicolás Domínguez,Nott'm Forest,Luton,2023-10-21,True,MC,77,0,0.0756871923804283,0,0.0,3,2,0,3.5,0,1,0,True
