name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts
Pascal Groß,Brighton,Luton,2023-08-12,True,DMC,90,0,0.3953014612197876,0,0.75409996509552,2,3,6,13.6,0,0,1,True
Pascal Groß,Brighton,Fulham,2023-10-29,True,AMC,90,0,0.1075986474752426,1,0.123249813914299,6,1,2,7.8,1,0,1,True
Pascal Groß,Brighton,Everton,2023-11-04,False,DL,90,0,0.0581910498440265,0,0.0857001766562461,2,1,1,4.1,0,0,1,True
Pascal Groß,Brighton,Sheffield,2023-11-12,True,DR,90,0,0.0,0,0.1163040697574615,3,0,2,4.7,1,0,1,True
Pascal Groß,Brighton,Nottingham Forest,2023-11-25,False,DMC,90,0,0.0,2,0.3119509220123291,9,0,6,14.2,1,0,2,True
Pascal Groß,Brighton,Chelsea,2023-12-03,False,Sub,33,0,0.1565579175949096,0,0.1314859390258789,0,4,2,9.2,0,0,1,False
Pascal Groß,Brighton,Brentford,2023-12-06,True,DL,90,1,0.604012131690979,1,0.092943400144577,12,3,1,10.8,2,0,1,True
Pascal Groß,Brighton,Burnley,2023-12-09,True,DR,90,0,0.3923504054546356,1,0.7692087888717651,7,4,5,17.8,2,0,1,True
Pascal Groß,Brighton,Arsenal,2023-12-17,False,DMC,90,0,0.4596072435379028,0,0.1943303495645523,1,1,4,8.9,0,0,2,True
Pascal Groß,Brighton,Crystal Palace,2023-12-21,False,AMC,90,0,0.0791051685810089,1,0.5881560444831848,7,3,6,13.9,2,0,1,True
Pascal Groß,Brighton,Tottenham,2023-12-28,True,MC,90,0,0.0,0,0.4791389405727386,2,0,3,8.2,0,0,2,True
Pascal Groß,Brighton,Wolverhampton,2023-08-19,False,DMC,80,0,0.0,0,0.1553851962089538,1,0,2,3.2,0,0,1,True
Pascal Groß,Brighton,West Ham,2024-01-02,False,MC,90,0,0.5552572011947632,0,0.1255072951316833,3,5,2,8.5,0,1,0,True
Pascal Groß,Brighton,Wolverhampton,2024-01-22,True,MC,90,0,0.0,0,0.7601121068000793,3,0,4,9.2,0,1,0,True
Pascal Groß,Brighton,Luton,2024-01-30,False,MC,90,0,0.1222659945487976,0,0.1396899074316024,2,2,1,5.3,0,0,4,True
Pascal Groß,Brighton,Crystal Palace,2024-02-03,True,MC,90,0,0.08323934674263,2,0.8828259110450745,11,3,3,10.5,3,0,1,True
Pascal Groß,Brighton,Tottenham,2024-02-10,False,MC,90,1,0.7611688375473022,0,0.0,10,1,0,8.6,3,0,2,True
Pascal Groß,Brighton,Sheffield,2024-02-18,False,DMC,90,0,0.6612131595611572,1,1.026791214942932,8,3,8,19.1,2,1,0,True
Pascal Groß,Brighton,Everton,2024-02-24,True,DMC,90,0,0.0798316895961761,1,0.2130424827337265,7,1,6,13.5,3,0,1,True
Pascal Groß,Brighton,Fulham,2024-03-02,False,Sub,31,0,0.0,0,0.0,1,0,0,1.3,0,0,1,False
Pascal Groß,Brighton,Nottingham Forest,2024-03-10,True,DMC,90,0,0.0,0,0.1004698649048805,8,0,3,7.6,2,1,0,True
Pascal Groß,Brighton,West Ham,2023-08-26,True,DMC,90,1,0.1255448907613754,0,0.2588167786598205,10,5,6,19.8,3,0,3,True
Pascal Groß,Brighton,Liverpool,2024-03-31,False,DMC,90,0,0.0,0,0.0508447289466857,1,0,2,5.2,0,0,2,True
Pascal Groß,Brighton,Brentford,2024-04-03,False,DMC,90,0,0.01716542057693,0,0.1755735129117965,3,1,7,13.7,0,1,0,True
Pascal Groß,Brighton,Arsenal,2024-04-06,True,DMC,90,0,0.0,0,0.0376420393586158,2,0,1,3.9,0,0,3,True
Pascal Groß,Brighton,Burnley,2024-04-13,False,DMC,90,0,0.0838360711932182,0,0.1400678902864456,3,3,4,10.1,1,0,1,True
Pascal Groß,Brighton,Manchester City,2024-04-25,True,AMC,90,0,0.035191137343645,0,0.0,2,1,0,4.5,0,0,4,True
Pascal Groß,Brighton,Bournemouth,2024-04-28,False,DMC,90,0,0.0,0,0.1548572182655334,2,0,2,6.4,0,0,3,True
Pascal Groß,Brighton,Aston Villa,2024-05-05,True,DMC,90,0,0.3386480212211609,0,0.0741590559482574,2,2,1,5.8,0,1,0,True
Pascal Groß,Brighton,Newcastle United,2024-05-11,False,DMC,90,0,0.0180386137217283,0,0.2218218594789505,2,1,4,8.3,0,0,1,True
Pascal Groß,Brighton,Chelsea,2024-05-15,True,DMC,90,0,0.5461887121200562,0,0.0258680470287799,2,1,1,6.4,0,0,2,True
Pascal Groß,Brighton,Manchester United,2024-05-19,True,DMC,90,0,0.0352330841124057,0,0.2335004359483719,2,1,4,7.9,0,0,2,True
Pascal Groß,Brighton,Newcastle United,2023-09-02,True,DMC,88,0,0.0,0,0.0128172021359205,3,0,1,5.8,0,1,0,True
Pascal Groß,Brighton,Manchester United,2023-09-16,False,DMC,90,1,0.1498081982135772,0,0.0,10,2,0,7.6,3,0,1,True
Pascal Groß,Brighton,Liverpool,2023-10-08,True,DMC,90,0,0.1148309409618377,0,0.0132899181917309,2,2,1,3.0,0,0,2,True
Pascal Groß,Brighton,Manchester City,2023-10-21,False,DMC,90,0,0.0984459146857261,0,0.0,2,1,0,1.5,0,0,2,True
