name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Ross Barkley,Luton,Aston Villa,2023-10-29,False,MC,90,0,0.23,0,0.0,2,4,0,6.0,0,0,3,True,0.0,0.0,90.0,0,0,0,0,0,2
Ross Barkley,Luton,Liverpool,2023-11-05,True,MC,90,0,0.03,0,0.0,2,2,0,4.1,0,0,1,True,2.0,0.23,90.0,0,0,0,0,0,2
Ross Barkley,Luton,Manchester United,2023-11-11,False,MC,90,0,0.08,0,0.06,2,2,2,4.2,0,0,1,True,2.0,0.13,90.0,0,0,0,0,0,1
Ross Barkley,Luton,Crystal Palace,2023-11-25,True,MC,90,0,0.03,0,0.0,1,1,0,2.0,0,0,1,True,2.0,0.11,90.0,0,0,0,0,0,5
Ross Barkley,Luton,Brentford,2023-12-02,False,MC,90,0,0.06,0,0.02,5,3,1,3.6,0,0,3,True,1.75,0.09,90.0,0,0,0,0,0,6
Ross Barkley,Luton,Arsenal,2023-12-05,True,MC,90,1,0.06,0,0.03,6,1,1,8.7,0,0,4,True,2.4,0.09,90.0,0,0,0,0,0,2
Ross Barkley,Luton,Manchester City,2023-12-10,True,MC,90,0,0.02,0,0.0,2,1,0,1.6,0,0,2,True,3.2,0.05,90.0,0,0,0,0,0,5
Ross Barkley,Luton,Newcastle United,2023-12-23,True,MC,90,0,0.18,1,1.08,5,5,2,5.6,0,1,0,True,3.2,0.05,90.0,0,0,0,0,0,2
Ross Barkley,Luton,Sheffield,2023-12-26,False,MC,90,0,0.14,0,0.07,2,3,2,7.3,0,0,2,True,3.8,0.27,90.0,0,0,0,0,0,8
Ross Barkley,Luton,Chelsea,2023-12-30,True,MC,90,1,0.33,0,0.19,8,5,1,10.2,1,0,3,True,4.0,0.29,90.0,0,0,0,0,0,2
Ross Barkley,Luton,Burnley,2024-01-12,False,MC,90,0,0.14,0,0.18,2,4,4,9.3,0,0,1,True,4.6,0.35,90.0,0,0,0,0,0,6
Ross Barkley,Luton,Brighton,2024-01-30,True,MC,81,0,0.05,1,1.01,6,1,5,9.7,0,1,0,True,3.8,0.36,89.25,0,0,0,0,0,13
Ross Barkley,Luton,Newcastle United,2024-02-03,False,MC,90,1,0.6,1,0.72,13,2,4,17.3,3,0,4,True,4.6,0.57,89.31,0,0,0,0,0,2
Ross Barkley,Luton,Sheffield,2024-02-10,True,MC,90,0,0.15,0,0.19,2,3,3,7.0,0,0,3,True,6.2,0.65,89.36,0,0,0,0,0,2
Ross Barkley,Luton,Manchester United,2024-02-18,True,MC,90,0,0.05,0,0.2,2,2,4,7.7,0,0,2,True,6.2,0.65,89.4,0,0,0,0,0,1
Ross Barkley,Luton,Liverpool,2024-02-21,False,MC,90,0,0.06,0,0.16,1,2,2,5.7,0,0,4,True,5.0,0.6,89.44,0,0,0,0,0,2
Ross Barkley,Luton,Aston Villa,2024-03-02,True,MC,90,0,0.07,0,0.03,2,2,1,2.5,0,0,3,True,4.8,0.58,89.47,0,0,0,0,0,2
Ross Barkley,Luton,Crystal Palace,2024-03-09,False,MC,90,0,0.03,0,0.03,2,1,1,3.5,0,0,1,True,4.0,0.38,89.5,0,0,0,0,0,7
Ross Barkley,Luton,Bournemouth,2024-03-13,False,MC,87,1,1.02,0,0.06,7,2,1,7.8,0,0,4,True,1.8,0.07,89.37,0,0,0,0,0,2
Ross Barkley,Luton,Nottingham Forest,2024-03-16,True,MC,90,0,0.09,0,0.0,2,3,0,5.4,0,0,1,True,2.8,0.24,89.4,0,0,0,0,0,2
Ross Barkley,Luton,Chelsea,2023-08-25,False,MC,76,0,0.08,0,0.0,2,2,0,1.2,0,0,3,True,2.8,0.25,88.76,0,0,0,0,0,4
Ross Barkley,Luton,Tottenham,2024-03-30,False,MC,90,0,0.02,1,0.13,4,1,2,5.9,0,0,2,True,3.0,0.26,88.82,0,0,0,0,0,2
Ross Barkley,Luton,Arsenal,2024-04-03,False,MC,90,0,0.19,0,0.0,2,2,0,2.7,0,0,2,True,3.4,0.45,88.87,0,0,0,0,0,2
Ross Barkley,Luton,Bournemouth,2024-04-06,True,MC,90,0,0.1,0,0.03,2,5,1,5.0,0,0,1,True,3.4,0.48,88.92,0,0,0,0,0,7
Ross Barkley,Luton,Manchester City,2024-04-13,False,MC,90,1,0.35,0,0.0,7,1,0,5.6,0,0,5,True,2.4,0.29,88.96,0,0,0,0,0,2
Ross Barkley,Luton,Brentford,2024-04-20,True,MC,90,0,0.0,0,0.0,2,0,0,2.2,0,0,5,True,3.4,0.35,89.0,0,0,0,0,0,2
Ross Barkley,Luton,Wolverhampton,2024-04-27,False,MC,77,0,0.04,0,0.0,2,1,0,2.5,0,0,2,True,3.4,0.33,88.56,0,0,0,0,0,2
Ross Barkley,Luton,Everton,2024-05-03,True,MC,90,0,0.14,0,0.01,2,3,1,4.4,0,0,1,True,3.0,0.13,88.61,0,0,0,0,0,0
Ross Barkley,Luton,West Ham,2024-05-11,False,MC,38,0,0.0,0,0.08,0,0,1,2.2,0,0,0,True,3.0,0.13,86.86,0,0,0,0,0,2
Ross Barkley,Luton,West Ham,2023-09-01,True,MC,70,0,0.16,0,0.54,2,2,4,7.7,0,0,1,True,2.6,0.11,86.3,0,0,0,0,0,1
Ross Barkley,Luton,Tottenham,2023-10-07,True,Sub,9,0,0.0,0,0.0,1,0,0,0.0,0,0,0,False,1.6,0.07,83.81,0,0,0,0,0,1
Ross Barkley,Luton,Nottingham Forest,2023-10-21,False,Sub,18,0,0.0,0,0.0,1,0,0,0.1,0,0,1,False,1.4,0.07,81.75,0,0,0,0,0,
