name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Emerson Aparecido Leite de Souza Junior,Spurs,Crystal Palace,,False,90,,,,,1,,,2.3,0,0,3
Emerson Aparecido Leite de Souza Junior,Spurs,Chelsea,2021-09-19,True,90,0.0,0.0,0.0,0.0974581837654113,1,0.0,1.0,4.5,0,0,3
Emerson Aparecido Leite de Souza Junior,Spurs,Arsenal,,False,45,,,,,1,,,1.7,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Aston Villa,,True,90,,,,,2,,,6.6,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Newcastle United,,False,90,,,,,0,,,1.8,0,0,2
Emerson Aparecido Leite de Souza Junior,Spurs,West Ham,2021-10-24,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester United,2021-10-30,True,90,0.0,0.0,0.0,0.0234889518469572,1,0.0,1.0,4.6,0,0,3
Emerson Aparecido Leite de Souza Junior,Spurs,Everton,2021-11-07,False,90,0.0,0.0527406670153141,0.0,0.0176112372428178,6,1.0,1.0,1.9,0,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Leicester City,,True,90,,,,,1,,,3.2,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Brentford,,True,82,,,,,8,,,1.3,2,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Norwich,2021-12-05,True,0,0.0,0.0401756726205349,0.0,0.3030613362789154,0,1.0,5.0,0.0,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Liverpool,,True,90,,,,,0,,,4.4,0,0,2
Emerson Aparecido Leite de Souza Junior,Spurs,Crystal Palace,,True,90,,,,,11,,,13.1,2,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Southampton,,False,76,,,,,2,,,1.4,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Watford,,False,90,,,,,8,,,13.9,2,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Leeds United,,False,45,,,,,1,,,5.2,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Chelsea,,False,0,,,,,0,,,0.0,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Southampton,,True,90,,,,,1,,,1.6,0,0,3
Emerson Aparecido Leite de Souza Junior,Spurs,Wolverhampton,,True,8,,,,,1,,,1.4,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester City,2022-02-19,False,82,0.0,0.0,0.0,0.0,2,0.0,0.0,2.2,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Burnley,,False,64,,,,,6,,,7.1,0,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Leicester City,,False,12,,,,,1,,,0.4,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Everton,,True,0,,,,,0,,,0.0,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester United,,False,0,,,,,0,,,0.0,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Brighton,,False,10,,,,,1,,,1.6,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,West Ham,,True,2,,,,,1,,,2.0,0,0,0
Emerson Aparecido Leite de Souza Junior,Spurs,Newcastle United,2022-04-03,True,80,0.0,0.0,0.0,0.0120096029713749,8,0.0,1.0,9.4,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Aston Villa,,False,90,,,,,5,,,2.1,0,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Brighton,,True,90,,,,,1,,,1.7,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Brentford,,False,85,,,,,8,,,3.2,2,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Leeds United,2022-05-01,True,90,0.0,0.0637580975890159,0.0,0.3941249549388885,2,1.0,1.0,2.2,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Liverpool,,False,90,,,,,2,,,6.2,0,0,1
Emerson Aparecido Leite de Souza Junior,Spurs,Arsenal,,True,90,,,,,6,,,6.7,0,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Burnley,,True,89,,,,,6,,,4.9,0,1,0
Emerson Aparecido Leite de Souza Junior,Spurs,Norwich,,False,72,,,,,6,,,0.0,0,1,0
