name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability
William Troost-Ekong,Watford,Aston Villa,2021-08-14,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,0,2,0.0,0.0,90.0,0.0
William Troost-Ekong,Watford,Southampton,2021-10-30,True,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,0,1,1.0,0.0,90.0,0.0
William Troost-Ekong,Watford,Arsenal,,False,,0,,,,,0,,,0.0,0,0,0,1.5,0.0,60.0,0.0
William Troost-Ekong,Watford,Manchester United,2021-11-20,True,Sub,26,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,1.0,0.0,51.5,0.0
William Troost-Ekong,Watford,Leeds United,2021-11-28,False,DC,90,0.0,0.09,0.0,0.0,0,1.0,0.0,0.7,0,0,4,1.0,0.0,59.2,0.0
William Troost-Ekong,Watford,Chelsea,2021-12-01,True,DC,90,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0,0,2,0.8,0.02,64.33,0.0
William Troost-Ekong,Watford,Manchester City,2021-12-04,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0,0,3,0.6,0.02,68.0,0.0
William Troost-Ekong,Watford,Brentford,2021-12-10,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,2,0.4,0.02,70.75,0.0
William Troost-Ekong,Watford,Brighton,2021-08-21,False,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,3.3,0,0,2,0.6,0.02,72.89,0.0
William Troost-Ekong,Watford,West Ham,,True,,0,,,,,0,,,0.0,0,0,0,0.6,0.02,65.6,0.0
William Troost-Ekong,Watford,Tottenham,2022-01-01,True,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.6,0,0,1,0.6,0.0,67.82,0.0
William Troost-Ekong,Watford,Newcastle United,,False,,0,,,,,0,,,0.0,0,0,0,1.0,0.0,62.17,0.0
William Troost-Ekong,Watford,Norwich,,True,,0,,,,,0,,,0.0,0,0,0,0.8,0.0,57.38,0.0
William Troost-Ekong,Watford,Burnley,,False,,0,,,,,0,,,0.0,0,0,0,0.6,0.0,53.29,0.0
William Troost-Ekong,Watford,West Ham,,False,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,49.73,0.0
William Troost-Ekong,Watford,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,46.62,0.0
William Troost-Ekong,Watford,Aston Villa,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,43.88,0.0
William Troost-Ekong,Watford,Crystal Palace,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,41.44,0.0
William Troost-Ekong,Watford,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,39.26,0.0
William Troost-Ekong,Watford,Arsenal,,True,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,37.3,0.0
William Troost-Ekong,Watford,Wolverhampton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,35.52,0.0
William Troost-Ekong,Watford,Southampton,,False,,0,,,,,0,,,0.0,0,0,0,0.0,0.0,33.91,0.0
William Troost-Ekong,Watford,Tottenham,2021-08-29,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.2,0,0,1,0.0,0.0,36.35,0.0
William Troost-Ekong,Watford,Liverpool,,False,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,34.83,0.0
William Troost-Ekong,Watford,Leicester City,,True,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,33.44,0.0
William Troost-Ekong,Watford,Brentford,,True,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,32.15,0.0
William Troost-Ekong,Watford,Manchester City,,False,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,30.96,0.0
William Troost-Ekong,Watford,Burnley,,True,,0,,,,,0,,,0.0,0,0,0,0.4,0.0,29.86,0.0
William Troost-Ekong,Watford,Crystal Palace,2022-05-07,False,Sub,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0,0.0,0.0,29.24,0.0
William Troost-Ekong,Watford,Everton,,True,,0,,,,,0,,,0.0,0,0,0,0.2,0.0,28.27,0.0
William Troost-Ekong,Watford,Leeds United,,True,,0,,,,,0,,,0.0,0,0,0,0.2,0.0,27.35,0.0
William Troost-Ekong,Watford,Chelsea,,False,,0,,,,,0,,,0.0,0,0,0,0.2,0.0,26.5,0.0
William Troost-Ekong,Watford,Wolverhampton,2021-09-11,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,2,0.2,0.0,28.42,0.0
William Troost-Ekong,Watford,Norwich,2021-09-18,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.5,0,0,1,0.4,0.0,30.24,0.0
William Troost-Ekong,Watford,Newcastle United,2021-09-25,True,DC,90,0.0,0.01,0.0,0.0,1,1.0,0.0,1.6,0,0,1,0.6,0.0,31.94,0.0
William Troost-Ekong,Watford,Leicester City,2021-10-02,False,DC,90,0.0,0.0,0.0,0.07,2,0.0,1.0,4.7,0,0,1,0.8,0.0,33.56,0.0
William Troost-Ekong,Watford,Liverpool,2021-10-16,True,DC,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.3,0,0,5,1.2,0.0,35.08,0.0
