name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game
Edward Nketiah,Arsenal,Brentford,,False,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Edward Nketiah,Arsenal,Leeds United,,False,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Edward Nketiah,Arsenal,Watford,,True,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Edward Nketiah,Arsenal,Liverpool,,False,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Edward Nketiah,Arsenal,Newcastle United,,True,,0,,,,,0,,,0.0,0,0.0,0.0,0.0
Edward Nketiah,Arsenal,Manchester United,2021-12-02,False,Sub,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0.0,0.0,1.83
Edward Nketiah,Arsenal,Everton,2021-12-06,False,Sub,19,0.0,0.48,0.0,0.27,1,1.0,3.0,5.1,0,0.2,0.0,4.29
Edward Nketiah,Arsenal,Southampton,,True,,0,,,,,0,,,0.0,0,0.4,0.1,3.75
Edward Nketiah,Arsenal,West Ham,2021-12-15,True,Sub,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0.4,0.1,4.22
Edward Nketiah,Arsenal,Leicester City,,False,,0,,,,,0,,,0.0,0,0.6,0.1,3.8
Edward Nketiah,Arsenal,Norwich,,False,,0,,,,,0,,,0.0,0,0.6,0.1,3.45
Edward Nketiah,Arsenal,Chelsea,,True,,0,,,,,0,,,0.0,0,0.4,0.1,3.17
Edward Nketiah,Arsenal,Manchester City,,True,,0,,,,,0,,,0.0,0,0.2,0.0,2.92
Edward Nketiah,Arsenal,Burnley,2022-01-23,True,Sub,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0.2,0.0,3.64
Edward Nketiah,Arsenal,Wolverhampton,2022-02-10,False,Sub,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.2,0.0,4.0
Edward Nketiah,Arsenal,Brentford,2022-02-19,True,Sub,6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.4,0.0,4.12
Edward Nketiah,Arsenal,Wolverhampton,2022-02-24,True,Sub,14,0.0,0.0,1.0,0.51,4,0.0,1.0,3.6,0,0.6,0.0,4.71
Edward Nketiah,Arsenal,Watford,2022-03-06,False,Sub,10,0.0,0.1,0.0,0.0,0,1.0,0.0,0.0,0,1.4,0.2,5.0
Edward Nketiah,Arsenal,Leeds United,2022-03-13,True,Sub,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.4,0.22,4.84
Edward Nketiah,Arsenal,Liverpool,2022-03-16,True,Sub,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,1.4,0.22,5.1
Edward Nketiah,Arsenal,Manchester City,,False,,0,,,,,0,,,0.0,0,1.4,0.22,4.86
Edward Nketiah,Arsenal,Aston Villa,2022-03-19,False,Sub,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,1.2,0.22,5.18
Edward Nketiah,Arsenal,Crystal Palace,2022-04-04,False,Sub,24,0.0,0.03,0.0,0.34,1,1.0,1.0,2.0,0,0.6,0.02,6.0
Edward Nketiah,Arsenal,Brighton,2022-04-09,True,Sub,28,0.0,0.66,0.0,0.08,1,2.0,1.0,4.1,0,0.8,0.01,6.92
Edward Nketiah,Arsenal,Southampton,2022-04-16,False,FW,90,0.0,0.09,0.0,0.03,2,1.0,1.0,4.0,0,0.8,0.14,10.24
Edward Nketiah,Arsenal,Chelsea,2022-04-20,False,FW,69,2.0,0.67,0.0,0.0,13,5.0,0.0,12.3,3,1.0,0.16,12.5
Edward Nketiah,Arsenal,Manchester United,2022-04-23,True,FW,90,0.0,0.46,0.0,0.13,2,1.0,2.0,5.6,0,3.6,0.29,15.37
Edward Nketiah,Arsenal,West Ham,2022-05-01,False,FW,90,0.0,0.4,0.0,0.06,1,6.0,1.0,8.6,0,3.8,0.38,18.04
Edward Nketiah,Arsenal,Leicester City,2022-05-08,True,FW,90,2.0,1.36,0.0,0.0,13,5.0,0.0,15.5,3,3.8,0.46,20.52
Edward Nketiah,Arsenal,Tottenham,2022-05-12,False,FW,72,0.0,0.05,0.0,0.0,2,1.0,0.0,2.3,0,6.2,0.6,22.23
Edward Nketiah,Arsenal,Newcastle United,2022-05-16,False,FW,90,0.0,0.04,0.0,0.09,1,1.0,1.0,4.1,0,6.2,0.59,24.42
Edward Nketiah,Arsenal,Everton,2022-05-22,True,FW,66,1.0,0.64,0.0,0.16,6,3.0,2.0,0.0,0,3.8,0.46,25.72
Edward Nketiah,Arsenal,Norwich,,True,,0,,,,,0,,,0.0,0,4.6,0.5,24.94
Edward Nketiah,Arsenal,Burnley,,False,,0,,,,,0,,,0.0,0,4.4,0.42,24.21
Edward Nketiah,Arsenal,Tottenham,,True,,0,,,,,0,,,0.0,0,1.8,0.15,23.51
Edward Nketiah,Arsenal,Brighton,,False,,0,,,,,0,,,0.0,0,1.4,0.14,22.86
Edward Nketiah,Arsenal,Crystal Palace,,True,,0,,,,,0,,,0.0,0,1.2,0.13,22.24
Edward Nketiah,Arsenal,Aston Villa,,True,,0,,,,,0,,,0.0,0,0.0,0.0,21.66
