name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus
Jesurun Rak-Sakyi,Crystal Palace,Chelsea,2021-08-14,False,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0
Jesurun Rak-Sakyi,Crystal Palace,Brentford,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,West Ham,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Tottenham,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Liverpool,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Brighton,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Leeds United,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Arsenal,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Newcastle United,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Manchester City,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Wolverhampton,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Burnley,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Aston Villa,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Leicester City,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Manchester United,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Everton,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Southampton,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Tottenham,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Norwich,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,West Ham,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Brighton,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Liverpool,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Norwich,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Brentford,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Chelsea,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Watford,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Burnley,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Wolverhampton,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Manchester City,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Arsenal,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Leeds United,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Newcastle United,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Leicester City,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Southampton,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Watford,,True,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Aston Villa,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Everton,,False,0,,,,,0,,,0.0,0
Jesurun Rak-Sakyi,Crystal Palace,Manchester United,2022-05-22,True,66,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0
