name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points
Filip Marschall,Aston Villa,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Tottenham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Wolverhampton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Leicester City,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Southampton,2023-01-21,False,0,0,0.0,0,0,0,0,0,0.12,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Leeds United,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Manchester City,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Arsenal,2023-02-18,True,0,0,0.0,0,0,0,0,0,0.17,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Everton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Crystal Palace,2023-03-04,True,0,0,0.0,0,0,0,0,0,0.73,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,West Ham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Chelsea,2023-04-01,False,0,0,0.0,0,0,0,0,0,0.27,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Leeds United,2023-04-04,False,0,0,0.0,0,0,0,0,0,0.06,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Nottingham Forest,2023-04-08,True,0,0,0.0,0,0,0,0,0,0.12,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Newcastle United,2023-04-15,True,0,0,0.0,0,0,0,0,0,0.13,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Fulham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Manchester United,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Wolverhampton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Tottenham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0,0.0
Filip Marschall,Aston Villa,Brighton,2023-05-28,True,0,0,0.0,0,0,0,0,0,0.25,0,0.0,0,0.0,0,0,0,0,0,0.0
