name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Hugo Lloris,Spurs,Southampton,2022-08-06,True,90,1,0.0,1,0,2,0,0,0.0,0,2.0,0,90.0,0.0,1.0,0.42,97,0,1.0,Spurs,False,Chelsea,3.74,-0.72
Hugo Lloris,Spurs,Chelsea,2022-08-14,False,90,2,0.0,1,0,1,0,0,0.0,0,1.5,0,90.0,0.0,1.0,0.42,97,0,9.0,Spurs,True,Wolverhampton,5.81,-0.48
Hugo Lloris,Spurs,Wolverhampton,2022-08-20,True,90,0,0.0,3,0,9,2,1,0.0,0,4.0,0,90.0,0.33,1.67,0.42,97,0,6.0,Spurs,False,Nottingham Forest,,
Hugo Lloris,Spurs,Nottingham Forest,2022-08-28,False,90,0,0.0,1,0,6,0,1,0.0,0,4.5,0,90.0,0.5,1.5,0.42,97,0,5.0,Spurs,False,West Ham,3.49,0.14
Hugo Lloris,Spurs,West Ham,2022-08-31,False,90,1,0.0,3,0,5,2,0,0.0,0,4.6,0,90.0,0.4,1.8,0.42,97,0,2.0,Spurs,True,Fulham,,-0.3
Hugo Lloris,Spurs,Fulham,2022-09-03,True,90,1,0.0,2,0,2,0,0,0.0,0,4.6,0,90.0,0.33,1.83,0.42,97,0,2.0,Spurs,True,Leeds United,-1.47,-0.79
Hugo Lloris,Spurs,Leeds United,2022-09-17,True,90,2,0.0,5,0,2,0,0,0.0,0,4.8,0,90.0,0.29,2.29,0.42,97,0,3.0,Spurs,False,Arsenal,4.98,-0.0
Hugo Lloris,Spurs,Arsenal,2022-10-01,False,90,3,0.0,6,0,3,0,0,0.0,0,3.6,0,90.0,0.25,2.75,0.42,97,0,10.0,Spurs,False,Brighton,-2.68,-0.39
Hugo Lloris,Spurs,Brighton,2022-10-08,False,90,0,0.0,4,0,10,3,1,0.0,0,4.4,0,90.0,0.33,2.89,0.42,97,0,6.0,Spurs,True,Everton,-5.21,0.34
Hugo Lloris,Spurs,Everton,2022-10-15,True,90,0,0.0,0,0,6,0,1,0.0,0,4.6,0,90.0,0.4,2.6,0.42,97,0,3.0,Spurs,False,Manchester United,4.8,-0.1
Hugo Lloris,Spurs,Manchester United,2022-10-19,False,90,2,0.0,8,0,3,0,0,0.0,0,4.8,0,90.0,0.36,3.09,0.42,97,0,2.0,Spurs,True,Newcastle United,-3.79,0.73
Hugo Lloris,Spurs,Newcastle United,2022-10-23,True,90,2,0.0,3,0,2,0,0,0.0,0,4.8,0,90.0,0.33,3.08,0.42,97,0,1.0,Spurs,False,Bournemouth,,0.19
Hugo Lloris,Spurs,Bournemouth,2022-10-29,False,90,2,0.0,2,0,1,0,0,0.0,0,4.4,0,90.0,0.31,3.0,0.42,97,0,2.0,Spurs,True,Liverpool,0.32,-0.53
Hugo Lloris,Spurs,Liverpool,2022-11-06,True,90,2,0.0,4,0,2,0,0,0.0,0,2.8,0,90.0,0.29,3.07,0.42,97,0,1.0,Spurs,True,Leicester City,-0.2,0.83
Hugo Lloris,Spurs,Leicester City,2022-11-12,True,90,3,1.21,2,0,1,0,0,0.0,1,1.8,0,90.0,0.27,3.0,0.42,97,0,0.0,Spurs,False,Brentford,1.4,-0.55
Hugo Lloris,Spurs,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,1.2,0,84.38,0.27,3.0,0.42,97,0,1.0,Spurs,True,Aston Villa,-0.44,0.55
Hugo Lloris,Spurs,Aston Villa,2023-01-01,True,90,2,1.0,2,0,1,0,0,0.0,1,1.0,0,84.71,0.25,2.94,0.42,97,0,7.0,Spurs,False,Crystal Palace,7.24,0.13
Hugo Lloris,Spurs,Crystal Palace,2023-01-04,False,90,0,0.79,4,0,7,0,1,0.0,1,2.2,0,85.0,0.29,3.0,0.42,97,0,0.0,Spurs,True,Arsenal,-2.81,0.36
Hugo Lloris,Spurs,Arsenal,2023-01-15,True,90,2,1.66,4,0,0,0,0,0.0,1,1.8,0,85.26,0.28,3.06,0.42,97,0,0.0,Spurs,False,Manchester City,-2.29,-1.26
Hugo Lloris,Spurs,Manchester City,2023-01-19,False,90,4,2.45,2,0,0,0,0,0.0,1,1.6,0,85.5,0.26,3.0,0.42,97,0,9.0,Spurs,False,Fulham,,1.37
Hugo Lloris,Spurs,Fulham,2023-01-23,False,90,0,1.18,5,0,9,2,1,0.0,1,3.4,0,85.71,0.3,3.1,0.42,97,0,10.0,Spurs,True,Manchester City,-0.19,-1.17
Hugo Lloris,Spurs,Manchester City,2023-02-05,True,90,0,0.97,5,0,10,3,1,0.0,1,5.2,0,85.91,0.33,3.19,0.42,97,0,0.0,Spurs,False,Leeds United,1.08,-0.8
Hugo Lloris,Spurs,Leeds United,,False,0,0,0.0,0,0,0,0,0,,0,3.8,0,82.17,0.33,3.19,0.42,97,0,0.0,Spurs,True,West Ham,,0.63
Hugo Lloris,Spurs,West Ham,,True,0,0,0.0,0,0,0,0,0,,0,3.8,0,78.75,0.33,3.19,0.42,97,0,0.0,Spurs,True,Chelsea,5.76,-0.25
Hugo Lloris,Spurs,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,3.8,0,75.6,0.33,3.19,0.42,97,0,0.0,Spurs,False,Wolverhampton,-1.1,-0.46
Hugo Lloris,Spurs,Wolverhampton,,False,0,0,0.0,0,0,0,0,0,,0,2.0,0,72.69,0.33,3.19,0.42,97,0,0.0,Spurs,True,Nottingham Forest,,
Hugo Lloris,Spurs,Nottingham Forest,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,70.0,0.33,3.19,0.42,97,0,0.0,Spurs,False,Southampton,-0.01,-1.07
Hugo Lloris,Spurs,Southampton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,67.5,0.33,3.19,0.42,97,0,3.0,Spurs,False,Everton,-0.37,-0.63
Hugo Lloris,Spurs,Everton,2023-04-03,False,90,1,0.88,5,0,3,0,0,0.0,1,0.6,0,68.28,0.32,3.27,0.42,97,0,3.0,Spurs,True,Brighton,,-0.71
Hugo Lloris,Spurs,Brighton,2023-04-08,True,90,1,1.43,3,0,3,0,0,0.0,1,1.2,0,69.0,0.3,3.26,0.42,97,0,2.0,Spurs,True,Bournemouth,,1.46
Hugo Lloris,Spurs,Bournemouth,2023-04-15,True,90,3,0.94,3,0,2,0,0,0.0,1,1.6,0,69.68,0.29,3.25,0.42,97,0,-1.0,Spurs,False,Newcastle United,0.79,-0.34
Hugo Lloris,Spurs,Newcastle United,2023-04-23,False,45,5,2.23,1,0,-1,0,0,0.0,1,1.4,0,68.91,0.28,3.16,0.42,97,0,0.0,Spurs,True,Manchester United,5.3,0.38
Hugo Lloris,Spurs,Manchester United,,True,0,0,0.0,0,0,0,0,0,,0,1.4,0,66.82,0.28,3.16,0.42,97,0,0.0,Spurs,False,Liverpool,,-1.33
Hugo Lloris,Spurs,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.8,0,64.85,0.28,3.16,0.42,97,0,0.0,Spurs,True,Crystal Palace,-3.09,0.81
Hugo Lloris,Spurs,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,0.2,0,63.0,0.28,3.16,0.42,97,0,0.0,Spurs,False,Aston Villa,,0.59
Hugo Lloris,Spurs,Aston Villa,,False,0,0,0.0,0,0,0,0,0,,0,-0.2,0,61.25,0.28,3.16,0.42,97,0,0.0,Spurs,True,Brentford,-3.15,0.69
Hugo Lloris,Spurs,Brentford,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,59.59,0.28,3.16,0.42,97,0,0.0,Spurs,False,Leicester City,,-0.05
Hugo Lloris,Spurs,Leicester City,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,58.03,0.28,3.16,0.42,97,0,,Spurs,False,Brentford,0.99,-0.55
