name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
David Ozoh,Crystal Palace,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
David Ozoh,Crystal Palace,Tottenham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
David Ozoh,Crystal Palace,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
David Ozoh,Crystal Palace,Manchester United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0
David Ozoh,Crystal Palace,Newcastle United,2023-01-21,True,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.2,0.0,0.2,0.0
David Ozoh,Crystal Palace,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.2,0.0,0.17,0.0
David Ozoh,Crystal Palace,Brighton,,True,0,,,,,0,,,0.0,0,0,0.2,0.0,0.14,0.0
David Ozoh,Crystal Palace,Brentford,,False,0,,,,,0,,,0.0,0,0,0.2,0.0,0.12,0.0
David Ozoh,Crystal Palace,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.2,0.0,0.11,0.0
David Ozoh,Crystal Palace,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.1,0.0
David Ozoh,Crystal Palace,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.09,0.0
David Ozoh,Crystal Palace,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.08,0.0
David Ozoh,Crystal Palace,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.08,0.0
David Ozoh,Crystal Palace,Leeds United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.07,0.0
David Ozoh,Crystal Palace,Leicester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.07,0.0
David Ozoh,Crystal Palace,Southampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.06,0.0
David Ozoh,Crystal Palace,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.06,0.0
David Ozoh,Crystal Palace,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.06,0.0
David Ozoh,Crystal Palace,West Ham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.05,0.0
David Ozoh,Crystal Palace,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.05,0.0
David Ozoh,Crystal Palace,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.05,0.0
David Ozoh,Crystal Palace,Fulham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.05,0.0
David Ozoh,Crystal Palace,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.04,
