name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Eberechi Eze,Crystal Palace,Arsenal,2022-08-05,True,85,0,0.38,0,0.0,2,1,0,3.6,0,0,2.0,0.38,85.0,1.0,1.0,0.46,0.97,0.05,6.0,Crystal Palace,False,Liverpool,7.24,-1.33
Eberechi Eze,Crystal Palace,Liverpool,2022-08-15,False,78,0,0.0,1,0.43,6,0,1,4.4,1,0,4.0,0.69,81.5,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,True,Aston Villa,3.41,0.55
Eberechi Eze,Crystal Palace,Aston Villa,2022-08-20,True,90,0,0.25,0,0.5,3,3,3,8.8,1,0,3.67,0.54,84.33,1.0,1.0,0.46,0.97,0.05,5.0,Crystal Palace,False,Manchester City,-3.8,-1.26
Eberechi Eze,Crystal Palace,Manchester City,2022-08-27,False,90,0,0.0,1,0.09,5,0,2,5.1,0,0,4.0,0.66,85.75,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,True,Brentford,0.41,0.69
Eberechi Eze,Crystal Palace,Brentford,2022-08-30,True,75,0,0.02,0,0.09,3,1,2,4.4,0,0,3.8,0.53,83.6,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,False,Newcastle United,2.94,-0.34
Eberechi Eze,Crystal Palace,Newcastle United,2022-09-03,False,61,0,0.07,0,0.06,3,1,1,3.0,0,0,4.0,0.47,79.83,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,True,Chelsea,1.66,-0.25
Eberechi Eze,Crystal Palace,Chelsea,2022-10-01,True,73,0,0.14,0,0.0,2,4,0,1.9,0,0,3.2,0.3,78.86,1.0,1.0,0.46,0.97,0.05,10.0,Crystal Palace,True,Leicester City,-0.38,0.83
Eberechi Eze,Crystal Palace,Leicester City,2022-10-09,True,90,1,0.4,0,0.63,10,3,2,9.9,3,0,4.6,0.33,80.25,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,False,Leeds United,2.13,-0.8
Eberechi Eze,Crystal Palace,Leeds United,2022-10-15,False,90,0,0.05,0,0.15,3,2,2,3.9,0,0,4.2,0.14,81.33,1.0,1.0,0.46,0.97,0.05,10.0,Crystal Palace,True,Wolverhampton,-2.67,-0.48
Eberechi Eze,Crystal Palace,Wolverhampton,2022-10-18,True,89,1,0.31,0,0.1,10,2,3,11.3,3,0,5.6,0.19,82.1,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,False,Everton,2.41,-0.63
Eberechi Eze,Crystal Palace,Everton,2022-10-22,False,90,0,0.16,0,0.17,2,2,4,8.0,0,0,5.4,0.21,82.82,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,True,Southampton,0.54,-0.38
Eberechi Eze,Crystal Palace,Southampton,2022-10-29,True,62,0,0.06,0,0.07,3,3,2,5.0,0,0,5.6,0.2,81.08,1.0,1.0,0.46,0.97,0.05,6.0,Crystal Palace,False,West Ham,0.59,0.14
Eberechi Eze,Crystal Palace,West Ham,2022-11-06,False,90,0,0.26,1,0.37,6,4,2,8.3,1,0,4.8,0.37,81.77,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,False,Nottingham Forest,,
Eberechi Eze,Crystal Palace,Nottingham Forest,2022-11-12,False,77,0,0.03,0,0.0,2,1,0,2.0,0,1,4.6,0.36,81.43,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,True,Fulham,,-0.3
Eberechi Eze,Crystal Palace,Fulham,2022-12-26,True,59,0,0.0,0,0.07,1,0,1,1.8,0,1,2.8,0.3,79.93,1.0,1.0,0.46,0.97,0.05,8.0,Crystal Palace,False,Bournemouth,,0.19
Eberechi Eze,Crystal Palace,Bournemouth,2022-12-31,False,73,1,0.13,0,0.13,8,4,3,10.5,0,1,4.0,0.3,79.5,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,True,Tottenham,-5.01,1.07
Eberechi Eze,Crystal Palace,Tottenham,2023-01-04,True,73,0,0.09,0,0.12,2,2,3,7.7,0,1,3.8,0.3,79.12,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,False,Chelsea,2.77,-0.72
Eberechi Eze,Crystal Palace,Chelsea,2023-01-15,False,69,0,0.03,0,0.06,1,1,1,2.1,0,1,2.8,0.06,78.56,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,True,Manchester United,-0.9,0.38
Eberechi Eze,Crystal Palace,Manchester United,2023-01-18,True,34,0,0.09,0,0.0,1,2,0,1.8,0,0,2.6,0.07,76.21,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,True,Newcastle United,1.62,0.73
Eberechi Eze,Crystal Palace,Newcastle United,2023-01-21,True,64,0,0.0,0,0.11,3,0,2,4.2,0,1,3.0,0.07,75.6,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,False,Manchester United,0.74,-0.1
Eberechi Eze,Crystal Palace,Manchester United,2023-02-04,False,17,0,0.18,0,0.0,1,2,0,1.4,0,0,1.6,0.08,72.81,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,True,Brighton,-0.1,-0.71
Eberechi Eze,Crystal Palace,Brighton,2023-02-11,True,19,0,0.03,0,0.0,1,1,0,0.2,0,0,1.4,0.07,70.36,1.0,1.0,0.46,0.97,0.05,9.0,Crystal Palace,False,Brentford,,-0.55
Eberechi Eze,Crystal Palace,Brentford,2023-02-18,False,27,1,0.56,0,0.0,9,1,0,7.9,3,0,3.0,0.17,68.48,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,True,Liverpool,,-0.53
Eberechi Eze,Crystal Palace,Liverpool,2023-02-25,True,19,0,0.0,0,0.0,1,0,0,0.7,0,0,3.0,0.15,66.42,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,False,Aston Villa,,0.59
Eberechi Eze,Crystal Palace,Aston Villa,2023-03-04,False,74,0,0.0,0,0.0,1,0,0,0.0,0,1,2.6,0.15,66.72,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,True,Manchester City,,-1.17
Eberechi Eze,Crystal Palace,Manchester City,2023-03-11,True,10,0,0.04,0,0.0,1,1,0,0.5,0,0,2.6,0.13,64.54,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,False,Brighton,,-0.39
Eberechi Eze,Crystal Palace,Brighton,2023-03-15,False,45,0,0.0,0,0.11,1,0,3,5.2,0,0,2.6,0.12,63.81,1.0,1.0,0.46,0.97,0.05,1.0,Crystal Palace,False,Arsenal,1.99,-0.0
Eberechi Eze,Crystal Palace,Arsenal,2023-03-19,False,8,0,0.0,0,0.08,1,0,1,1.9,0,0,1.0,0.01,61.82,1.0,1.0,0.46,0.97,0.05,4.0,Crystal Palace,True,Leeds United,3.21,-0.79
Eberechi Eze,Crystal Palace,Leeds United,2023-04-01,True,90,0,0.18,0,0.16,4,5,3,9.6,0,1,1.6,0.04,62.79,1.0,1.0,0.46,0.97,0.05,8.0,Crystal Palace,False,Leicester City,2.85,-0.05
Eberechi Eze,Crystal Palace,Leicester City,2023-04-09,False,90,1,0.5,0,0.16,8,1,3,11.8,1,1,3.0,0.14,63.7,1.0,1.0,0.46,0.97,0.05,16.0,Crystal Palace,False,Southampton,,-1.07
Eberechi Eze,Crystal Palace,Southampton,2023-04-15,False,90,2,0.57,0,0.0,16,3,0,11.5,3,1,6.0,0.25,64.55,1.0,1.0,0.46,0.97,0.05,3.0,Crystal Palace,True,Everton,-1.9,0.34
Eberechi Eze,Crystal Palace,Everton,2023-04-22,True,90,0,0.04,0,0.0,3,1,0,2.8,0,1,6.4,0.26,65.34,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,False,Wolverhampton,,-0.46
Eberechi Eze,Crystal Palace,Wolverhampton,2023-04-25,False,90,0,0.13,0,0.15,2,5,4,9.8,0,1,6.6,0.28,66.09,1.0,1.0,0.46,0.97,0.05,9.0,Crystal Palace,True,West Ham,,0.63
Eberechi Eze,Crystal Palace,West Ham,2023-04-29,True,90,1,0.8,0,0.19,9,2,4,13.9,2,1,7.6,0.4,66.79,1.0,1.0,0.46,0.97,0.05,2.0,Crystal Palace,False,Tottenham,6.04,-0.03
Eberechi Eze,Crystal Palace,Tottenham,2023-05-06,False,90,0,0.12,0,0.0,2,2,0,1.8,0,1,6.4,0.33,67.46,1.0,1.0,0.46,0.97,0.05,16.0,Crystal Palace,True,Bournemouth,,1.46
