name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Harry Wilson,Fulham,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Brentford,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Brighton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0
Harry Wilson,Fulham,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0
Harry Wilson,Fulham,West Ham,2022-10-09,False,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.2,0.0,1.44,1.0
Harry Wilson,Fulham,Bournemouth,2022-10-15,True,28,0.0,0.03,0.0,0.0,1,1.0,0.0,1.1,0,0,0.4,0.01,4.1,1.0
Harry Wilson,Fulham,Aston Villa,2022-10-20,True,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.6,0.01,4.18,2.0
Harry Wilson,Fulham,Leicester City,2022-10-23,False,62,0.0,0.14,0.0,0.0,2,2.0,0.0,3.2,0,0,1.0,0.03,9.0,1.0
Harry Wilson,Fulham,Everton,2022-10-29,True,23,0.0,0.02,0.0,0.09,1,1.0,1.0,1.4,0,0,1.2,0.04,10.08,5.0
Harry Wilson,Fulham,Manchester City,2022-11-05,False,75,0.0,0.05,0.0,0.0,5,1.0,0.0,0.8,0,0,2.0,0.05,14.71,1.0
Harry Wilson,Fulham,Manchester United,2022-11-13,True,58,0.0,0.04,0.0,0.0,1,1.0,0.0,0.0,0,1,2.0,0.05,17.6,1.0
Harry Wilson,Fulham,Crystal Palace,2022-12-26,False,9,0.0,0.05,0.0,0.1,1,1.0,1.0,2.2,0,0,2.0,0.06,17.06,0.0
Harry Wilson,Fulham,Southampton,,True,0,,,,,0,,,0.0,0,0,1.6,0.03,16.06,1.0
Harry Wilson,Fulham,Leeds United,2023-01-03,False,24,0.0,0.55,0.0,0.0,1,1.0,0.0,1.0,0,0,1.6,0.14,16.5,1.0
Harry Wilson,Fulham,Chelsea,2023-01-12,True,22,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0.8,0.13,16.79,1.0
Harry Wilson,Fulham,Newcastle United,2023-01-15,False,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0.8,0.12,16.0,1.0
Harry Wilson,Fulham,Tottenham,2023-01-23,True,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0.8,0.11,15.38,0.0
Harry Wilson,Fulham,Chelsea,2023-02-03,False,15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8,0,0,0.8,0.11,15.36,1.0
Harry Wilson,Fulham,Nottingham Forest,2023-02-11,True,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0.8,0.0,14.91,3.0
