name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Jefferson Lerma Solís,Bournemouth,Aston Villa,2022-08-06,True,90,1.0,0.1,0.0,0.0,10,1.0,0.0,5.9,2,0,10.0,0.1,90.0,0.0
Jefferson Lerma Solís,Bournemouth,Manchester City,2022-08-13,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7,0,0,5.0,0.05,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Arsenal,2022-08-20,True,90,0.0,0.01,0.0,0.0,2,1.0,0.0,1.6,0,0,4.0,0.04,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Liverpool,2022-08-27,False,90,0.0,0.02,0.0,0.0,2,1.0,0.0,1.0,0,0,3.5,0.04,90.0,3.0
Jefferson Lerma Solís,Bournemouth,Wolverhampton,2022-08-31,True,90,0.0,0.01,0.0,0.0,3,1.0,0.0,1.8,0,0,3.4,0.03,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Nottingham Forest,2022-09-03,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,0,1.8,0.01,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Newcastle United,2022-09-17,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.2,0,0,2.2,0.01,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Brentford,2022-10-01,True,90,0.0,0.46,0.0,0.0,2,3.0,0.0,5.6,0,0,2.2,0.1,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Leeds United,2022-10-08,True,90,0.0,0.0,0.0,0.06,2,0.0,1.0,2.6,0,0,2.2,0.09,90.0,7.0
Jefferson Lerma Solís,Bournemouth,Fulham,2022-10-15,False,90,1.0,0.43,0.0,0.0,7,3.0,0.0,8.6,0,0,3.0,0.18,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Southampton,2022-10-19,True,90,0.0,0.02,0.0,0.0,2,1.0,0.0,1.9,0,0,3.0,0.18,90.0,1.0
Jefferson Lerma Solís,Bournemouth,West Ham,2022-10-24,False,90,0.0,0.06,0.0,0.49,1,1.0,1.0,2.5,0,0,2.8,0.19,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Tottenham,2022-10-29,True,90,0.0,0.01,0.0,0.02,2,1.0,1.0,2.8,0,0,2.8,0.1,90.0,1.0
Jefferson Lerma Solís,Bournemouth,Leicester City,2022-11-05,False,90,0.0,0.08,0.0,0.05,1,1.0,1.0,5.9,0,0,2.6,0.12,90.0,3.0
Jefferson Lerma Solís,Bournemouth,Everton,2022-11-12,True,90,0.0,0.0,0.0,0.05,3,0.0,1.0,2.7,0,1,1.8,0.03,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Chelsea,2022-12-27,False,90,0.0,0.02,0.0,0.08,2,1.0,1.0,2.2,0,1,1.8,0.03,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Crystal Palace,2022-12-31,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.8,0,1,2.0,0.02,90.0,2.0
Jefferson Lerma Solís,Bournemouth,Manchester United,2023-01-03,False,83,0.0,0.0,0.0,0.0,2,0.0,0.0,1.5,0,1,2.0,0.02,89.61,2.0
Jefferson Lerma Solís,Bournemouth,Brentford,2023-01-14,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.8,0,1,2.2,0.0,89.63,2.0
Jefferson Lerma Solís,Bournemouth,Nottingham Forest,2023-01-21,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.3,0,1,2.0,0.0,89.65,2.0
