name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Jonjo Shelvey,Newcastle,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Liverpool,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Fulham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Brentford,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,0.0
Jonjo Shelvey,Newcastle,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.88,1.06,0.03,1.0
Jonjo Shelvey,Newcastle,Tottenham,2022-10-23,False,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.2,0.0,0.08,2.0,1.0,0.88,1.06,0.03,1.0
Jonjo Shelvey,Newcastle,Aston Villa,2022-10-29,True,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.4,0.0,0.62,2.0,1.0,0.88,1.06,0.03,1.0
