name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Ryan Fraser,Newcastle,Nottingham Forest,2022-08-06,True,9,0.0,0.0,0.0,0.06,1,0.0,1.0,1.3,0,0,1.0,0.0,9.0,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Brighton,,False,0,,,,,0,,,0.0,0,0,0.5,0.0,4.5,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.33,0.0,3.0,2.0,3.0,2.87,2.15,0.05,1.0
Ryan Fraser,Newcastle,Wolverhampton,2022-08-28,False,25,0.0,0.0,0.0,0.13,1,0.0,2.0,4.0,0,0,0.5,0.0,8.5,2.0,3.0,2.87,2.15,0.05,2.0
Ryan Fraser,Newcastle,Liverpool,2022-08-31,False,63,0.0,0.05,0.0,0.0,2,1.0,0.0,1.1,0,0,0.8,0.01,19.4,2.0,3.0,2.87,2.15,0.05,2.0
Ryan Fraser,Newcastle,Crystal Palace,2022-09-03,True,69,0.0,0.08,0.0,0.0,2,1.0,0.0,4.5,0,0,1.0,0.03,27.67,2.0,3.0,2.87,2.15,0.05,2.0
Ryan Fraser,Newcastle,Bournemouth,2022-09-17,True,70,0.0,0.18,0.0,0.05,2,4.0,1.0,4.1,0,0,1.4,0.06,33.71,2.0,3.0,2.87,2.15,0.05,1.0
Ryan Fraser,Newcastle,Fulham,2022-10-01,False,24,0.0,0.0,0.0,0.12,1,0.0,1.0,1.8,0,0,1.6,0.06,32.5,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Brentford,,True,0,,,,,0,,,0.0,0,0,1.4,0.06,28.89,2.0,3.0,2.87,2.15,0.05,1.0
Ryan Fraser,Newcastle,Manchester United,2022-10-16,False,31,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1.2,0.05,29.1,2.0,3.0,2.87,2.15,0.05,1.0
Ryan Fraser,Newcastle,Everton,2022-10-19,True,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1.0,0.04,28.0,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.6,0.0,25.67,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.4,0.0,23.69,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Southampton,,False,0,,,,,0,,,0.0,0,0,0.4,0.0,22.0,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Chelsea,,True,0,,,,,0,,,0.0,0,0,0.2,0.0,20.53,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Leeds United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,19.25,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Leicester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,18.12,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,17.11,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Fulham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,16.21,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,15.4,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,West Ham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,14.67,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,14.0,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,13.39,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,12.83,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,12.32,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,11.85,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Manchester United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,11.41,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,11.0,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Brentford,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,10.62,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,10.27,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Tottenham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,9.94,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Everton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,9.62,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Southampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,9.33,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Arsenal,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,9.06,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Leicester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,8.8,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Brighton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,8.56,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Leeds United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,8.32,2.0,3.0,2.87,2.15,0.05,0.0
Ryan Fraser,Newcastle,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,8.11,2.0,3.0,2.87,2.15,0.05,
