name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Shandon Baptiste,Brentford,Leeds United,2022-08-07,False,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,1.0,0.0,17.0,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Manchester United,2022-08-13,True,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1.0,0.0,16.5,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Fulham,2022-08-20,False,16,0.0,0.03,0.0,0.05,1,1.0,1.0,3.6,0,0,1.0,0.01,16.33,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Everton,2022-08-27,True,22,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,0,1.0,0.01,17.75,1.0,0.0,0.58,0.55,0.04,2.0
Shandon Baptiste,Brentford,Crystal Palace,2022-08-30,False,67,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,0,1.2,0.01,27.6,1.0,0.0,0.58,0.55,0.04,4.0
Shandon Baptiste,Brentford,Leicester City,2022-09-03,True,58,0.0,0.0,0.0,0.0,4,0.0,0.0,0.4,0,0,1.8,0.01,32.67,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Arsenal,2022-09-18,True,21,0.0,0.0,0.0,0.31,1,0.0,1.0,1.8,0,0,1.8,0.01,31.0,1.0,0.0,0.58,0.55,0.04,3.0
Shandon Baptiste,Brentford,Bournemouth,2022-10-01,False,83,0.0,0.0,0.0,0.14,3,0.0,2.0,4.8,0,0,2.2,0.0,37.5,1.0,0.0,0.58,0.55,0.04,2.0
Shandon Baptiste,Brentford,Newcastle United,2022-10-08,False,62,0.0,0.09,0.0,0.07,2,1.0,1.0,4.0,0,0,2.4,0.02,40.22,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Brighton,2022-10-14,True,19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0,0,2.0,0.02,38.1,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Chelsea,2022-10-19,True,30,0.0,0.0,0.0,0.11,1,0.0,1.0,2.2,0,0,1.4,0.02,37.36,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Aston Villa,2022-10-23,False,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1.4,0.02,35.25,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.8,0.02,32.54,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.4,0.0,30.21,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.4,0.0,28.2,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Tottenham,,True,0,,,,,0,,,0.0,0,0,0.2,0.0,26.44,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,24.88,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,23.5,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,22.26,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Leicester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,21.15,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Southampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,20.14,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,19.23,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Crystal Palace,2023-02-18,True,6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,0.2,0.0,18.65,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Fulham,,True,0,,,,,0,,,0.0,0,0,0.2,0.0,17.88,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Everton,,False,0,,,,,0,,,0.0,0,0,0.2,0.0,17.16,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Southampton,,False,0,,,,,0,,,0.0,0,0,0.2,0.0,16.5,1.0,0.0,0.58,0.55,0.04,-2.0
Shandon Baptiste,Brentford,Leeds United,2023-03-18,True,16,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.0,0,0,-0.2,0.0,16.48,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Brighton,,False,0,,,,,0,,,0.0,0,0,-0.4,0.0,15.89,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Manchester United,2023-04-05,False,28,0.0,0.02,0.0,0.02,1,1.0,1.0,3.2,0,0,-0.2,0.0,16.31,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Newcastle United,2023-04-08,True,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0.0,0.0,16.3,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Wolverhampton,2023-04-15,False,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.2,0.0,16.29,1.0,0.0,0.58,0.55,0.04,0.0
Shandon Baptiste,Brentford,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.6,0.0,15.78,1.0,0.0,0.58,0.55,0.04,4.0
Shandon Baptiste,Brentford,Chelsea,2023-04-26,False,28,0.0,0.04,1.0,0.33,4,1.0,2.0,4.8,0,0,1.4,0.21,16.15,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Nottingham Forest,2023-04-29,True,19,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,1.4,0.21,16.24,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Liverpool,2023-05-06,False,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,1.4,0.21,16.0,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,West Ham,2023-05-14,True,13,0.0,0.0,0.0,0.06,1,0.0,1.0,1.5,0,0,1.4,0.21,15.92,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Tottenham,2023-05-20,False,18,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1.6,0.21,15.97,1.0,0.0,0.58,0.55,0.04,1.0
Shandon Baptiste,Brentford,Manchester City,2023-05-28,True,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1.0,0.0,15.79,1.0,0.0,0.58,0.55,0.04,1.0
