name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points
Weston McKennie,Leeds,Nottingham Forest,2023-02-05,False,33,0,0.0,0,0.0,1,0,0,0.6,0,0,1.0,0.0,33.0,1.0
Weston McKennie,Leeds,Manchester United,2023-02-08,False,89,0,0.0,0,0.0,1,0,0,2.0,0,1,1.0,0.0,61.0,1.0
Weston McKennie,Leeds,Manchester United,2023-02-12,True,85,0,0.1,0,0.03,1,1,1,2.7,0,1,1.0,0.03,69.0,1.0
Weston McKennie,Leeds,Everton,2023-02-18,False,77,0,0.0,0,0.03,1,0,1,2.3,0,1,1.0,0.03,71.0,3.0
Weston McKennie,Leeds,Southampton,2023-02-25,True,90,0,0.06,0,0.08,3,1,2,4.9,0,1,1.4,0.03,74.8,2.0
Weston McKennie,Leeds,Chelsea,2023-03-04,False,90,0,0.01,0,0.0,2,1,0,1.9,0,1,1.6,0.03,77.33,1.0
Weston McKennie,Leeds,Brighton,2023-03-11,True,24,0,0.0,0,0.0,1,0,0,0.8,0,0,1.6,0.03,69.71,1.0
Weston McKennie,Leeds,Wolverhampton,2023-03-18,False,90,0,0.12,0,0.0,1,2,0,2.1,0,1,1.6,0.04,72.25,1.0
Weston McKennie,Leeds,Arsenal,2023-04-01,False,25,0,0.0,0,0.0,1,0,0,0.0,0,0,1.6,0.04,67.0,2.0
Weston McKennie,Leeds,Nottingham Forest,2023-04-04,True,90,0,0.07,0,0.12,2,1,2,6.8,0,1,1.4,0.04,69.3,1.0
Weston McKennie,Leeds,Crystal Palace,2023-04-09,True,90,0,0.0,0,0.0,1,0,0,2.8,0,1,1.2,0.04,71.18,2.0
Weston McKennie,Leeds,Liverpool,2023-04-17,True,90,0,0.0,0,0.04,2,0,1,2.5,0,1,1.4,0.04,72.75,1.0
Weston McKennie,Leeds,Fulham,2023-04-22,False,79,0,0.0,0,0.0,1,0,0,1.6,0,1,1.4,0.01,73.23,2.0
Weston McKennie,Leeds,Leeds United,2023-04-25,True,90,0,0.05,0,0.13,2,2,2,4.6,0,1,1.6,0.03,74.43,2.0
Weston McKennie,Leeds,Bournemouth,2023-04-30,False,70,0,0.0,0,0.09,2,0,1,1.9,0,1,1.6,0.01,74.13,1.0
Weston McKennie,Leeds,Manchester City,2023-05-06,False,90,0,0.02,0,0.02,1,1,1,4.4,0,1,1.6,0.01,75.12,2.0
Weston McKennie,Leeds,Newcastle United,2023-05-13,True,90,0,0.08,0,0.0,2,1,0,1.6,0,1,1.6,0.03,76.0,5.0
Weston McKennie,Leeds,West Ham,2023-05-21,False,83,0,0.01,1,0.17,5,1,2,4.8,0,1,2.4,0.23,76.39,1.0
Weston McKennie,Leeds,Tottenham,2023-05-28,True,59,0,0.06,0,0.0,1,2,0,0.0,0,1,2.2,0.23,75.47,
